instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Bur26a,0,0,5712853,5712853,0.002,42
Bur26a,1,1,5712853,6028744,0.006,42
Bur26a,2,2,5712853,6041554,0.01,42
Bur26a,3,3,5712853,6010722,0.012,42
Bur26a,4,4,5712853,5963666,0.015,42
Bur26a,5,5,5712853,6202894,0.018,42
Bur26a,6,6,5712853,5905041,0.02,42
Bur26a,7,7,5712853,5975158,0.023,42
Bur26a,8,8,5712853,5895248,0.026,42
Bur26a,9,9,5712853,6145490,0.028,42
Bur26a,-1,-1,5712853,5712853,0.03,42
Bur26a,0,0,6177261,6177261,0.036,43
Bur26a,1,1,5946938,5946938,0.039,43
Bur26a,2,2,5946938,6113516,0.042,43
Bur26a,3,3,5946938,5992420,0.05,43
Bur26a,4,4,5946938,6020979,0.052,43
Bur26a,5,5,5880902,5880902,0.055,43
Bur26a,6,6,5880902,5997953,0.058,43
Bur26a,7,7,5880902,6259555,0.061,43
Bur26a,8,8,5880902,6031558,0.064,43
Bur26a,9,9,5880902,6220138,0.073,43
Bur26a,-1,-1,5880902,5880902,0.077,43
Bur26a,0,0,5898523,5898523,0.121,44
Bur26a,1,1,5898523,5932963,0.124,44
Bur26a,2,2,5898523,6005179,0.126,44
Bur26a,3,3,5898523,6169274,0.131,44
Bur26a,4,4,5898523,5951112,0.135,44
Bur26a,5,5,5898523,6083328,0.139,44
Bur26a,6,6,5898523,6021528,0.143,44
Bur26a,7,7,5898523,5964414,0.148,44
Bur26a,8,8,5898523,6087901,0.167,44
Bur26a,9,9,5898523,5948814,0.17,44
Bur26a,-1,-1,5898523,5898523,0.17,44
Bur26a,0,0,5917304,5917304,0.173,45
Bur26a,1,1,5917304,5994383,0.175,45
Bur26a,2,2,5917304,6130631,0.177,45
Bur26a,3,3,5855212,5855212,0.18,45
Bur26a,4,4,5855212,6042308,0.184,45
Bur26a,5,5,5855212,6217139,0.186,45
Bur26a,6,6,5855212,6006169,0.189,45
Bur26a,7,7,5855212,5899742,0.192,45
Bur26a,8,8,5855212,6005430,0.196,45
Bur26a,9,9,5855212,5978899,0.2,45
Bur26a,-1,-1,5855212,5855212,0.201,45
Bur26a,0,0,5911989,5911989,0.204,46
Bur26a,1,1,5891257,5891257,0.207,46
Bur26a,2,2,5891257,5954983,0.209,46
Bur26a,3,3,5887177,5887177,0.211,46
Bur26a,4,4,5887177,5904055,0.213,46
Bur26a,5,5,5826164,5826164,0.217,46
Bur26a,6,6,5826164,6063249,0.219,46
Bur26a,7,7,5826164,5906560,0.221,46
Bur26a,8,8,5826164,5896977,0.223,46
Bur26a,9,9,5826164,5843076,0.226,46
Bur26a,-1,-1,5826164,5826164,0.227,46
Bur26a,0,0,6106083,6106083,0.23,47
Bur26a,1,1,5928830,5928830,0.234,47
Bur26a,2,2,5928830,6019188,0.236,47
Bur26a,3,3,5928830,5945098,0.24,47
Bur26a,4,4,5928830,6086891,0.243,47
Bur26a,5,5,5928830,6112518,0.245,47
Bur26a,6,6,5928830,5963757,0.247,47
Bur26a,7,7,5928830,5985739,0.25,47
Bur26a,8,8,5928830,5963739,0.253,47
Bur26a,9,9,5928830,6065824,0.255,47
Bur26a,-1,-1,5928830,5928830,0.256,47
Bur26a,0,0,6161647,6161647,0.258,48
Bur26a,1,1,5931393,5931393,0.26,48
Bur26a,2,2,5830846,5830846,0.262,48
Bur26a,3,3,5830846,6040725,0.265,48
Bur26a,4,4,5830846,6015579,0.267,48
Bur26a,5,5,5830846,6141150,0.269,48
Bur26a,6,6,5830846,6070264,0.271,48
Bur26a,7,7,5830846,6032994,0.273,48
Bur26a,8,8,5830846,6052819,0.276,48
Bur26a,9,9,5830846,6153663,0.278,48
Bur26a,-1,-1,5830846,5830846,0.279,48
Bur26a,0,0,5884112,5884112,0.281,49
Bur26a,1,1,5884112,6064344,0.283,49
Bur26a,2,2,5884112,5975006,0.285,49
Bur26a,3,3,5790129,5790129,0.287,49
Bur26a,4,4,5790129,5946372,0.289,49
Bur26a,5,5,5790129,5835000,0.29,49
Bur26a,6,6,5790129,6144394,0.292,49
Bur26a,7,7,5790129,6067489,0.294,49
Bur26a,8,8,5790129,6075114,0.295,49
Bur26a,9,9,5790129,6188734,0.297,49
Bur26a,-1,-1,5790129,5790129,0.299,49
Bur26a,0,0,5953992,5953992,0.301,50
Bur26a,1,1,5953992,6245950,0.303,50
Bur26a,2,2,5953992,6072798,0.304,50
Bur26a,3,3,5856623,5856623,0.306,50
Bur26a,4,4,5856623,6222633,0.307,50
Bur26a,5,5,5856623,6134696,0.309,50
Bur26a,6,6,5856623,6232603,0.31,50
Bur26a,7,7,5856623,5949503,0.311,50
Bur26a,8,8,5856623,6034862,0.313,50
Bur26a,9,9,5856623,5943722,0.316,50
Bur26a,-1,-1,5856623,5856623,0.317,50
Bur26a,0,0,5974527,5974527,0.319,51
Bur26a,1,1,5974527,6039576,0.321,51
Bur26a,2,2,5974527,6081039,0.322,51
Bur26a,3,3,5974527,6049566,0.324,51
Bur26a,4,4,5806638,5806638,0.325,51
Bur26a,5,5,5806638,6193856,0.327,51
Bur26a,6,6,5806638,6069784,0.328,51
Bur26a,7,7,5806638,5879986,0.33,51
Bur26a,8,8,5806638,5933348,0.334,51
Bur26a,9,9,5806638,6000474,0.336,51
Bur26a,-1,-1,5806638,5806638,0.336,51
