instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Bur26b,0,0,4048966,4048966,0.003,42,119.75
Bur26b,1,1,4048966,4228276,0.007,42,119.75
Bur26b,2,2,4048966,4248528,0.011,42,119.75
Bur26b,3,3,4048966,4209153,0.014,42,119.75
Bur26b,4,4,4048966,4188505,0.018,42,119.75
Bur26b,5,5,4048966,4338957,0.021,42,119.75
Bur26b,6,6,4048966,4168254,0.023,42,119.75
Bur26b,7,7,4048966,4222194,0.026,42,119.75
Bur26b,8,8,4048966,4114647,0.03,42,119.75
Bur26b,9,9,4048966,4312368,0.033,42,119.75
Bur26b,9,9,4048966,4312368,0.033,42,119.75
Bur26b,0,0,4322854,4322854,0.036,43,119.75
Bur26b,1,1,4186527,4186527,0.038,43,119.75
Bur26b,2,2,4186527,4297315,0.04,43,119.75
Bur26b,3,3,4186527,4194578,0.043,43,119.75
Bur26b,4,4,4186527,4220626,0.046,43,119.75
Bur26b,5,5,4166533,4166533,0.049,43,119.75
Bur26b,6,6,4166533,4204112,0.052,43,119.75
Bur26b,7,7,4166533,4377798,0.055,43,119.75
Bur26b,8,8,4166533,4242564,0.057,43,119.75
Bur26b,9,9,4166533,4366826,0.062,43,119.75
Bur26b,9,9,4166533,4366826,0.064,43,119.75
Bur26b,0,0,4134986,4134986,0.067,44,119.75
Bur26b,1,1,4134986,4143597,0.07,44,119.75
Bur26b,2,2,4134986,4237699,0.072,44,119.75
Bur26b,3,3,4134986,4350516,0.076,44,119.75
Bur26b,4,4,4134986,4202813,0.08,44,119.75
Bur26b,5,5,4134986,4241955,0.084,44,119.75
Bur26b,6,6,4134986,4263944,0.087,44,119.75
Bur26b,7,7,4134986,4186734,0.091,44,119.75
Bur26b,8,8,4134986,4255347,0.157,44,119.75
Bur26b,9,9,4134986,4167740,0.171,44,119.75
Bur26b,9,9,4134986,4167740,0.173,44,119.75
Bur26b,0,0,4159853,4159853,0.189,45,119.75
Bur26b,1,1,4159853,4242531,0.196,45,119.75
Bur26b,2,2,4159853,4293054,0.204,45,119.75
Bur26b,3,3,4106071,4106071,0.211,45,119.75
Bur26b,4,4,4106071,4247700,0.218,45,119.75
