instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Bur26c,0,0,6008629,6008629,0.003,42,119.75
Bur26c,1,1,6008629,6083536,0.008,42,119.75
Bur26c,2,2,6008629,6009491,0.01,42,119.75
Bur26c,3,3,6008629,6071991,0.012,42,119.75
Bur26c,4,4,6008629,6154430,0.014,42,119.75
Bur26c,5,5,6008629,6011927,0.016,42,119.75
Bur26c,6,6,6000077,6000077,0.019,42,119.75
Bur26c,7,7,5985183,5985183,0.024,42,119.75
Bur26c,8,8,5985183,6009296,0.027,42,119.75
Bur26c,9,9,5985183,6003606,0.031,42,119.75
Bur26c,9,9,5985183,6003606,0.033,42,119.75
Bur26c,0,0,6077802,6077802,0.038,43,119.75
Bur26c,1,1,5937392,5937392,0.042,43,119.75
Bur26c,2,2,5937392,6104111,0.044,43,119.75
Bur26c,3,3,5910978,5910978,0.046,43,119.75
Bur26c,4,4,5910978,5953914,0.048,43,119.75
Bur26c,5,5,5910978,5987532,0.05,43,119.75
Bur26c,6,6,5910978,6044368,0.055,43,119.75
Bur26c,7,7,5910978,6006092,0.059,43,119.75
Bur26c,8,8,5910978,6041428,0.062,43,119.75
Bur26c,9,9,5910978,6028859,0.064,43,119.75
Bur26c,9,9,5910978,6028859,0.065,43,119.75
Bur26c,0,0,5997071,5997071,0.067,44,119.75
Bur26c,1,1,5937212,5937212,0.069,44,119.75
Bur26c,2,2,5937212,5975378,0.074,44,119.75
Bur26c,3,3,5937212,6139338,0.077,44,119.75
Bur26c,4,4,5937212,6056979,0.079,44,119.75
Bur26c,5,5,5937212,5965786,0.081,44,119.75
Bur26c,6,6,5937212,5945371,0.083,44,119.75
Bur26c,7,7,5937212,5999150,0.087,44,119.75
Bur26c,8,8,5937212,5985446,0.092,44,119.75
Bur26c,9,9,5937212,6002443,0.094,44,119.75
Bur26c,9,9,5937212,6002443,0.094,44,119.75
Bur26c,0,0,5999168,5999168,0.097,45,119.75
Bur26c,1,1,5985407,5985407,0.098,45,119.75
Bur26c,2,2,5985407,6133793,0.1,45,119.75
Bur26c,3,3,5985407,6009225,0.102,45,119.75
Bur26c,4,4,5985407,6105522,0.105,45,119.75
Bur26c,5,5,5936753,5936753,0.108,45,119.75
Bur26c,6,6,5936753,6001803,0.111,45,119.75
Bur26c,7,7,5936753,6055534,0.113,45,119.75
Bur26c,8,8,5936753,6044776,0.115,45,119.75
Bur26c,9,9,5936753,6063824,0.117,45,119.75
Bur26c,9,9,5936753,6063824,0.118,45,119.75
Bur26c,0,0,5964927,5964927,0.122,46,119.75
Bur26c,1,1,5964927,6150799,0.124,46,119.75
Bur26c,2,2,5964927,6111498,0.127,46,119.75
Bur26c,3,3,5964927,6043120,0.129,46,119.75
Bur26c,4,4,5964927,6097263,0.132,46,119.75
Bur26c,5,5,5964927,6081682,0.135,46,119.75
Bur26c,6,6,5964927,6108666,0.14,46,119.75
Bur26c,7,7,5964927,6048678,0.142,46,119.75
Bur26c,8,8,5964927,6075190,0.145,46,119.75
Bur26c,9,9,5820118,5820118,0.148,46,119.75
Bur26c,9,9,5820118,5820118,0.149,46,119.75
Bur26c,0,0,6098716,6098716,0.153,47,119.75
Bur26c,1,1,5981625,5981625,0.158,47,119.75
Bur26c,2,2,5969604,5969604,0.162,47,119.75
Bur26c,3,3,5797552,5797552,0.165,47,119.75
Bur26c,4,4,5797552,6109902,0.167,47,119.75
Bur26c,5,5,5797552,6142617,0.173,47,119.75
Bur26c,6,6,5797552,6084348,0.178,47,119.75
Bur26c,7,7,5797552,5943744,0.18,47,119.75
Bur26c,8,8,5797552,5815536,0.183,47,119.75
Bur26c,9,9,5797552,5985185,0.186,47,119.75
Bur26c,9,9,5797552,5985185,0.188,47,119.75
Bur26c,0,0,6148212,6148212,0.191,48,119.75
Bur26c,1,1,6053683,6053683,0.195,48,119.75
Bur26c,2,2,6053683,6113238,0.199,48,119.75
Bur26c,3,3,5899254,5899254,0.203,48,119.75
Bur26c,4,4,5899254,5980831,0.207,48,119.75
Bur26c,5,5,5899254,6096754,0.211,48,119.75
Bur26c,6,6,5899254,5953126,0.213,48,119.75
Bur26c,7,7,5865394,5865394,0.215,48,119.75
Bur26c,8,8,5865394,5915982,0.217,48,119.75
Bur26c,9,9,5865394,6029449,0.221,48,119.75
Bur26c,9,9,5865394,6029449,0.223,48,119.75
Bur26c,0,0,6006145,6006145,0.227,49,119.75
Bur26c,1,1,6006145,6024146,0.229,49,119.75
Bur26c,2,2,5988252,5988252,0.231,49,119.75
Bur26c,3,3,5988252,6074104,0.234,49,119.75
Bur26c,4,4,5988252,6018122,0.237,49,119.75
Bur26c,5,5,5898676,5898676,0.24,49,119.75
Bur26c,6,6,5898676,5971935,0.242,49,119.75
Bur26c,7,7,5898676,5900083,0.244,49,119.75
Bur26c,8,8,5898676,6032722,0.246,49,119.75
Bur26c,9,9,5898676,6169958,0.248,49,119.75
Bur26c,9,9,5898676,6169958,0.249,49,119.75
Bur26c,0,0,6032744,6032744,0.25,50,119.75
Bur26c,1,1,6032744,6202562,0.253,50,119.75
Bur26c,2,2,5973302,5973302,0.257,50,119.75
Bur26c,3,3,5973302,6041517,0.259,50,119.75
Bur26c,4,4,5973302,6136901,0.262,50,119.75
Bur26c,5,5,5973302,6042054,0.265,50,119.75
Bur26c,6,6,5973302,5978247,0.266,50,119.75
Bur26c,7,7,5925296,5925296,0.268,50,119.75
Bur26c,8,8,5925296,6093578,0.274,50,119.75
Bur26c,9,9,5925296,6107358,0.276,50,119.75
Bur26c,9,9,5925296,6107358,0.277,50,119.75
Bur26c,0,0,5929892,5929892,0.279,51,119.75
Bur26c,1,1,5929892,6086787,0.281,51,119.75
Bur26c,2,2,5929892,6151666,0.283,51,119.75
Bur26c,3,3,5929892,6066570,0.284,51,119.75
Bur26c,4,4,5929892,6032486,0.288,51,119.75
Bur26c,5,5,5929892,5973232,0.291,51,119.75
Bur26c,6,6,5929892,5999506,0.293,51,119.75
Bur26c,7,7,5929892,5991667,0.296,51,119.75
Bur26c,8,8,5901738,5901738,0.298,51,119.75
Bur26c,9,9,5901738,6000299,0.3,51,119.75
Bur26c,9,9,5901738,6000299,0.302,51,119.75
