instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Bur26d,0,0,4228996,4228996,0.002,42,119.75
Bur26d,1,1,4228996,4265989,0.005,42,119.75
Bur26d,2,2,4217172,4217172,0.008,42,119.75
Bur26d,3,3,4217172,4260221,0.009,42,119.75
Bur26d,4,4,4217172,4305254,0.011,42,119.75
Bur26d,5,5,4216390,4216390,0.012,42,119.75
Bur26d,6,6,4216390,4233628,0.014,42,119.75
Bur26d,7,7,4201741,4201741,0.015,42,119.75
Bur26d,8,8,4201741,4209177,0.016,42,119.75
Bur26d,9,9,4197791,4197791,0.018,42,119.75
Bur26d,9,9,4197791,4197791,0.018,42,119.75
Bur26d,0,0,4276695,4276695,0.021,43,119.75
Bur26d,1,1,4152342,4152342,0.023,43,119.75
Bur26d,2,2,4152342,4298258,0.025,43,119.75
Bur26d,3,3,4140710,4140710,0.026,43,119.75
Bur26d,4,4,4140710,4177056,0.028,43,119.75
Bur26d,5,5,4140710,4225426,0.029,43,119.75
Bur26d,6,6,4140710,4241874,0.031,43,119.75
Bur26d,7,7,4140710,4229548,0.032,43,119.75
Bur26d,8,8,4140710,4219761,0.034,43,119.75
Bur26d,9,9,4140710,4222182,0.037,43,119.75
Bur26d,9,9,4140710,4222182,0.038,43,119.75
Bur26d,0,0,4211551,4211551,0.041,44,119.75
Bur26d,1,1,4162042,4162042,0.044,44,119.75
Bur26d,2,2,4162042,4198026,0.048,44,119.75
Bur26d,3,3,4162042,4325768,0.049,44,119.75
Bur26d,4,4,4162042,4254197,0.051,44,119.75
Bur26d,5,5,4162042,4194276,0.054,44,119.75
Bur26d,6,6,4162042,4204825,0.056,44,119.75
Bur26d,7,7,4162042,4202356,0.058,44,119.75
Bur26d,8,8,4162042,4188502,0.06,44,119.75
Bur26d,9,9,4162042,4216170,0.063,44,119.75
Bur26d,9,9,4162042,4216170,0.063,44,119.75
Bur26d,0,0,4217416,4217416,0.066,45,119.75
Bur26d,1,1,4217416,4238471,0.069,45,119.75
Bur26d,2,2,4217416,4324838,0.072,45,119.75
Bur26d,3,3,4217416,4220205,0.074,45,119.75
Bur26d,4,4,4217416,4306142,0.077,45,119.75
Bur26d,5,5,4171316,4171316,0.08,45,119.75
Bur26d,6,6,4171316,4202098,0.083,45,119.75
Bur26d,7,7,4171316,4249395,0.085,45,119.75
Bur26d,8,8,4171316,4240816,0.09,45,119.75
Bur26d,9,9,4171316,4267848,0.093,45,119.75
