instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Bur26e,0,0,6039587,6039587,0.002,42
Bur26e,1,1,5772027,5772027,0.004,42
Bur26e,2,2,5772027,6057023,0.005,42
Bur26e,3,3,5772027,6211443,0.007,42
Bur26e,4,4,5772027,6245853,0.009,42
Bur26e,5,5,5772027,6085563,0.01,42
Bur26e,6,6,5772027,6118344,0.012,42
Bur26e,7,7,5772027,6077609,0.014,42
Bur26e,8,8,5772027,5962707,0.017,42
Bur26e,9,9,5772027,6062640,0.02,42
Bur26e,-1,-1,5772027,5772027,0.021,42
Bur26e,0,0,5765867,5765867,0.024,43
Bur26e,1,1,5765867,6054352,0.027,43
Bur26e,2,2,5765867,6212562,0.029,43
Bur26e,3,3,5765867,5909448,0.033,43
Bur26e,4,4,5765867,6100024,0.037,43
Bur26e,5,5,5765867,6006695,0.04,43
Bur26e,6,6,5765867,6051479,0.043,43
Bur26e,7,7,5765867,6139245,0.046,43
Bur26e,8,8,5765867,6073429,0.049,43
Bur26e,9,9,5765867,5981645,0.053,43
Bur26e,-1,-1,5765867,5765867,0.055,43
Bur26e,0,0,6222408,6222408,0.059,44
Bur26e,1,1,6200850,6200850,0.063,44
Bur26e,2,2,6143045,6143045,0.067,44
Bur26e,3,3,6143045,6240586,0.071,44
Bur26e,4,4,6143045,6177667,0.074,44
Bur26e,5,5,6059880,6059880,0.077,44
Bur26e,6,6,6059880,6099130,0.08,44
Bur26e,7,7,6059880,6115584,0.084,44
Bur26e,8,8,5897032,5897032,0.087,44
Bur26e,9,9,5897032,6099413,0.09,44
Bur26e,-1,-1,5897032,5897032,0.092,44
Bur26e,0,0,6105895,6105895,0.095,45
Bur26e,1,1,5997157,5997157,0.098,45
Bur26e,2,2,5997157,6060461,0.102,45
Bur26e,3,3,5913218,5913218,0.105,45
Bur26e,4,4,5909294,5909294,0.108,45
Bur26e,5,5,5909294,6162173,0.111,45
Bur26e,6,6,5909294,6145358,0.114,45
Bur26e,7,7,5909294,5942287,0.119,45
Bur26e,8,8,5909294,5956519,0.122,45
Bur26e,9,9,5909294,6051988,0.125,45
Bur26e,-1,-1,5909294,5909294,0.127,45
Bur26e,0,0,6193956,6193956,0.13,46
Bur26e,1,1,6015807,6015807,0.134,46
Bur26e,2,2,5932512,5932512,0.137,46
Bur26e,3,3,5932512,6109339,0.14,46
Bur26e,4,4,5932512,5969941,0.143,46
Bur26e,5,5,5932512,6154201,0.145,46
Bur26e,6,6,5932512,6243404,0.153,46
Bur26e,7,7,5932512,6285841,0.157,46
Bur26e,8,8,5889477,5889477,0.161,46
Bur26e,9,9,5889477,6157989,0.165,46
Bur26e,-1,-1,5889477,5889477,0.167,46
Bur26e,0,0,6266394,6266394,0.174,47
Bur26e,1,1,5965910,5965910,0.177,47
Bur26e,2,2,5965910,6020885,0.182,47
Bur26e,3,3,5931907,5931907,0.187,47
Bur26e,4,4,5931907,6235779,0.19,47
Bur26e,5,5,5931907,6149215,0.193,47
Bur26e,6,6,5931907,6186115,0.195,47
Bur26e,7,7,5723822,5723822,0.198,47
Bur26e,8,8,5723822,6188908,0.201,47
Bur26e,9,9,5723822,5994656,0.203,47
Bur26e,-1,-1,5723822,5723822,0.204,47
Bur26e,0,0,5974889,5974889,0.206,48
Bur26e,1,1,5943517,5943517,0.208,48
Bur26e,2,2,5943517,6046489,0.21,48
Bur26e,3,3,5943517,5994713,0.212,48
Bur26e,4,4,5943517,6138365,0.214,48
Bur26e,5,5,5895294,5895294,0.216,48
Bur26e,6,6,5895294,6063562,0.22,48
Bur26e,7,7,5895294,5967122,0.222,48
Bur26e,8,8,5895294,6009301,0.224,48
Bur26e,9,9,5895294,6093042,0.227,48
Bur26e,-1,-1,5895294,5895294,0.227,48
Bur26e,0,0,5948757,5948757,0.23,49
Bur26e,1,1,5948757,6086964,0.234,49
Bur26e,2,2,5948757,6174681,0.238,49
Bur26e,3,3,5948757,6130441,0.241,49
Bur26e,4,4,5948757,6078157,0.244,49
Bur26e,5,5,5948757,6074497,0.248,49
Bur26e,6,6,5896615,5896615,0.251,49
Bur26e,7,7,5896615,6110961,0.254,49
Bur26e,8,8,5896615,6037680,0.256,49
Bur26e,9,9,5896615,6108280,0.258,49
Bur26e,-1,-1,5896615,5896615,0.259,49
Bur26e,0,0,5995541,5995541,0.262,50
Bur26e,1,1,5770697,5770697,0.264,50
Bur26e,2,2,5770697,6201361,0.268,50
Bur26e,3,3,5770697,6150831,0.273,50
Bur26e,4,4,5770697,6089617,0.276,50
Bur26e,5,5,5770697,5994844,0.28,50
Bur26e,6,6,5770697,6077923,0.284,50
Bur26e,7,7,5770697,5973422,0.289,50
Bur26e,8,8,5770697,6219665,0.292,50
Bur26e,9,9,5770697,5904219,0.295,50
Bur26e,-1,-1,5770697,5770697,0.297,50
Bur26e,0,0,6038402,6038402,0.301,51
Bur26e,1,1,6032745,6032745,0.305,51
Bur26e,2,2,5911807,5911807,0.308,51
Bur26e,3,3,5911807,6120271,0.311,51
Bur26e,4,4,5911807,6226768,0.315,51
Bur26e,5,5,5911807,6152244,0.318,51
Bur26e,6,6,5911807,6266548,0.32,51
Bur26e,7,7,5911807,5960018,0.323,51
Bur26e,8,8,5911807,6014528,0.325,51
Bur26e,9,9,5911807,6005809,0.327,51
Bur26e,-1,-1,5911807,5911807,0.328,51
