instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Bur26f,0,0,4236544,4236544,0.002,42,119.75
Bur26f,1,1,4047640,4047640,0.006,42,119.75
Bur26f,2,2,4047640,4237199,0.01,42,119.75
Bur26f,3,3,4047640,4346445,0.014,42,119.75
Bur26f,4,4,4047640,4355264,0.018,42,119.75
Bur26f,5,5,4047640,4269559,0.021,42,119.75
Bur26f,6,6,4047640,4285881,0.026,42,119.75
Bur26f,7,7,4047640,4234588,0.03,42,119.75
Bur26f,8,8,4047640,4185585,0.033,42,119.75
Bur26f,9,9,4047640,4258036,0.036,42,119.75
Bur26f,9,9,4047640,4258036,0.037,42,119.75
Bur26f,0,0,4029676,4029676,0.041,43,119.75
Bur26f,1,1,4029676,4243606,0.045,43,119.75
Bur26f,2,2,4029676,4359873,0.048,43,119.75
Bur26f,3,3,4029676,4136751,0.05,43,119.75
Bur26f,4,4,4029676,4258664,0.052,43,119.75
Bur26f,5,5,4029676,4241854,0.055,43,119.75
Bur26f,6,6,4029676,4227366,0.056,43,119.75
Bur26f,7,7,4029676,4282962,0.058,43,119.75
Bur26f,8,8,4029676,4299793,0.062,43,119.75
Bur26f,9,9,4029676,4193478,0.065,43,119.75
Bur26f,9,9,4029676,4193478,0.066,43,119.75
Bur26f,0,0,4364670,4364670,0.069,44,119.75
Bur26f,1,1,4321652,4321652,0.071,44,119.75
Bur26f,2,2,4293438,4293438,0.073,44,119.75
Bur26f,3,3,4293438,4388867,0.076,44,119.75
Bur26f,4,4,4293438,4357265,0.079,44,119.75
Bur26f,5,5,4274838,4274838,0.082,44,119.75
Bur26f,6,6,4274838,4280150,0.085,44,119.75
Bur26f,7,7,4270504,4270504,0.087,44,119.75
Bur26f,8,8,4119822,4119822,0.089,44,119.75
Bur26f,9,9,4119822,4275606,0.092,44,119.75
Bur26f,9,9,4119822,4275606,0.094,44,119.75
Bur26f,0,0,4281886,4281886,0.097,45,119.75
Bur26f,1,1,4225868,4225868,0.1,45,119.75
Bur26f,2,2,4225868,4264212,0.102,45,119.75
Bur26f,3,3,4153769,4153769,0.105,45,119.75
Bur26f,4,4,4152053,4152053,0.107,45,119.75
Bur26f,5,5,4152053,4312181,0.114,45,119.75
Bur26f,6,6,4152053,4305659,0.118,45,119.75
Bur26f,7,7,4149996,4149996,0.122,45,119.75
Bur26f,8,8,4149996,4155672,0.129,45,119.75
Bur26f,9,9,4149996,4240762,0.134,45,119.75
Bur26f,9,9,4149996,4240762,0.135,45,119.75
Bur26f,0,0,4318246,4318246,0.139,46,119.75
Bur26f,1,1,4248798,4248798,0.145,46,119.75
Bur26f,2,2,4170723,4170723,0.149,46,119.75
Bur26f,3,3,4170723,4295809,0.154,46,119.75
Bur26f,4,4,4169309,4169309,0.159,46,119.75
Bur26f,5,5,4169309,4329436,0.163,46,119.75
Bur26f,6,6,4169309,4392472,0.168,46,119.75
Bur26f,7,7,4169309,4399501,0.172,46,119.75
Bur26f,8,8,4105697,4105697,0.177,46,119.75
Bur26f,9,9,4105697,4307936,0.181,46,119.75
Bur26f,9,9,4105697,4307936,0.182,46,119.75
Bur26f,0,0,4375288,4375288,0.188,47,119.75
Bur26f,1,1,4196144,4196144,0.191,47,119.75
Bur26f,2,2,4196144,4211268,0.197,47,119.75
