instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Chr12b,0,0,42488,42488,0.001,42,119.75
Chr12b,1,1,34460,34460,0.005,42,119.75
Chr12b,2,2,34460,44112,0.006,42,119.75
Chr12b,3,3,34460,48830,0.008,42,119.75
Chr12b,4,4,34460,45878,0.009,42,119.75
Chr12b,5,5,34460,37968,0.011,42,119.75
Chr12b,6,6,34460,43614,0.013,42,119.75
Chr12b,7,7,30438,30438,0.016,42,119.75
Chr12b,8,8,30438,38384,0.017,42,119.75
Chr12b,9,9,30438,51816,0.02,42,119.75
Chr12b,9,9,30438,51816,0.021,42,119.75
Chr12b,0,0,37432,37432,0.023,43,119.75
Chr12b,1,1,37432,46060,0.024,43,119.75
Chr12b,2,2,36152,36152,0.025,43,119.75
Chr12b,3,3,36152,37818,0.027,43,119.75
Chr12b,4,4,36152,49160,0.028,43,119.75
Chr12b,5,5,36152,48386,0.029,43,119.75
Chr12b,6,6,36152,45946,0.031,43,119.75
Chr12b,7,7,36152,49592,0.032,43,119.75
Chr12b,8,8,35486,35486,0.033,43,119.75
Chr12b,9,9,35486,54790,0.036,43,119.75
Chr12b,9,9,35486,54790,0.037,43,119.75
Chr12b,0,0,33972,33972,0.039,44,119.75
Chr12b,1,1,33848,33848,0.04,44,119.75
Chr12b,2,2,33848,37462,0.042,44,119.75
Chr12b,3,3,33848,36686,0.044,44,119.75
Chr12b,4,4,33848,36594,0.045,44,119.75
Chr12b,5,5,33848,45594,0.047,44,119.75
Chr12b,6,6,33848,35500,0.049,44,119.75
Chr12b,7,7,33848,48624,0.05,44,119.75
Chr12b,8,8,33848,57778,0.052,44,119.75
Chr12b,9,9,33848,41632,0.054,44,119.75
Chr12b,9,9,33848,41632,0.055,44,119.75
Chr12b,0,0,51136,51136,0.057,45,119.75
Chr12b,1,1,43240,43240,0.058,45,119.75
Chr12b,2,2,37374,37374,0.059,45,119.75
Chr12b,3,3,31342,31342,0.059,45,119.75
Chr12b,4,4,31342,39742,0.061,45,119.75
Chr12b,5,5,31342,59560,0.062,45,119.75
Chr12b,6,6,31342,37816,0.063,45,119.75
Chr12b,7,7,31342,37608,0.065,45,119.75
Chr12b,8,8,31342,39080,0.067,45,119.75
Chr12b,9,9,31342,54028,0.068,45,119.75
Chr12b,9,9,31342,54028,0.07,45,119.75
Chr12b,0,0,41582,41582,0.071,46,119.75
Chr12b,1,1,41582,66294,0.073,46,119.75
Chr12b,2,2,41582,56118,0.075,46,119.75
Chr12b,3,3,28712,28712,0.075,46,119.75
Chr12b,4,4,28712,42552,0.076,46,119.75
Chr12b,5,5,28712,37924,0.077,46,119.75
Chr12b,6,6,28712,50024,0.078,46,119.75
Chr12b,7,7,28712,48244,0.08,46,119.75
Chr12b,8,8,28712,36896,0.081,46,119.75
Chr12b,9,9,28712,57358,0.082,46,119.75
Chr12b,9,9,28712,57358,0.083,46,119.75
Chr12b,0,0,36098,36098,0.084,47,119.75
Chr12b,1,1,36098,44868,0.084,47,119.75
Chr12b,2,2,36098,47812,0.087,47,119.75
Chr12b,3,3,36098,48190,0.088,47,119.75
Chr12b,4,4,35990,35990,0.089,47,119.75
Chr12b,5,5,35990,36344,0.089,47,119.75
Chr12b,6,6,35990,36110,0.091,47,119.75
Chr12b,7,7,35990,41796,0.092,47,119.75
Chr12b,8,8,35990,42030,0.092,47,119.75
Chr12b,9,9,35990,49840,0.094,47,119.75
Chr12b,9,9,35990,49840,0.094,47,119.75
Chr12b,0,0,39584,39584,0.096,48,119.75
Chr12b,1,1,36032,36032,0.096,48,119.75
Chr12b,2,2,34916,34916,0.097,48,119.75
Chr12b,3,3,29994,29994,0.098,48,119.75
Chr12b,4,4,29994,42164,0.099,48,119.75
Chr12b,5,5,29994,31354,0.1,48,119.75
Chr12b,6,6,29994,45536,0.101,48,119.75
Chr12b,7,7,29994,42080,0.102,48,119.75
Chr12b,8,8,29994,52328,0.104,48,119.75
Chr12b,9,9,29994,41750,0.104,48,119.75
Chr12b,9,9,29994,41750,0.105,48,119.75
Chr12b,0,0,43000,43000,0.106,49,119.75
Chr12b,1,1,43000,54032,0.107,49,119.75
Chr12b,2,2,38034,38034,0.107,49,119.75
Chr12b,3,3,38034,46076,0.108,49,119.75
Chr12b,4,4,31074,31074,0.109,49,119.75
Chr12b,5,5,31074,41950,0.111,49,119.75
Chr12b,6,6,31074,37286,0.112,49,119.75
Chr12b,7,7,31074,37192,0.112,49,119.75
Chr12b,8,8,31074,45962,0.114,49,119.75
Chr12b,9,9,31074,38818,0.115,49,119.75
Chr12b,9,9,31074,38818,0.115,49,119.75
Chr12b,0,0,32536,32536,0.116,50,119.75
Chr12b,1,1,32536,37904,0.117,50,119.75
Chr12b,2,2,32536,42650,0.118,50,119.75
Chr12b,3,3,32536,38696,0.12,50,119.75
Chr12b,4,4,32536,42928,0.121,50,119.75
Chr12b,5,5,32536,50870,0.122,50,119.75
Chr12b,6,6,32536,49398,0.123,50,119.75
Chr12b,7,7,32536,50148,0.124,50,119.75
Chr12b,8,8,32536,54130,0.125,50,119.75
Chr12b,9,9,32536,35234,0.127,50,119.75
Chr12b,9,9,32536,35234,0.127,50,119.75
Chr12b,0,0,65000,65000,0.128,51,119.75
Chr12b,1,1,39826,39826,0.13,51,119.75
Chr12b,2,2,39826,59504,0.131,51,119.75
Chr12b,3,3,39826,51948,0.132,51,119.75
Chr12b,4,4,39826,53686,0.133,51,119.75
Chr12b,5,5,39826,48190,0.135,51,119.75
Chr12b,6,6,39826,47428,0.137,51,119.75
Chr12b,7,7,39826,53814,0.14,51,119.75
Chr12b,8,8,39826,54280,0.141,51,119.75
Chr12b,9,9,39826,47714,0.143,51,119.75
Chr12b,9,9,39826,47714,0.143,51,119.75
