instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Chr15b,0,0,62104,62104,0.002
Chr15b,1,1,62104,65780,0.006
Chr15b,2,2,54844,54844,0.009
Chr15b,3,3,47892,47892,0.012
Chr15b,4,4,45654,45654,0.015
Chr15b,5,5,45654,59248,0.018
Chr15b,6,6,45654,62256,0.02
Chr15b,7,7,45654,78452,0.023
Chr15b,8,8,45654,49592,0.025
Chr15b,9,9,45654,58776,0.027
Chr15b,-1,-1,45654,45654,0.027
Chr15b,0,0,60366,60366,0.03
Chr15b,1,1,60366,63452,0.032
Chr15b,2,2,60366,62728,0.035
Chr15b,3,3,60366,66268,0.037
Chr15b,4,4,60366,68448,0.04
Chr15b,5,5,60366,62140,0.041
Chr15b,6,6,60366,75984,0.145
Chr15b,7,7,49134,49134,0.15
Chr15b,8,8,49134,58638,0.153
Chr15b,9,9,49134,73922,0.157
Chr15b,-1,-1,49134,49134,0.158
Chr15b,0,0,52488,52488,0.162
Chr15b,1,1,52488,85464,0.164
Chr15b,2,2,52488,58872,0.166
Chr15b,3,3,45856,45856,0.17
Chr15b,4,4,45856,62914,0.172
Chr15b,5,5,45856,62866,0.174
Chr15b,6,6,45856,68406,0.176
Chr15b,7,7,45856,68814,0.18
Chr15b,8,8,45856,61900,0.517
Chr15b,9,9,39068,39068,0.519
Chr15b,-1,-1,39068,39068,0.521
Chr15b,0,0,69836,69836,0.525
Chr15b,1,1,49484,49484,0.529
Chr15b,2,2,49484,75924,0.531
Chr15b,3,3,49484,60608,0.533
Chr15b,4,4,49484,63168,0.536
Chr15b,5,5,49484,54038,0.539
Chr15b,6,6,49484,64164,0.543
Chr15b,7,7,49484,74948,0.545
Chr15b,8,8,49484,69098,0.547
Chr15b,9,9,49484,60046,0.55
Chr15b,-1,-1,49484,49484,0.551
Chr15b,0,0,75314,75314,0.554
Chr15b,1,1,66356,66356,0.557
Chr15b,2,2,50602,50602,0.559
Chr15b,3,3,50602,83632,0.562
Chr15b,4,4,45448,45448,0.564
Chr15b,5,5,45448,46052,0.566
Chr15b,6,6,45448,46458,0.568
Chr15b,7,7,45448,69904,0.569
Chr15b,8,8,40904,40904,0.571
Chr15b,9,9,40904,77072,0.573
Chr15b,-1,-1,40904,40904,0.574
Chr15b,0,0,66324,66324,0.576
Chr15b,1,1,52416,52416,0.578
Chr15b,2,2,52416,75680,0.58
Chr15b,3,3,52416,78220,0.582
Chr15b,4,4,34822,34822,0.583
Chr15b,5,5,34822,81246,0.585
Chr15b,6,6,34822,55904,0.587
Chr15b,7,7,34822,52474,0.589
Chr15b,8,8,34822,62568,0.591
Chr15b,9,9,34822,70174,0.593
Chr15b,-1,-1,34822,34822,0.594
Chr15b,0,0,57200,57200,0.598
Chr15b,1,1,57200,64730,0.6
Chr15b,2,2,57200,72584,0.601
Chr15b,3,3,57200,59382,0.603
Chr15b,4,4,48850,48850,0.604
Chr15b,5,5,48850,50656,0.607
Chr15b,6,6,48850,53620,0.609
Chr15b,7,7,48850,60864,0.611
Chr15b,8,8,48850,77484,0.613
Chr15b,9,9,48850,79028,0.615
Chr15b,-1,-1,48850,48850,0.616
Chr15b,0,0,62090,62090,0.618
Chr15b,1,1,62090,71194,0.619
Chr15b,2,2,47440,47440,0.622
Chr15b,3,3,47440,66802,0.624
Chr15b,4,4,47440,70378,0.626
Chr15b,5,5,47440,64592,0.629
Chr15b,6,6,47440,50418,0.631
Chr15b,7,7,42886,42886,0.635
Chr15b,8,8,42886,60878,0.638
Chr15b,9,9,42886,70674,0.783
Chr15b,-1,-1,42886,42886,0.785
Chr15b,0,0,47184,47184,0.789
Chr15b,1,1,47184,68800,0.793
Chr15b,2,2,47184,54350,0.797
Chr15b,3,3,47184,82802,0.8
Chr15b,4,4,47184,54636,0.802
Chr15b,5,5,47184,53670,0.805
Chr15b,6,6,47184,58282,0.808
Chr15b,7,7,47184,92504,0.811
Chr15b,8,8,47184,73814,0.812
Chr15b,9,9,47184,80566,0.815
Chr15b,-1,-1,47184,47184,0.816
Chr15b,0,0,74822,74822,0.819
Chr15b,1,1,69224,69224,0.822
Chr15b,2,2,47130,47130,0.824
Chr15b,3,3,46902,46902,0.826
Chr15b,4,4,46902,65998,0.828
Chr15b,5,5,44750,44750,0.831
Chr15b,6,6,33786,33786,0.833
Chr15b,7,7,33786,59366,0.835
Chr15b,8,8,33786,50788,0.838
Chr15b,9,9,33786,73492,0.841
Chr15b,-1,-1,33786,33786,0.842
