instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Chr15c,0,0,47338,47338,0.001,42,119.75
Chr15c,1,1,42004,42004,0.005,42,119.75
Chr15c,2,2,42004,64642,0.009,42,119.75
Chr15c,3,3,42004,59886,0.012,42,119.75
Chr15c,4,4,42004,63362,0.016,42,119.75
Chr15c,5,5,42004,70038,0.018,42,119.75
Chr15c,6,6,42004,46118,0.02,42,119.75
Chr15c,7,7,42004,91908,0.024,42,119.75
Chr15c,8,8,42004,60592,0.026,42,119.75
Chr15c,9,9,42004,79226,0.028,42,119.75
Chr15c,9,9,42004,79226,0.029,42,119.75
Chr15c,0,0,75466,75466,0.031,43,119.75
Chr15c,1,1,61312,61312,0.034,43,119.75
Chr15c,2,2,61312,70518,0.036,43,119.75
Chr15c,3,3,61312,69042,0.039,43,119.75
Chr15c,4,4,57028,57028,0.042,43,119.75
Chr15c,5,5,57028,70900,0.045,43,119.75
Chr15c,6,6,57028,72378,0.047,43,119.75
Chr15c,7,7,50044,50044,0.049,43,119.75
Chr15c,8,8,50044,85412,0.051,43,119.75
Chr15c,9,9,50044,81616,0.054,43,119.75
Chr15c,9,9,50044,81616,0.056,43,119.75
Chr15c,0,0,59344,59344,0.059,44,119.75
Chr15c,1,1,59344,77762,0.06,44,119.75
Chr15c,2,2,59344,80980,0.062,44,119.75
Chr15c,3,3,59344,74052,0.064,44,119.75
Chr15c,4,4,54154,54154,0.067,44,119.75
Chr15c,5,5,54154,59964,0.069,44,119.75
Chr15c,6,6,54154,61554,0.072,44,119.75
Chr15c,7,7,54154,92530,0.075,44,119.75
Chr15c,8,8,49732,49732,0.077,44,119.75
Chr15c,9,9,49732,67830,0.079,44,119.75
Chr15c,9,9,49732,67830,0.08,44,119.75
Chr15c,0,0,61876,61876,0.083,45,119.75
Chr15c,1,1,61876,62752,0.085,45,119.75
Chr15c,2,2,54370,54370,0.087,45,119.75
Chr15c,3,3,54370,55504,0.089,45,119.75
Chr15c,4,4,54370,67072,0.091,45,119.75
Chr15c,5,5,54370,62868,0.092,45,119.75
Chr15c,6,6,49838,49838,0.094,45,119.75
Chr15c,7,7,49838,70038,0.096,45,119.75
Chr15c,8,8,49838,71676,0.098,45,119.75
Chr15c,9,9,49838,70580,0.099,45,119.75
Chr15c,9,9,49838,70580,0.1,45,119.75
Chr15c,0,0,60024,60024,0.102,46,119.75
Chr15c,1,1,60024,62440,0.103,46,119.75
Chr15c,2,2,48134,48134,0.106,46,119.75
Chr15c,3,3,48134,66446,0.108,46,119.75
Chr15c,4,4,48134,68512,0.11,46,119.75
Chr15c,5,5,48134,69080,0.112,46,119.75
Chr15c,6,6,48134,61934,0.115,46,119.75
Chr15c,7,7,48134,57948,0.116,46,119.75
Chr15c,8,8,48134,63098,0.118,46,119.75
Chr15c,9,9,48134,58296,0.12,46,119.75
Chr15c,9,9,48134,58296,0.121,46,119.75
Chr15c,0,0,69336,69336,0.124,47,119.75
Chr15c,1,1,66422,66422,0.126,47,119.75
Chr15c,2,2,63260,63260,0.128,47,119.75
Chr15c,3,3,63260,69068,0.13,47,119.75
Chr15c,4,4,63260,72374,0.131,47,119.75
Chr15c,5,5,63260,78510,0.133,47,119.75
Chr15c,6,6,55760,55760,0.135,47,119.75
Chr15c,7,7,46516,46516,0.137,47,119.75
Chr15c,8,8,46516,71666,0.139,47,119.75
Chr15c,9,9,46516,64812,0.143,47,119.75
Chr15c,9,9,46516,64812,0.144,47,119.75
Chr15c,0,0,64990,64990,0.147,48,119.75
Chr15c,1,1,64990,92164,0.149,48,119.75
Chr15c,2,2,64990,70634,0.15,48,119.75
Chr15c,3,3,64990,79170,0.152,48,119.75
Chr15c,4,4,58788,58788,0.153,48,119.75
Chr15c,5,5,58788,64700,0.154,48,119.75
Chr15c,6,6,58788,70982,0.156,48,119.75
Chr15c,7,7,55864,55864,0.158,48,119.75
Chr15c,8,8,55864,77910,0.16,48,119.75
Chr15c,9,9,55864,69278,0.161,48,119.75
Chr15c,9,9,55864,69278,0.162,48,119.75
Chr15c,0,0,43092,43092,0.164,49,119.75
Chr15c,1,1,43092,89372,0.165,49,119.75
Chr15c,2,2,43092,50576,0.165,49,119.75
Chr15c,3,3,43092,56532,0.167,49,119.75
Chr15c,4,4,43092,57786,0.168,49,119.75
Chr15c,5,5,43092,68212,0.169,49,119.75
Chr15c,6,6,43092,66720,0.171,49,119.75
Chr15c,7,7,43092,57182,0.171,49,119.75
Chr15c,8,8,43092,72338,0.175,49,119.75
Chr15c,9,9,43092,73630,0.176,49,119.75
Chr15c,9,9,43092,73630,0.177,49,119.75
Chr15c,0,0,47678,47678,0.179,50,119.75
Chr15c,1,1,47678,60534,0.181,50,119.75
Chr15c,2,2,47678,67388,0.182,50,119.75
Chr15c,3,3,47678,61568,0.184,50,119.75
Chr15c,4,4,47678,70660,0.185,50,119.75
Chr15c,5,5,47678,64352,0.188,50,119.75
Chr15c,6,6,47678,57878,0.192,50,119.75
Chr15c,7,7,47678,73900,0.193,50,119.75
Chr15c,8,8,47678,75774,0.195,50,119.75
Chr15c,9,9,47678,55820,0.197,50,119.75
Chr15c,9,9,47678,55820,0.198,50,119.75
Chr15c,0,0,76038,76038,0.2,51,119.75
Chr15c,1,1,54968,54968,0.202,51,119.75
Chr15c,2,2,47098,47098,0.204,51,119.75
Chr15c,3,3,47098,65960,0.207,51,119.75
Chr15c,4,4,47098,64504,0.209,51,119.75
Chr15c,5,5,47098,52804,0.211,51,119.75
Chr15c,6,6,47098,52714,0.213,51,119.75
Chr15c,7,7,47098,52298,0.215,51,119.75
Chr15c,8,8,47098,48812,0.216,51,119.75
Chr15c,9,9,47098,54550,0.217,51,119.75
Chr15c,9,9,47098,54550,0.218,51,119.75
