instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Chr20a,0,0,8396,8396,0.001,42,119.75
Chr20a,1,1,8396,9736,0.002,42,119.75
Chr20a,2,2,8396,10844,0.004,42,119.75
Chr20a,3,3,8396,9822,0.005,42,119.75
Chr20a,4,4,8396,10100,0.007,42,119.75
Chr20a,5,5,8396,11420,0.009,42,119.75
Chr20a,6,6,8396,10204,0.01,42,119.75
Chr20a,7,7,8396,11648,0.012,42,119.75
Chr20a,8,8,8272,8272,0.013,42,119.75
Chr20a,9,9,8272,10860,0.015,42,119.75
Chr20a,9,9,8272,10860,0.015,42,119.75
Chr20a,0,0,12158,12158,0.017,43,119.75
Chr20a,1,1,9804,9804,0.018,43,119.75
Chr20a,2,2,9804,10310,0.02,43,119.75
Chr20a,3,3,9804,11908,0.022,43,119.75
Chr20a,4,4,9804,10634,0.023,43,119.75
Chr20a,5,5,9466,9466,0.025,43,119.75
Chr20a,6,6,9466,12574,0.027,43,119.75
Chr20a,7,7,9466,10308,0.028,43,119.75
Chr20a,8,8,9466,11928,0.03,43,119.75
Chr20a,9,9,9466,10256,0.032,43,119.75
Chr20a,9,9,9466,10256,0.032,43,119.75
Chr20a,0,0,13002,13002,0.034,44,119.75
Chr20a,1,1,12980,12980,0.035,44,119.75
Chr20a,2,2,9240,9240,0.037,44,119.75
Chr20a,3,3,9240,9426,0.04,44,119.75
Chr20a,4,4,9240,9294,0.042,44,119.75
Chr20a,5,5,8288,8288,0.045,44,119.75
Chr20a,6,6,8288,10156,0.047,44,119.75
Chr20a,7,7,8288,13070,0.05,44,119.75
Chr20a,8,8,8288,9962,0.052,44,119.75
Chr20a,9,9,8288,12418,0.054,44,119.75
Chr20a,9,9,8288,12418,0.055,44,119.75
Chr20a,0,0,12236,12236,0.059,45,119.75
Chr20a,1,1,8282,8282,0.061,45,119.75
Chr20a,2,2,8282,10448,0.063,45,119.75
Chr20a,3,3,8282,8916,0.066,45,119.75
Chr20a,4,4,8282,12044,0.068,45,119.75
Chr20a,5,5,8282,11142,0.071,45,119.75
Chr20a,6,6,8282,8978,0.073,45,119.75
Chr20a,7,7,8282,11106,0.076,45,119.75
Chr20a,8,8,8282,10636,0.079,45,119.75
Chr20a,9,9,8282,12534,0.081,45,119.75
Chr20a,9,9,8282,12534,0.084,45,119.75
Chr20a,0,0,14904,14904,0.088,46,119.75
Chr20a,1,1,11518,11518,0.09,46,119.75
Chr20a,2,2,9258,9258,0.094,46,119.75
Chr20a,3,3,9258,10292,0.099,46,119.75
Chr20a,4,4,9258,10694,0.102,46,119.75
Chr20a,5,5,8674,8674,0.105,46,119.75
Chr20a,6,6,8674,10322,0.109,46,119.75
Chr20a,7,7,8674,12728,0.112,46,119.75
Chr20a,8,8,8674,11910,0.115,46,119.75
Chr20a,9,9,8674,9198,0.117,46,119.75
Chr20a,9,9,8674,9198,0.118,46,119.75
Chr20a,0,0,12180,12180,0.12,47,119.75
Chr20a,1,1,12180,12826,0.122,47,119.75
Chr20a,2,2,11080,11080,0.126,47,119.75
Chr20a,3,3,10856,10856,0.129,47,119.75
Chr20a,4,4,9996,9996,0.131,47,119.75
Chr20a,5,5,9996,11618,0.133,47,119.75
Chr20a,6,6,9996,11016,0.135,47,119.75
Chr20a,7,7,8342,8342,0.137,47,119.75
Chr20a,8,8,8342,9478,0.139,47,119.75
Chr20a,9,9,8342,11252,0.14,47,119.75
Chr20a,9,9,8342,11252,0.142,47,119.75
Chr20a,0,0,13330,13330,0.147,48,119.75
Chr20a,1,1,10642,10642,0.15,48,119.75
Chr20a,2,2,8842,8842,0.152,48,119.75
Chr20a,3,3,8842,10098,0.154,48,119.75
Chr20a,4,4,8842,9736,0.156,48,119.75
Chr20a,5,5,8842,10518,0.16,48,119.75
Chr20a,6,6,8842,12862,0.162,48,119.75
Chr20a,7,7,8842,12426,0.164,48,119.75
Chr20a,8,8,8842,11704,0.167,48,119.75
Chr20a,9,9,8842,9518,0.169,48,119.75
Chr20a,9,9,8842,9518,0.171,48,119.75
Chr20a,0,0,10252,10252,0.174,49,119.75
Chr20a,1,1,10252,11502,0.177,49,119.75
Chr20a,2,2,10252,13008,0.18,49,119.75
Chr20a,3,3,10252,10462,0.182,49,119.75
Chr20a,4,4,10252,12258,0.185,49,119.75
Chr20a,5,5,10252,10456,0.187,49,119.75
Chr20a,6,6,10252,13302,0.19,49,119.75
Chr20a,7,7,9578,9578,0.194,49,119.75
Chr20a,8,8,9578,10772,0.197,49,119.75
Chr20a,9,9,9578,12130,0.2,49,119.75
Chr20a,9,9,9578,12130,0.202,49,119.75
Chr20a,0,0,9538,9538,0.204,50,119.75
Chr20a,1,1,9538,11576,0.207,50,119.75
Chr20a,2,2,9254,9254,0.211,50,119.75
Chr20a,3,3,9254,10760,0.214,50,119.75
Chr20a,4,4,9254,11592,0.216,50,119.75
Chr20a,5,5,9254,10868,0.219,50,119.75
Chr20a,6,6,9254,10378,0.222,50,119.75
Chr20a,7,7,9254,13202,0.225,50,119.75
Chr20a,8,8,9228,9228,0.228,50,119.75
Chr20a,9,9,9228,10612,0.23,50,119.75
Chr20a,9,9,9228,10612,0.232,50,119.75
Chr20a,0,0,8488,8488,0.235,51,119.75
Chr20a,1,1,8488,9570,0.239,51,119.75
Chr20a,2,2,8488,9228,0.242,51,119.75
Chr20a,3,3,8488,13396,0.245,51,119.75
Chr20a,4,4,8488,12490,0.247,51,119.75
Chr20a,5,5,8488,10760,0.25,51,119.75
Chr20a,6,6,8488,10204,0.253,51,119.75
Chr20a,7,7,8488,11706,0.255,51,119.75
Chr20a,8,8,8156,8156,0.258,51,119.75
Chr20a,9,9,8156,12500,0.261,51,119.75
Chr20a,9,9,8156,12500,0.262,51,119.75
