instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Chr22a,0,0,12774,12774,0.002
Chr22a,1,1,12774,15578,0.005
Chr22a,2,2,12774,23358,0.007
Chr22a,3,3,12774,16600,0.009
Chr22a,4,4,12774,16686,0.01
Chr22a,5,5,12774,17978,0.012
Chr22a,6,6,12774,13760,0.013
Chr22a,7,7,12774,16906,0.016
Chr22a,8,8,12774,17162,0.017
Chr22a,9,9,12774,12818,0.018
Chr22a,-1,-1,12774,12774,0.018
Chr22a,0,0,12950,12950,0.021
Chr22a,1,1,12950,16650,0.021
Chr22a,2,2,12950,13034,0.022
Chr22a,3,3,12950,19874,0.024
Chr22a,4,4,12950,17888,0.026
Chr22a,5,5,12950,16952,0.027
Chr22a,6,6,12950,13428,0.029
Chr22a,7,7,12950,18244,0.031
Chr22a,8,8,12950,17422,0.033
Chr22a,9,9,12950,18510,0.034
Chr22a,-1,-1,12950,12950,0.035
Chr22a,0,0,18030,18030,0.036
Chr22a,1,1,14246,14246,0.037
Chr22a,2,2,13988,13988,0.038
Chr22a,3,3,13988,17280,0.04
Chr22a,4,4,13698,13698,0.041
Chr22a,5,5,13602,13602,0.042
Chr22a,6,6,13602,13706,0.043
Chr22a,7,7,13602,14260,0.044
Chr22a,8,8,13416,13416,0.047
Chr22a,9,9,12746,12746,0.05
Chr22a,-1,-1,12746,12746,0.051
Chr22a,0,0,13064,13064,0.052
Chr22a,1,1,13064,16392,0.053
Chr22a,2,2,13064,16874,0.054
Chr22a,3,3,13064,15870,0.056
Chr22a,4,4,13064,17556,0.057
Chr22a,5,5,11950,11950,0.058
Chr22a,6,6,11950,16206,0.059
Chr22a,7,7,11950,13722,0.06
Chr22a,8,8,11950,12572,0.061
Chr22a,9,9,11950,17978,0.064
Chr22a,-1,-1,11950,11950,0.065
Chr22a,0,0,18694,18694,0.067
Chr22a,1,1,13846,13846,0.069
Chr22a,2,2,13846,14222,0.07
Chr22a,3,3,13846,20150,0.071
Chr22a,4,4,13846,20164,0.072
Chr22a,5,5,13846,14656,0.074
Chr22a,6,6,13846,19256,0.074
Chr22a,7,7,13846,16074,0.077
Chr22a,8,8,12484,12484,0.078
Chr22a,9,9,12484,15332,0.08
Chr22a,-1,-1,12484,12484,0.081
Chr22a,0,0,17294,17294,0.083
Chr22a,1,1,16640,16640,0.084
Chr22a,2,2,15656,15656,0.085
Chr22a,3,3,15656,16704,0.087
Chr22a,4,4,15656,22946,0.088
Chr22a,5,5,15656,20772,0.089
Chr22a,6,6,15656,17144,0.09
Chr22a,7,7,15656,16258,0.091
Chr22a,8,8,15656,19428,0.092
Chr22a,9,9,14766,14766,0.094
Chr22a,-1,-1,14766,14766,0.094
Chr22a,0,0,16774,16774,0.096
Chr22a,1,1,16774,23650,0.099
Chr22a,2,2,16718,16718,0.1
Chr22a,3,3,16718,20072,0.102
Chr22a,4,4,12636,12636,0.105
Chr22a,5,5,12636,15794,0.106
Chr22a,6,6,12636,15842,0.106
Chr22a,7,7,12636,18450,0.107
Chr22a,8,8,12636,15116,0.109
Chr22a,9,9,12636,15480,0.111
Chr22a,-1,-1,12636,12636,0.111
Chr22a,0,0,16018,16018,0.113
Chr22a,1,1,15994,15994,0.116
Chr22a,2,2,15994,21142,0.118
Chr22a,3,3,15154,15154,0.12
Chr22a,4,4,14892,14892,0.121
Chr22a,5,5,14892,17038,0.123
Chr22a,6,6,12976,12976,0.124
Chr22a,7,7,12976,17896,0.125
Chr22a,8,8,12976,17208,0.126
Chr22a,9,9,12976,13480,0.128
Chr22a,-1,-1,12976,12976,0.129
Chr22a,0,0,17362,17362,0.133
Chr22a,1,1,17362,21614,0.135
Chr22a,2,2,16856,16856,0.136
Chr22a,3,3,16856,16972,0.138
Chr22a,4,4,16246,16246,0.14
Chr22a,5,5,13592,13592,0.141
Chr22a,6,6,13592,20830,0.143
Chr22a,7,7,13592,15070,0.144
Chr22a,8,8,10904,10904,0.146
Chr22a,9,9,10904,18848,0.148
Chr22a,-1,-1,10904,10904,0.149
Chr22a,0,0,12808,12808,0.151
Chr22a,1,1,12808,17682,0.152
Chr22a,2,2,12808,14600,0.155
Chr22a,3,3,11984,11984,0.156
Chr22a,4,4,11984,20702,0.157
Chr22a,5,5,11984,20332,0.159
Chr22a,6,6,11984,14200,0.16
Chr22a,7,7,11984,15828,0.163
Chr22a,8,8,11984,20390,0.167
Chr22a,9,9,11984,14678,0.169
Chr22a,-1,-1,11984,11984,0.17
