instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Esc128,0,0,206,206,0.041,42,119.75
Esc128,1,1,206,278,0.071,42,119.75
Esc128,2,2,206,274,0.095,42,119.75
Esc128,3,3,206,250,0.119,42,119.75
Esc128,4,4,206,250,0.146,42,119.75
Esc128,5,5,206,214,0.186,42,119.75
Esc128,6,6,206,260,0.222,42,119.75
Esc128,7,7,206,254,0.242,42,119.75
Esc128,8,8,206,258,0.264,42,119.75
Esc128,9,9,206,272,0.286,42,119.75
Esc128,9,9,206,272,0.288,42,119.75
Esc128,0,0,270,270,0.321,43,119.75
Esc128,1,1,250,250,0.358,43,119.75
Esc128,2,2,250,280,0.398,43,119.75
Esc128,3,3,250,254,0.436,43,119.75
Esc128,4,4,250,266,0.476,43,119.75
Esc128,5,5,246,246,0.52,43,119.75
Esc128,6,6,246,246,0.568,43,119.75
Esc128,7,7,238,238,0.607,43,119.75
Esc128,8,8,218,218,0.648,43,119.75
Esc128,9,9,190,190,0.696,43,119.75
Esc128,9,9,190,190,0.698,43,119.75
Esc128,0,0,222,222,0.749,44,119.75
Esc128,1,1,222,264,0.799,44,119.75
Esc128,2,2,222,280,0.848,44,119.75
Esc128,3,3,222,232,0.892,44,119.75
Esc128,4,4,222,246,0.934,44,119.75
Esc128,5,5,222,262,0.987,44,119.75
Esc128,6,6,222,278,1.027,44,119.75
Esc128,7,7,222,270,1.065,44,119.75
Esc128,8,8,222,250,1.099,44,119.75
Esc128,9,9,222,262,1.142,44,119.75
Esc128,9,9,222,262,1.144,44,119.75
Esc128,0,0,236,236,1.184,45,119.75
Esc128,1,1,236,254,1.227,45,119.75
Esc128,2,2,236,236,1.264,45,119.75
Esc128,3,3,236,252,1.303,45,119.75
Esc128,4,4,236,282,1.37,45,119.75
Esc128,5,5,236,274,1.421,45,119.75
Esc128,6,6,236,254,1.462,45,119.75
Esc128,7,7,236,282,1.495,45,119.75
Esc128,8,8,236,238,1.523,45,119.75
Esc128,9,9,230,230,1.544,45,119.75
Esc128,9,9,230,230,1.546,45,119.75
Esc128,0,0,216,216,1.573,46,119.75
Esc128,1,1,216,242,1.604,46,119.75
Esc128,2,2,216,246,1.633,46,119.75
Esc128,3,3,216,258,1.675,46,119.75
Esc128,4,4,216,254,1.732,46,119.75
Esc128,5,5,216,234,1.773,46,119.75
Esc128,6,6,216,250,1.817,46,119.75
Esc128,7,7,216,226,1.853,46,119.75
Esc128,8,8,216,270,1.892,46,119.75
Esc128,9,9,216,238,1.936,46,119.75
Esc128,9,9,216,238,1.939,46,119.75
Esc128,0,0,234,234,1.981,47,119.75
Esc128,1,1,234,270,2.02,47,119.75
Esc128,2,2,234,258,2.047,47,119.75
Esc128,3,3,234,256,2.082,47,119.75
Esc128,4,4,234,278,2.12,47,119.75
Esc128,5,5,234,274,2.147,47,119.75
Esc128,6,6,234,270,2.18,47,119.75
Esc128,7,7,234,258,2.206,47,119.75
Esc128,8,8,234,246,2.239,47,119.75
Esc128,9,9,226,226,2.267,47,119.75
Esc128,9,9,226,226,2.27,47,119.75
Esc128,0,0,262,262,2.302,48,119.75
Esc128,1,1,234,234,2.333,48,119.75
Esc128,2,2,234,254,2.36,48,119.75
Esc128,3,3,222,222,2.386,48,119.75
Esc128,4,4,222,258,2.433,48,119.75
Esc128,5,5,216,216,2.5,48,119.75
Esc128,6,6,216,274,2.542,48,119.75
Esc128,7,7,216,262,2.583,48,119.75
Esc128,8,8,216,222,2.631,48,119.75
Esc128,9,9,216,278,2.678,48,119.75
Esc128,9,9,216,278,2.681,48,119.75
Esc128,0,0,226,226,2.723,49,119.75
Esc128,1,1,214,214,2.77,49,119.75
Esc128,2,2,214,238,2.813,49,119.75
Esc128,3,3,214,246,2.86,49,119.75
Esc128,4,4,214,224,2.894,49,119.75
Esc128,5,5,214,272,2.938,49,119.75
Esc128,6,6,214,226,2.983,49,119.75
Esc128,7,7,194,194,3.023,49,119.75
Esc128,8,8,194,214,3.061,49,119.75
Esc128,9,9,194,218,3.099,49,119.75
Esc128,9,9,194,218,3.102,49,119.75
Esc128,0,0,244,244,3.144,50,119.75
Esc128,1,1,244,262,3.181,50,119.75
Esc128,2,2,202,202,3.223,50,119.75
Esc128,3,3,202,226,3.265,50,119.75
Esc128,4,4,202,218,3.308,50,119.75
Esc128,5,5,202,252,3.346,50,119.75
Esc128,6,6,202,278,3.392,50,119.75
Esc128,7,7,202,250,3.433,50,119.75
Esc128,8,8,202,258,3.474,50,119.75
Esc128,9,9,202,278,3.521,50,119.75
Esc128,9,9,202,278,3.524,50,119.75
Esc128,0,0,226,226,3.565,51,119.75
Esc128,1,1,216,216,3.606,51,119.75
Esc128,2,2,216,242,3.649,51,119.75
Esc128,3,3,216,228,3.687,51,119.75
Esc128,4,4,216,266,3.705,51,119.75
Esc128,5,5,216,254,3.723,51,119.75
Esc128,6,6,216,218,3.757,51,119.75
Esc128,7,7,216,246,3.802,51,119.75
Esc128,8,8,216,248,3.843,51,119.75
Esc128,9,9,216,302,3.867,51,119.75
Esc128,9,9,216,302,3.869,51,119.75
