instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc16b,0,0,308,308,0.001
Esc16b,1,1,304,304,0.003
Esc16b,2,2,304,310,0.004
Esc16b,3,3,302,302,0.005
Esc16b,4,4,302,306,0.006
Esc16b,5,5,302,320,0.007
Esc16b,6,6,302,306,0.009
Esc16b,7,7,302,306,0.01
Esc16b,8,8,302,318,0.011
Esc16b,9,9,302,306,0.013
Esc16b,-1,-1,302,302,0.013
Esc16b,0,0,298,298,0.015
Esc16b,1,1,298,302,0.016
Esc16b,2,2,298,314,0.018
Esc16b,3,3,298,310,0.02
Esc16b,4,4,298,314,0.022
Esc16b,5,5,298,298,0.025
Esc16b,6,6,298,306,0.029
Esc16b,7,7,298,314,0.032
Esc16b,8,8,298,314,0.035
Esc16b,9,9,298,322,0.038
Esc16b,-1,-1,298,298,0.039
Esc16b,0,0,314,314,0.042
Esc16b,1,1,314,316,0.043
Esc16b,2,2,306,306,0.044
Esc16b,3,3,300,300,0.045
Esc16b,4,4,300,320,0.046
Esc16b,5,5,300,314,0.048
Esc16b,6,6,298,298,0.049
Esc16b,7,7,298,302,0.051
Esc16b,8,8,298,322,0.052
Esc16b,9,9,298,306,0.053
Esc16b,-1,-1,298,298,0.054
Esc16b,0,0,320,320,0.056
Esc16b,1,1,314,314,0.057
Esc16b,2,2,310,310,0.058
Esc16b,3,3,302,302,0.06
Esc16b,4,4,302,318,0.061
Esc16b,5,5,302,302,0.063
Esc16b,6,6,302,302,0.064
Esc16b,7,7,298,298,0.066
Esc16b,8,8,298,306,0.068
Esc16b,9,9,298,314,0.07
Esc16b,-1,-1,298,298,0.071
Esc16b,0,0,322,322,0.072
Esc16b,1,1,302,302,0.074
Esc16b,2,2,302,302,0.076
Esc16b,3,3,302,302,0.077
Esc16b,4,4,300,300,0.079
Esc16b,5,5,300,318,0.08
Esc16b,6,6,300,306,0.082
Esc16b,7,7,300,306,0.083
Esc16b,8,8,300,306,0.085
Esc16b,9,9,300,306,0.087
Esc16b,-1,-1,300,300,0.088
Esc16b,0,0,308,308,0.09
Esc16b,1,1,302,302,0.092
Esc16b,2,2,302,302,0.094
Esc16b,3,3,302,310,0.096
Esc16b,4,4,302,302,0.099
Esc16b,5,5,302,306,0.101
Esc16b,6,6,302,306,0.102
Esc16b,7,7,302,312,0.104
Esc16b,8,8,302,306,0.105
Esc16b,9,9,302,314,0.106
Esc16b,-1,-1,302,302,0.107
Esc16b,0,0,310,310,0.108
Esc16b,1,1,310,314,0.11
Esc16b,2,2,302,302,0.112
Esc16b,3,3,302,320,0.114
Esc16b,4,4,302,302,0.116
Esc16b,5,5,302,302,0.118
Esc16b,6,6,302,314,0.119
Esc16b,7,7,302,318,0.121
Esc16b,8,8,302,314,0.122
Esc16b,9,9,302,306,0.124
Esc16b,-1,-1,302,302,0.125
Esc16b,0,0,310,310,0.127
Esc16b,1,1,310,322,0.128
Esc16b,2,2,310,310,0.13
Esc16b,3,3,298,298,0.131
Esc16b,4,4,298,306,0.132
Esc16b,5,5,298,302,0.133
Esc16b,6,6,298,318,0.134
Esc16b,7,7,298,300,0.135
Esc16b,8,8,298,314,0.136
Esc16b,9,9,298,322,0.137
Esc16b,-1,-1,298,298,0.138
Esc16b,0,0,318,318,0.139
Esc16b,1,1,306,306,0.141
Esc16b,2,2,306,314,0.142
Esc16b,3,3,306,306,0.143
Esc16b,4,4,300,300,0.144
Esc16b,5,5,300,322,0.145
Esc16b,6,6,300,314,0.148
Esc16b,7,7,300,314,0.151
Esc16b,8,8,300,310,0.153
Esc16b,9,9,300,306,0.156
Esc16b,-1,-1,300,300,0.158
Esc16b,0,0,318,318,0.161
Esc16b,1,1,298,298,0.164
Esc16b,2,2,298,316,0.166
Esc16b,3,3,298,322,0.169
Esc16b,4,4,298,310,0.17
Esc16b,5,5,298,310,0.174
Esc16b,6,6,298,320,0.177
Esc16b,7,7,298,306,0.179
Esc16b,8,8,298,306,0.18
Esc16b,9,9,298,298,0.181
Esc16b,-1,-1,298,298,0.182
