instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc16e,0,0,52,52,0.0
Esc16e,1,1,52,60,0.004
Esc16e,2,2,48,48,0.005
Esc16e,3,3,48,52,0.005
Esc16e,4,4,44,44,0.006
Esc16e,5,5,44,52,0.007
Esc16e,6,6,44,60,0.007
Esc16e,7,7,44,44,0.009
Esc16e,8,8,40,40,0.01
Esc16e,9,9,40,48,0.01
Esc16e,-1,-1,40,40,0.011
Esc16e,0,0,44,44,0.012
Esc16e,1,1,44,52,0.012
Esc16e,2,2,44,60,0.013
Esc16e,3,3,44,48,0.014
Esc16e,4,4,44,52,0.015
Esc16e,5,5,44,48,0.016
Esc16e,6,6,44,48,0.016
Esc16e,7,7,44,56,0.017
Esc16e,8,8,44,60,0.019
Esc16e,9,9,36,36,0.02
Esc16e,-1,-1,36,36,0.021
Esc16e,0,0,44,44,0.022
Esc16e,1,1,44,48,0.023
Esc16e,2,2,44,48,0.024
Esc16e,3,3,44,56,0.025
Esc16e,4,4,44,60,0.025
Esc16e,5,5,44,44,0.026
Esc16e,6,6,44,52,0.027
Esc16e,7,7,44,56,0.027
Esc16e,8,8,44,56,0.028
Esc16e,9,9,44,52,0.029
Esc16e,-1,-1,44,44,0.029
Esc16e,0,0,36,36,0.03
Esc16e,1,1,36,52,0.03
Esc16e,2,2,36,40,0.032
Esc16e,3,3,36,48,0.033
Esc16e,4,4,36,52,0.033
Esc16e,5,5,36,52,0.034
Esc16e,6,6,36,48,0.036
Esc16e,7,7,36,48,0.037
Esc16e,8,8,36,44,0.038
Esc16e,9,9,36,52,0.038
Esc16e,-1,-1,36,36,0.039
Esc16e,0,0,52,52,0.04
Esc16e,1,1,44,44,0.04
Esc16e,2,2,44,48,0.042
Esc16e,3,3,44,52,0.043
Esc16e,4,4,44,60,0.044
Esc16e,5,5,44,48,0.045
Esc16e,6,6,44,56,0.046
Esc16e,7,7,44,60,0.047
Esc16e,8,8,44,52,0.048
Esc16e,9,9,44,60,0.049
Esc16e,-1,-1,44,44,0.049
Esc16e,0,0,44,44,0.05
Esc16e,1,1,44,48,0.051
Esc16e,2,2,44,52,0.053
Esc16e,3,3,44,44,0.054
Esc16e,4,4,44,48,0.055
Esc16e,5,5,44,60,0.056
Esc16e,6,6,44,60,0.057
Esc16e,7,7,44,52,0.058
Esc16e,8,8,44,56,0.058
Esc16e,9,9,44,60,0.059
Esc16e,-1,-1,44,44,0.06
Esc16e,0,0,52,52,0.061
Esc16e,1,1,40,40,0.062
Esc16e,2,2,40,48,0.063
Esc16e,3,3,40,64,0.064
Esc16e,4,4,40,52,0.065
Esc16e,5,5,40,40,0.067
Esc16e,6,6,40,56,0.068
Esc16e,7,7,40,56,0.069
Esc16e,8,8,40,40,0.07
Esc16e,9,9,40,60,0.071
Esc16e,-1,-1,40,40,0.072
Esc16e,0,0,60,60,0.073
Esc16e,1,1,48,48,0.074
Esc16e,2,2,48,48,0.075
Esc16e,3,3,48,56,0.076
Esc16e,4,4,48,60,0.077
Esc16e,5,5,48,48,0.078
Esc16e,6,6,48,52,0.078
Esc16e,7,7,48,52,0.079
Esc16e,8,8,48,60,0.08
Esc16e,9,9,48,56,0.081
Esc16e,-1,-1,48,48,0.081
Esc16e,0,0,56,56,0.082
Esc16e,1,1,52,52,0.083
Esc16e,2,2,48,48,0.084
Esc16e,3,3,48,52,0.085
Esc16e,4,4,48,52,0.086
Esc16e,5,5,48,52,0.087
Esc16e,6,6,44,44,0.089
Esc16e,7,7,44,48,0.09
Esc16e,8,8,40,40,0.093
Esc16e,9,9,40,52,0.095
Esc16e,-1,-1,40,40,0.095
Esc16e,0,0,64,64,0.097
Esc16e,1,1,60,60,0.098
Esc16e,2,2,40,40,0.098
Esc16e,3,3,40,56,0.099
Esc16e,4,4,40,48,0.1
Esc16e,5,5,40,52,0.101
Esc16e,6,6,40,56,0.103
Esc16e,7,7,40,48,0.104
Esc16e,8,8,40,44,0.104
Esc16e,9,9,40,60,0.105
Esc16e,-1,-1,40,40,0.106
