instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Esc16f,0,0,0,0,0.001,42,119.75
Esc16f,1,1,0,0,0.004,42,119.75
Esc16f,2,2,0,0,0.007,42,119.75
Esc16f,3,3,0,0,0.01,42,119.75
Esc16f,4,4,0,0,0.013,42,119.75
Esc16f,5,5,0,0,0.015,42,119.75
Esc16f,6,6,0,0,0.017,42,119.75
Esc16f,7,7,0,0,0.018,42,119.75
Esc16f,8,8,0,0,0.02,42,119.75
Esc16f,9,9,0,0,0.022,42,119.75
Esc16f,9,9,0,0,0.023,42,119.75
Esc16f,0,0,0,0,0.025,43,119.75
Esc16f,1,1,0,0,0.027,43,119.75
Esc16f,2,2,0,0,0.029,43,119.75
Esc16f,3,3,0,0,0.03,43,119.75
Esc16f,4,4,0,0,0.032,43,119.75
Esc16f,5,5,0,0,0.033,43,119.75
Esc16f,6,6,0,0,0.035,43,119.75
Esc16f,7,7,0,0,0.038,43,119.75
Esc16f,8,8,0,0,0.042,43,119.75
Esc16f,9,9,0,0,0.045,43,119.75
Esc16f,9,9,0,0,0.045,43,119.75
Esc16f,0,0,0,0,0.048,44,119.75
Esc16f,1,1,0,0,0.05,44,119.75
Esc16f,2,2,0,0,0.051,44,119.75
Esc16f,3,3,0,0,0.053,44,119.75
Esc16f,4,4,0,0,0.055,44,119.75
Esc16f,5,5,0,0,0.058,44,119.75
Esc16f,6,6,0,0,0.062,44,119.75
Esc16f,7,7,0,0,0.063,44,119.75
Esc16f,8,8,0,0,0.066,44,119.75
Esc16f,9,9,0,0,0.067,44,119.75
Esc16f,9,9,0,0,0.068,44,119.75
Esc16f,0,0,0,0,0.07,45,119.75
Esc16f,1,1,0,0,0.072,45,119.75
Esc16f,2,2,0,0,0.076,45,119.75
Esc16f,3,3,0,0,0.08,45,119.75
Esc16f,4,4,0,0,0.082,45,119.75
Esc16f,5,5,0,0,0.085,45,119.75
Esc16f,6,6,0,0,0.087,45,119.75
Esc16f,7,7,0,0,0.089,45,119.75
Esc16f,8,8,0,0,0.092,45,119.75
Esc16f,9,9,0,0,0.094,45,119.75
Esc16f,9,9,0,0,0.095,45,119.75
Esc16f,0,0,0,0,0.098,46,119.75
Esc16f,1,1,0,0,0.1,46,119.75
Esc16f,2,2,0,0,0.103,46,119.75
Esc16f,3,3,0,0,0.104,46,119.75
Esc16f,4,4,0,0,0.106,46,119.75
Esc16f,5,5,0,0,0.11,46,119.75
Esc16f,6,6,0,0,0.112,46,119.75
Esc16f,7,7,0,0,0.114,46,119.75
Esc16f,8,8,0,0,0.115,46,119.75
Esc16f,9,9,0,0,0.116,46,119.75
Esc16f,9,9,0,0,0.117,46,119.75
Esc16f,0,0,0,0,0.119,47,119.75
Esc16f,1,1,0,0,0.12,47,119.75
Esc16f,2,2,0,0,0.122,47,119.75
Esc16f,3,3,0,0,0.123,47,119.75
Esc16f,4,4,0,0,0.125,47,119.75
Esc16f,5,5,0,0,0.128,47,119.75
Esc16f,6,6,0,0,0.13,47,119.75
Esc16f,7,7,0,0,0.131,47,119.75
Esc16f,8,8,0,0,0.133,47,119.75
Esc16f,9,9,0,0,0.135,47,119.75
Esc16f,9,9,0,0,0.136,47,119.75
Esc16f,0,0,0,0,0.138,48,119.75
Esc16f,1,1,0,0,0.139,48,119.75
Esc16f,2,2,0,0,0.141,48,119.75
Esc16f,3,3,0,0,0.143,48,119.75
Esc16f,4,4,0,0,0.145,48,119.75
Esc16f,5,5,0,0,0.146,48,119.75
Esc16f,6,6,0,0,0.149,48,119.75
Esc16f,7,7,0,0,0.152,48,119.75
Esc16f,8,8,0,0,0.155,48,119.75
Esc16f,9,9,0,0,0.159,48,119.75
Esc16f,9,9,0,0,0.16,48,119.75
Esc16f,0,0,0,0,0.164,49,119.75
Esc16f,1,1,0,0,0.167,49,119.75
Esc16f,2,2,0,0,0.17,49,119.75
Esc16f,3,3,0,0,0.172,49,119.75
Esc16f,4,4,0,0,0.175,49,119.75
Esc16f,5,5,0,0,0.178,49,119.75
Esc16f,6,6,0,0,0.181,49,119.75
Esc16f,7,7,0,0,0.182,49,119.75
Esc16f,8,8,0,0,0.184,49,119.75
Esc16f,9,9,0,0,0.187,49,119.75
Esc16f,9,9,0,0,0.188,49,119.75
Esc16f,0,0,0,0,0.19,50,119.75
Esc16f,1,1,0,0,0.194,50,119.75
Esc16f,2,2,0,0,0.197,50,119.75
Esc16f,3,3,0,0,0.199,50,119.75
Esc16f,4,4,0,0,0.201,50,119.75
Esc16f,5,5,0,0,0.202,50,119.75
Esc16f,6,6,0,0,0.205,50,119.75
Esc16f,7,7,0,0,0.207,50,119.75
Esc16f,8,8,0,0,0.21,50,119.75
Esc16f,9,9,0,0,0.212,50,119.75
Esc16f,9,9,0,0,0.213,50,119.75
Esc16f,0,0,0,0,0.215,51,119.75
Esc16f,1,1,0,0,0.217,51,119.75
Esc16f,2,2,0,0,0.219,51,119.75
Esc16f,3,3,0,0,0.221,51,119.75
Esc16f,4,4,0,0,0.223,51,119.75
Esc16f,5,5,0,0,0.226,51,119.75
Esc16f,6,6,0,0,0.229,51,119.75
Esc16f,7,7,0,0,0.231,51,119.75
Esc16f,8,8,0,0,0.234,51,119.75
Esc16f,9,9,0,0,0.236,51,119.75
Esc16f,9,9,0,0,0.237,51,119.75
