instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Esc32a,0,0,398,398,0.004,42,119.75
Esc32a,1,1,398,426,0.01,42,119.75
Esc32a,2,2,374,374,0.014,42,119.75
Esc32a,3,3,374,438,0.019,42,119.75
Esc32a,4,4,374,426,0.023,42,119.75
Esc32a,5,5,374,450,0.027,42,119.75
Esc32a,6,6,370,370,0.031,42,119.75
Esc32a,7,7,370,422,0.036,42,119.75
Esc32a,8,8,370,428,0.04,42,119.75
Esc32a,9,9,370,386,0.045,42,119.75
Esc32a,9,9,370,386,0.046,42,119.75
Esc32a,0,0,436,436,0.051,43,119.75
Esc32a,1,1,436,442,0.055,43,119.75
Esc32a,2,2,418,418,0.06,43,119.75
Esc32a,3,3,402,402,0.064,43,119.75
Esc32a,4,4,402,414,0.069,43,119.75
Esc32a,5,5,402,406,0.073,43,119.75
Esc32a,6,6,366,366,0.078,43,119.75
Esc32a,7,7,366,374,0.083,43,119.75
Esc32a,8,8,366,382,0.089,43,119.75
Esc32a,9,9,366,394,0.093,43,119.75
Esc32a,9,9,366,394,0.095,43,119.75
Esc32a,0,0,386,386,0.1,44,119.75
Esc32a,1,1,386,418,0.105,44,119.75
Esc32a,2,2,386,414,0.109,44,119.75
Esc32a,3,3,386,438,0.113,44,119.75
Esc32a,4,4,386,466,0.118,44,119.75
Esc32a,5,5,386,438,0.122,44,119.75
Esc32a,6,6,386,462,0.127,44,119.75
Esc32a,7,7,386,402,0.131,44,119.75
Esc32a,8,8,386,414,0.137,44,119.75
Esc32a,9,9,386,386,0.142,44,119.75
Esc32a,9,9,386,386,0.143,44,119.75
Esc32a,0,0,442,442,0.151,45,119.75
Esc32a,1,1,378,378,0.158,45,119.75
Esc32a,2,2,378,438,0.166,45,119.75
Esc32a,3,3,378,430,0.171,45,119.75
Esc32a,4,4,378,458,0.175,45,119.75
Esc32a,5,5,378,390,0.179,45,119.75
Esc32a,6,6,378,382,0.184,45,119.75
Esc32a,7,7,378,402,0.189,45,119.75
Esc32a,8,8,378,414,0.193,45,119.75
Esc32a,9,9,378,418,0.197,45,119.75
Esc32a,9,9,378,418,0.199,45,119.75
Esc32a,0,0,426,426,0.204,46,119.75
Esc32a,1,1,426,438,0.208,46,119.75
Esc32a,2,2,422,422,0.212,46,119.75
Esc32a,3,3,406,406,0.217,46,119.75
Esc32a,4,4,406,430,0.221,46,119.75
Esc32a,5,5,370,370,0.225,46,119.75
Esc32a,6,6,370,438,0.229,46,119.75
Esc32a,7,7,370,394,0.233,46,119.75
Esc32a,8,8,370,386,0.238,46,119.75
Esc32a,9,9,370,454,0.242,46,119.75
Esc32a,9,9,370,454,0.243,46,119.75
Esc32a,0,0,448,448,0.247,47,119.75
Esc32a,1,1,334,334,0.252,47,119.75
Esc32a,2,2,334,434,0.256,47,119.75
Esc32a,3,3,334,382,0.261,47,119.75
Esc32a,4,4,334,426,0.266,47,119.75
Esc32a,5,5,334,480,0.27,47,119.75
Esc32a,6,6,334,398,0.274,47,119.75
Esc32a,7,7,318,318,0.277,47,119.75
Esc32a,8,8,318,360,0.28,47,119.75
Esc32a,9,9,318,412,0.284,47,119.75
Esc32a,9,9,318,412,0.286,47,119.75
Esc32a,0,0,460,460,0.288,48,119.75
Esc32a,1,1,390,390,0.291,48,119.75
Esc32a,2,2,390,434,0.294,48,119.75
Esc32a,3,3,390,406,0.297,48,119.75
Esc32a,4,4,390,468,0.302,48,119.75
Esc32a,5,5,378,378,0.306,48,119.75
Esc32a,6,6,378,418,0.31,48,119.75
Esc32a,7,7,378,446,0.315,48,119.75
Esc32a,8,8,378,484,0.32,48,119.75
Esc32a,9,9,378,410,0.324,48,119.75
Esc32a,9,9,378,410,0.325,48,119.75
Esc32a,0,0,410,410,0.33,49,119.75
Esc32a,1,1,342,342,0.335,49,119.75
Esc32a,2,2,342,440,0.339,49,119.75
Esc32a,3,3,342,394,0.343,49,119.75
Esc32a,4,4,342,438,0.349,49,119.75
Esc32a,5,5,342,406,0.354,49,119.75
Esc32a,6,6,342,426,0.358,49,119.75
Esc32a,7,7,342,422,0.363,49,119.75
Esc32a,8,8,342,408,0.37,49,119.75
Esc32a,9,9,342,420,0.374,49,119.75
Esc32a,9,9,342,420,0.376,49,119.75
Esc32a,0,0,452,452,0.381,50,119.75
Esc32a,1,1,410,410,0.387,50,119.75
Esc32a,2,2,410,414,0.392,50,119.75
Esc32a,3,3,390,390,0.4,50,119.75
Esc32a,4,4,390,442,0.405,50,119.75
Esc32a,5,5,390,426,0.409,50,119.75
Esc32a,6,6,390,466,0.412,50,119.75
Esc32a,7,7,390,418,0.417,50,119.75
Esc32a,8,8,390,426,0.422,50,119.75
Esc32a,9,9,390,438,0.425,50,119.75
Esc32a,9,9,390,438,0.425,50,119.75
Esc32a,0,0,398,398,0.429,51,119.75
Esc32a,1,1,354,354,0.433,51,119.75
Esc32a,2,2,354,402,0.435,51,119.75
Esc32a,3,3,354,394,0.439,51,119.75
Esc32a,4,4,354,430,0.442,51,119.75
Esc32a,5,5,354,448,0.444,51,119.75
Esc32a,6,6,354,482,0.447,51,119.75
Esc32a,7,7,354,402,0.451,51,119.75
Esc32a,8,8,354,398,0.454,51,119.75
Esc32a,9,9,354,446,0.455,51,119.75
Esc32a,9,9,354,446,0.456,51,119.75
