instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Esc32b,0,0,380,380,0.002,42
Esc32b,1,1,356,356,0.005,42
Esc32b,2,2,356,368,0.008,42
Esc32b,3,3,356,356,0.011,42
Esc32b,4,4,356,380,0.013,42
Esc32b,5,5,356,372,0.015,42
Esc32b,6,6,356,360,0.017,42
Esc32b,7,7,356,388,0.019,42
Esc32b,8,8,348,348,0.021,42
Esc32b,9,9,348,356,0.022,42
Esc32b,-1,-1,348,348,0.023,42
Esc32b,0,0,344,344,0.025,43
Esc32b,1,1,344,400,0.026,43
Esc32b,2,2,344,364,0.028,43
Esc32b,3,3,344,360,0.029,43
Esc32b,4,4,344,364,0.031,43
Esc32b,5,5,332,332,0.033,43
Esc32b,6,6,332,360,0.034,43
Esc32b,7,7,332,396,0.036,43
Esc32b,8,8,328,328,0.038,43
Esc32b,9,9,328,396,0.041,43
Esc32b,-1,-1,328,328,0.041,43
Esc32b,0,0,344,344,0.044,44
Esc32b,1,1,344,404,0.048,44
Esc32b,2,2,344,384,0.052,44
Esc32b,3,3,344,372,0.055,44
Esc32b,4,4,344,356,0.058,44
Esc32b,5,5,340,340,0.061,44
Esc32b,6,6,340,368,0.065,44
Esc32b,7,7,340,380,0.07,44
Esc32b,8,8,328,328,0.074,44
Esc32b,9,9,328,424,0.08,44
Esc32b,-1,-1,328,328,0.083,44
Esc32b,0,0,340,340,0.088,45
Esc32b,1,1,340,380,0.093,45
Esc32b,2,2,340,400,0.098,45
Esc32b,3,3,340,356,0.104,45
Esc32b,4,4,340,368,0.107,45
Esc32b,5,5,340,384,0.111,45
Esc32b,6,6,340,344,0.116,45
Esc32b,7,7,340,360,0.119,45
Esc32b,8,8,340,340,0.125,45
Esc32b,9,9,340,348,0.131,45
Esc32b,-1,-1,340,340,0.132,45
Esc32b,0,0,356,356,0.137,46
Esc32b,1,1,348,348,0.142,46
Esc32b,2,2,348,364,0.147,46
Esc32b,3,3,344,344,0.153,46
Esc32b,4,4,344,388,0.159,46
Esc32b,5,5,344,348,0.163,46
Esc32b,6,6,336,336,0.168,46
Esc32b,7,7,336,400,0.172,46
Esc32b,8,8,336,348,0.176,46
Esc32b,9,9,336,360,0.18,46
Esc32b,-1,-1,336,336,0.183,46
Esc32b,0,0,356,356,0.187,47
Esc32b,1,1,332,332,0.19,47
Esc32b,2,2,332,340,0.192,47
Esc32b,3,3,332,384,0.195,47
Esc32b,4,4,332,336,0.2,47
Esc32b,5,5,332,384,0.205,47
Esc32b,6,6,332,348,0.209,47
Esc32b,7,7,324,324,0.214,47
Esc32b,8,8,324,360,0.219,47
Esc32b,9,9,324,372,0.223,47
Esc32b,-1,-1,324,324,0.224,47
Esc32b,0,0,428,428,0.229,48
Esc32b,1,1,372,372,0.234,48
Esc32b,2,2,340,340,0.238,48
Esc32b,3,3,324,324,0.241,48
Esc32b,4,4,324,388,0.245,48
Esc32b,5,5,324,376,0.248,48
Esc32b,6,6,324,344,0.251,48
Esc32b,7,7,324,360,0.254,48
Esc32b,8,8,324,392,0.258,48
Esc32b,9,9,324,360,0.263,48
Esc32b,-1,-1,324,324,0.266,48
Esc32b,0,0,348,348,0.269,49
Esc32b,1,1,348,396,0.272,49
Esc32b,2,2,332,332,0.275,49
Esc32b,3,3,332,352,0.279,49
Esc32b,4,4,332,372,0.284,49
Esc32b,5,5,332,380,0.288,49
Esc32b,6,6,332,396,0.292,49
Esc32b,7,7,332,340,0.296,49
Esc32b,8,8,332,388,0.3,49
Esc32b,9,9,332,388,0.305,49
Esc32b,-1,-1,332,332,0.306,49
Esc32b,0,0,340,340,0.31,50
Esc32b,1,1,332,332,0.314,50
Esc32b,2,2,332,384,0.318,50
Esc32b,3,3,332,356,0.321,50
Esc32b,4,4,320,320,0.324,50
Esc32b,5,5,320,356,0.327,50
Esc32b,6,6,320,372,0.329,50
Esc32b,7,7,320,376,0.332,50
Esc32b,8,8,320,388,0.335,50
Esc32b,9,9,320,372,0.339,50
Esc32b,-1,-1,320,320,0.34,50
Esc32b,0,0,336,336,0.344,51
Esc32b,1,1,336,372,0.35,51
Esc32b,2,2,336,352,0.354,51
Esc32b,3,3,336,384,0.358,51
Esc32b,4,4,336,368,0.361,51
Esc32b,5,5,336,364,0.365,51
Esc32b,6,6,336,376,0.369,51
Esc32b,7,7,336,372,0.374,51
Esc32b,8,8,336,336,0.378,51
Esc32b,9,9,336,392,0.382,51
Esc32b,-1,-1,336,336,0.383,51
