instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc32c,0,0,886,886,0.001
Esc32c,1,1,786,786,0.005
Esc32c,2,2,786,802,0.008
Esc32c,3,3,786,894,0.011
Esc32c,4,4,786,886,0.012
Esc32c,5,5,786,856,0.014
Esc32c,6,6,786,930,0.016
Esc32c,7,7,786,892,0.017
Esc32c,8,8,786,854,0.02
Esc32c,9,9,786,846,0.022
Esc32c,-1,-1,786,786,0.024
Esc32c,0,0,874,874,0.027
Esc32c,1,1,770,770,0.029
Esc32c,2,2,770,918,0.031
Esc32c,3,3,770,966,0.033
Esc32c,4,4,770,802,0.035
Esc32c,5,5,770,846,0.039
Esc32c,6,6,770,874,0.057
Esc32c,7,7,770,786,0.062
Esc32c,8,8,770,918,0.066
Esc32c,9,9,770,850,0.071
Esc32c,-1,-1,770,770,0.072
Esc32c,0,0,778,778,0.076
Esc32c,1,1,778,782,0.081
Esc32c,2,2,778,854,0.086
Esc32c,3,3,778,810,0.092
Esc32c,4,4,778,782,0.098
Esc32c,5,5,774,774,0.103
Esc32c,6,6,754,754,0.108
Esc32c,7,7,754,874,0.112
Esc32c,8,8,754,758,0.115
Esc32c,9,9,754,774,0.117
Esc32c,-1,-1,754,754,0.118
Esc32c,0,0,822,822,0.12
Esc32c,1,1,822,854,0.123
Esc32c,2,2,822,950,0.126
Esc32c,3,3,782,782,0.13
Esc32c,4,4,782,788,0.137
Esc32c,5,5,782,794,0.141
Esc32c,6,6,782,918,0.143
Esc32c,7,7,782,874,0.145
Esc32c,8,8,782,786,0.147
Esc32c,9,9,782,830,0.149
Esc32c,-1,-1,782,782,0.15
Esc32c,0,0,810,810,0.152
Esc32c,1,1,810,818,0.155
Esc32c,2,2,802,802,0.158
Esc32c,3,3,802,914,0.16
Esc32c,4,4,802,902,0.162
Esc32c,5,5,790,790,0.165
Esc32c,6,6,790,866,0.167
Esc32c,7,7,790,894,0.169
Esc32c,8,8,790,886,0.172
Esc32c,9,9,790,802,0.175
Esc32c,-1,-1,790,790,0.177
Esc32c,0,0,930,930,0.18
Esc32c,1,1,846,846,0.184
Esc32c,2,2,842,842,0.188
Esc32c,3,3,842,862,0.191
Esc32c,4,4,834,834,0.195
Esc32c,5,5,834,914,0.199
Esc32c,6,6,806,806,0.204
Esc32c,7,7,806,878,0.208
Esc32c,8,8,806,930,0.212
Esc32c,9,9,806,930,0.215
Esc32c,-1,-1,806,806,0.216
Esc32c,0,0,874,874,0.221
Esc32c,1,1,818,818,0.224
Esc32c,2,2,786,786,0.228
Esc32c,3,3,766,766,0.234
Esc32c,4,4,766,774,0.238
Esc32c,5,5,766,778,0.24
Esc32c,6,6,766,830,0.242
Esc32c,7,7,766,882,0.245
Esc32c,8,8,766,818,0.248
Esc32c,9,9,766,954,0.25
Esc32c,-1,-1,766,766,0.251
Esc32c,0,0,902,902,0.255
Esc32c,1,1,794,794,0.257
Esc32c,2,2,760,760,0.259
Esc32c,3,3,760,806,0.261
Esc32c,4,4,760,802,0.263
Esc32c,5,5,760,818,0.265
Esc32c,6,6,758,758,0.268
Esc32c,7,7,758,926,0.27
Esc32c,8,8,758,758,0.273
Esc32c,9,9,758,834,0.276
Esc32c,-1,-1,758,758,0.277
Esc32c,0,0,862,862,0.28
Esc32c,1,1,838,838,0.282
Esc32c,2,2,822,822,0.284
Esc32c,3,3,822,838,0.287
Esc32c,4,4,822,914,0.29
Esc32c,5,5,822,914,0.292
Esc32c,6,6,822,886,0.295
Esc32c,7,7,822,870,0.298
Esc32c,8,8,778,778,0.3
Esc32c,9,9,778,814,0.305
Esc32c,-1,-1,778,778,0.307
Esc32c,0,0,822,822,0.309
Esc32c,1,1,822,946,0.312
Esc32c,2,2,822,834,0.317
Esc32c,3,3,822,826,0.319
Esc32c,4,4,822,834,0.322
Esc32c,5,5,790,790,0.324
Esc32c,6,6,790,850,0.326
Esc32c,7,7,790,874,0.328
Esc32c,8,8,790,830,0.329
Esc32c,9,9,790,826,0.331
Esc32c,-1,-1,790,790,0.331
