instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Esc32e,0,0,36,36,0.003,42,119.75
Esc32e,1,1,36,52,0.007,42,119.75
Esc32e,2,2,36,44,0.01,42,119.75
Esc32e,3,3,36,44,0.014,42,119.75
Esc32e,4,4,24,24,0.018,42,119.75
Esc32e,5,5,24,26,0.021,42,119.75
Esc32e,6,6,24,28,0.024,42,119.75
Esc32e,7,7,24,46,0.028,42,119.75
Esc32e,8,8,24,32,0.033,42,119.75
Esc32e,9,9,24,56,0.037,42,119.75
Esc32e,9,9,24,56,0.038,42,119.75
Esc32e,0,0,36,36,0.042,43,119.75
Esc32e,1,1,28,28,0.048,43,119.75
Esc32e,2,2,28,56,0.053,43,119.75
Esc32e,3,3,28,44,0.057,43,119.75
Esc32e,4,4,28,28,0.062,43,119.75
Esc32e,5,5,28,32,0.067,43,119.75
Esc32e,6,6,28,32,0.072,43,119.75
Esc32e,7,7,28,32,0.076,43,119.75
Esc32e,8,8,28,32,0.081,43,119.75
Esc32e,9,9,28,32,0.085,43,119.75
Esc32e,9,9,28,32,0.087,43,119.75
Esc32e,0,0,32,32,0.091,44,119.75
Esc32e,1,1,24,24,0.096,44,119.75
Esc32e,2,2,24,52,0.101,44,119.75
Esc32e,3,3,24,40,0.105,44,119.75
Esc32e,4,4,24,60,0.109,44,119.75
Esc32e,5,5,24,24,0.115,44,119.75
Esc32e,6,6,24,52,0.12,44,119.75
Esc32e,7,7,24,48,0.123,44,119.75
Esc32e,8,8,24,52,0.128,44,119.75
Esc32e,9,9,24,52,0.134,44,119.75
Esc32e,9,9,24,52,0.136,44,119.75
Esc32e,0,0,28,28,0.142,45,119.75
Esc32e,1,1,28,52,0.146,45,119.75
Esc32e,2,2,28,36,0.155,45,119.75
Esc32e,3,3,28,44,0.159,45,119.75
Esc32e,4,4,28,50,0.165,45,119.75
Esc32e,5,5,28,40,0.17,45,119.75
Esc32e,6,6,28,56,0.175,45,119.75
Esc32e,7,7,28,32,0.18,45,119.75
Esc32e,8,8,28,32,0.185,45,119.75
Esc32e,9,9,28,32,0.19,45,119.75
Esc32e,9,9,28,32,0.192,45,119.75
Esc32e,0,0,28,28,0.197,46,119.75
Esc32e,1,1,28,28,0.202,46,119.75
Esc32e,2,2,28,52,0.206,46,119.75
Esc32e,3,3,28,32,0.211,46,119.75
Esc32e,4,4,28,32,0.217,46,119.75
Esc32e,5,5,28,32,0.222,46,119.75
Esc32e,6,6,28,52,0.227,46,119.75
Esc32e,7,7,28,32,0.231,46,119.75
Esc32e,8,8,28,64,0.236,46,119.75
Esc32e,9,9,28,36,0.241,46,119.75
Esc32e,9,9,28,36,0.242,46,119.75
Esc32e,0,0,28,28,0.248,47,119.75
Esc32e,1,1,28,56,0.253,47,119.75
Esc32e,2,2,28,60,0.257,47,119.75
Esc32e,3,3,28,52,0.261,47,119.75
Esc32e,4,4,28,32,0.266,47,119.75
Esc32e,5,5,28,52,0.271,47,119.75
Esc32e,6,6,28,56,0.276,47,119.75
Esc32e,7,7,28,52,0.28,47,119.75
Esc32e,8,8,28,56,0.286,47,119.75
Esc32e,9,9,28,36,0.29,47,119.75
Esc32e,9,9,28,36,0.291,47,119.75
Esc32e,0,0,32,32,0.297,48,119.75
Esc32e,1,1,32,56,0.302,48,119.75
Esc32e,2,2,32,32,0.306,48,119.75
Esc32e,3,3,32,32,0.31,48,119.75
Esc32e,4,4,32,52,0.315,48,119.75
Esc32e,5,5,32,32,0.319,48,119.75
Esc32e,6,6,32,36,0.323,48,119.75
Esc32e,7,7,32,52,0.327,48,119.75
Esc32e,8,8,32,36,0.333,48,119.75
Esc32e,9,9,32,36,0.337,48,119.75
Esc32e,9,9,32,36,0.338,48,119.75
Esc32e,0,0,52,52,0.343,49,119.75
Esc32e,1,1,32,32,0.348,49,119.75
Esc32e,2,2,32,40,0.353,49,119.75
Esc32e,3,3,32,36,0.357,49,119.75
Esc32e,4,4,32,36,0.361,49,119.75
Esc32e,5,5,32,36,0.367,49,119.75
Esc32e,6,6,32,32,0.372,49,119.75
Esc32e,7,7,32,32,0.376,49,119.75
Esc32e,8,8,32,32,0.381,49,119.75
Esc32e,9,9,20,20,0.385,49,119.75
Esc32e,9,9,20,20,0.387,49,119.75
Esc32e,0,0,32,32,0.39,50,119.75
Esc32e,1,1,32,40,0.395,50,119.75
Esc32e,2,2,32,44,0.4,50,119.75
Esc32e,3,3,32,56,0.405,50,119.75
Esc32e,4,4,32,56,0.409,50,119.75
Esc32e,5,5,24,24,0.415,50,119.75
Esc32e,6,6,24,32,0.42,50,119.75
Esc32e,7,7,24,64,0.425,50,119.75
Esc32e,8,8,24,32,0.43,50,119.75
Esc32e,9,9,24,32,0.435,50,119.75
Esc32e,9,9,24,32,0.438,50,119.75
Esc32e,0,0,44,44,0.444,51,119.75
Esc32e,1,1,28,28,0.449,51,119.75
Esc32e,2,2,28,28,0.453,51,119.75
Esc32e,3,3,20,20,0.458,51,119.75
Esc32e,4,4,20,40,0.461,51,119.75
Esc32e,5,5,20,66,0.465,51,119.75
Esc32e,6,6,20,52,0.469,51,119.75
Esc32e,7,7,20,60,0.474,51,119.75
Esc32e,8,8,20,52,0.477,51,119.75
Esc32e,9,9,20,24,0.484,51,119.75
Esc32e,9,9,20,24,0.485,51,119.75
