instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc32g,0,0,26,26,0.003
Esc32g,1,1,26,26,0.009
Esc32g,2,2,14,14,0.014
Esc32g,3,3,14,18,0.018
Esc32g,4,4,14,22,0.024
Esc32g,5,5,14,14,0.026
Esc32g,6,6,14,18,0.03
Esc32g,7,7,14,18,0.033
Esc32g,8,8,14,22,0.035
Esc32g,9,9,14,22,0.038
Esc32g,-1,-1,14,14,0.039
Esc32g,0,0,18,18,0.042
Esc32g,1,1,18,18,0.045
Esc32g,2,2,18,26,0.049
Esc32g,3,3,18,26,0.053
Esc32g,4,4,18,22,0.058
Esc32g,5,5,18,18,0.064
Esc32g,6,6,18,18,0.068
Esc32g,7,7,18,22,0.072
Esc32g,8,8,18,26,0.076
Esc32g,9,9,14,14,0.079
Esc32g,-1,-1,14,14,0.08
Esc32g,0,0,18,18,0.084
Esc32g,1,1,18,22,0.088
Esc32g,2,2,18,18,0.09
Esc32g,3,3,18,18,0.092
Esc32g,4,4,18,18,0.095
Esc32g,5,5,18,26,0.097
Esc32g,6,6,14,14,0.099
Esc32g,7,7,14,22,0.101
Esc32g,8,8,14,18,0.103
Esc32g,9,9,14,14,0.105
Esc32g,-1,-1,14,14,0.105
Esc32g,0,0,26,26,0.107
Esc32g,1,1,14,14,0.109
Esc32g,2,2,14,18,0.111
Esc32g,3,3,14,26,0.114
Esc32g,4,4,14,26,0.116
Esc32g,5,5,14,22,0.119
Esc32g,6,6,14,18,0.121
Esc32g,7,7,14,18,0.123
Esc32g,8,8,14,26,0.125
Esc32g,9,9,14,26,0.128
Esc32g,-1,-1,14,14,0.13
Esc32g,0,0,14,14,0.133
Esc32g,1,1,14,18,0.136
Esc32g,2,2,14,18,0.139
Esc32g,3,3,14,18,0.141
Esc32g,4,4,14,14,0.144
Esc32g,5,5,14,22,0.148
Esc32g,6,6,14,18,0.152
Esc32g,7,7,14,26,0.155
Esc32g,8,8,14,22,0.157
Esc32g,9,9,14,18,0.159
Esc32g,-1,-1,14,14,0.159
Esc32g,0,0,22,22,0.163
Esc32g,1,1,14,14,0.165
Esc32g,2,2,14,22,0.169
Esc32g,3,3,14,22,0.171
Esc32g,4,4,14,26,0.172
Esc32g,5,5,14,26,0.174
Esc32g,6,6,14,18,0.176
Esc32g,7,7,14,14,0.18
Esc32g,8,8,14,18,0.183
Esc32g,9,9,14,22,0.187
Esc32g,-1,-1,14,14,0.188
Esc32g,0,0,18,18,0.192
Esc32g,1,1,18,18,0.196
Esc32g,2,2,18,18,0.199
Esc32g,3,3,18,18,0.203
Esc32g,4,4,18,26,0.206
Esc32g,5,5,18,22,0.208
Esc32g,6,6,18,18,0.213
Esc32g,7,7,18,22,0.216
Esc32g,8,8,18,22,0.22
Esc32g,9,9,18,22,0.225
Esc32g,-1,-1,18,18,0.229
Esc32g,0,0,22,22,0.233
Esc32g,1,1,22,22,0.236
Esc32g,2,2,22,22,0.239
Esc32g,3,3,18,18,0.241
Esc32g,4,4,18,26,0.243
Esc32g,5,5,18,22,0.247
Esc32g,6,6,18,26,0.249
Esc32g,7,7,14,14,0.251
Esc32g,8,8,14,18,0.252
Esc32g,9,9,14,26,0.254
Esc32g,-1,-1,14,14,0.254
Esc32g,0,0,22,22,0.257
Esc32g,1,1,22,26,0.26
Esc32g,2,2,18,18,0.262
Esc32g,3,3,18,18,0.263
Esc32g,4,4,18,18,0.265
Esc32g,5,5,18,22,0.268
Esc32g,6,6,18,26,0.271
Esc32g,7,7,18,18,0.275
Esc32g,8,8,18,18,0.279
Esc32g,9,9,18,22,0.283
Esc32g,-1,-1,18,18,0.284
Esc32g,0,0,18,18,0.29
Esc32g,1,1,18,22,0.295
Esc32g,2,2,18,26,0.3
Esc32g,3,3,18,22,0.306
Esc32g,4,4,18,22,0.311
Esc32g,5,5,18,18,0.317
Esc32g,6,6,18,18,0.323
Esc32g,7,7,18,18,0.329
Esc32g,8,8,18,22,0.333
Esc32g,9,9,18,18,0.337
Esc32g,-1,-1,18,18,0.338
