instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Had12,0,0,1946,1946,0.001
Had12,1,1,1946,1958,0.004
Had12,2,2,1866,1866,0.005
Had12,3,3,1866,1918,0.006
Had12,4,4,1866,2032,0.006
Had12,5,5,1866,1940,0.007
Had12,6,6,1866,1934,0.009
Had12,7,7,1830,1830,0.01
Had12,8,8,1830,1952,0.01
Had12,9,9,1830,2012,0.011
Had12,-1,-1,1830,1830,0.012
Had12,0,0,1894,1894,0.013
Had12,1,1,1894,1914,0.014
Had12,2,2,1842,1842,0.015
Had12,3,3,1842,1970,0.016
Had12,4,4,1842,1876,0.016
Had12,5,5,1842,1966,0.017
Had12,6,6,1842,1870,0.019
Had12,7,7,1842,2036,0.019
Had12,8,8,1842,1938,0.02
Had12,9,9,1842,1948,0.02
Had12,-1,-1,1842,1842,0.02
Had12,0,0,1868,1868,0.021
Had12,1,1,1868,1918,0.022
Had12,2,2,1868,1998,0.022
Had12,3,3,1868,1884,0.024
Had12,4,4,1868,1916,0.025
Had12,5,5,1868,1888,0.026
Had12,6,6,1868,1944,0.027
Had12,7,7,1868,1948,0.029
Had12,8,8,1860,1860,0.03
Had12,9,9,1860,1862,0.031
Had12,-1,-1,1860,1860,0.032
Had12,0,0,1932,1932,0.033
Had12,1,1,1922,1922,0.033
Had12,2,2,1922,1946,0.035
Had12,3,3,1888,1888,0.036
Had12,4,4,1888,1958,0.037
Had12,5,5,1888,1932,0.037
Had12,6,6,1888,1914,0.038
Had12,7,7,1888,1916,0.038
Had12,8,8,1888,1924,0.039
Had12,9,9,1888,1948,0.039
Had12,-1,-1,1888,1888,0.039
Had12,0,0,1976,1976,0.041
Had12,1,1,1828,1828,0.043
Had12,2,2,1828,2004,0.043
Had12,3,3,1828,1942,0.044
Had12,4,4,1828,1940,0.045
Had12,5,5,1828,1930,0.046
Had12,6,6,1828,1982,0.047
Had12,7,7,1828,1978,0.048
Had12,8,8,1828,1922,0.05
Had12,9,9,1828,2002,0.051
Had12,-1,-1,1828,1828,0.052
Had12,0,0,1990,1990,0.053
Had12,1,1,1842,1842,0.053
Had12,2,2,1842,1926,0.054
Had12,3,3,1842,1918,0.054
Had12,4,4,1842,1904,0.056
Had12,5,5,1842,1928,0.056
Had12,6,6,1842,1932,0.057
Had12,7,7,1842,1944,0.058
Had12,8,8,1842,1972,0.059
Had12,9,9,1842,1874,0.06
Had12,-1,-1,1842,1842,0.061
Had12,0,0,1858,1858,0.062
Had12,1,1,1858,1932,0.062
Had12,2,2,1858,1934,0.063
Had12,3,3,1858,1966,0.065
Had12,4,4,1858,1944,0.065
Had12,5,5,1858,1894,0.066
Had12,6,6,1858,1864,0.066
Had12,7,7,1858,1996,0.066
Had12,8,8,1836,1836,0.068
Had12,9,9,1836,1912,0.069
Had12,-1,-1,1836,1836,0.069
Had12,0,0,1768,1768,0.069
Had12,1,1,1768,1952,0.07
Had12,2,2,1768,1988,0.07
Had12,3,3,1768,1908,0.072
Had12,4,4,1768,1900,0.072
Had12,5,5,1768,1862,0.073
Had12,6,6,1768,1992,0.074
Had12,7,7,1768,1940,0.074
Had12,8,8,1768,1890,0.076
Had12,9,9,1768,1948,0.076
Had12,-1,-1,1768,1768,0.077
Had12,0,0,1836,1836,0.078
Had12,1,1,1836,1918,0.079
Had12,2,2,1836,1888,0.08
Had12,3,3,1836,1888,0.081
Had12,4,4,1836,1914,0.082
Had12,5,5,1836,1900,0.084
Had12,6,6,1836,1956,0.084
Had12,7,7,1836,2000,0.085
Had12,8,8,1836,1884,0.085
Had12,9,9,1836,1950,0.086
Had12,-1,-1,1836,1836,0.086
Had12,0,0,1932,1932,0.087
Had12,1,1,1932,1956,0.088
Had12,2,2,1932,1978,0.088
Had12,3,3,1922,1922,0.089
Had12,4,4,1888,1888,0.091
Had12,5,5,1858,1858,0.091
Had12,6,6,1858,1954,0.092
Had12,7,7,1858,1980,0.093
Had12,8,8,1858,1936,0.093
Had12,9,9,1858,2024,0.094
Had12,-1,-1,1858,1858,0.094
