instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Had18,0,0,6156,6156,0.002,42,119.75
Had18,1,1,6156,6270,0.007,42,119.75
Had18,2,2,6076,6076,0.01,42,119.75
Had18,3,3,6076,6220,0.012,42,119.75
Had18,4,4,6076,6146,0.015,42,119.75
Had18,5,5,6060,6060,0.018,42,119.75
Had18,6,6,6060,6140,0.02,42,119.75
Had18,7,7,6060,6128,0.023,42,119.75
Had18,8,8,6060,6076,0.026,42,119.75
Had18,9,9,6060,6150,0.029,42,119.75
Had18,9,9,6060,6150,0.03,42,119.75
Had18,0,0,6244,6244,0.033,43,119.75
Had18,1,1,5918,5918,0.036,43,119.75
Had18,2,2,5918,6230,0.039,43,119.75
Had18,3,3,5918,6286,0.043,43,119.75
Had18,4,4,5918,6116,0.045,43,119.75
Had18,5,5,5918,6104,0.047,43,119.75
Had18,6,6,5918,6066,0.051,43,119.75
Had18,7,7,5918,6030,0.053,43,119.75
Had18,8,8,5918,6110,0.056,43,119.75
Had18,9,9,5918,5948,0.059,43,119.75
Had18,9,9,5918,5948,0.06,43,119.75
Had18,0,0,6168,6168,0.063,44,119.75
Had18,1,1,6168,6302,0.065,44,119.75
Had18,2,2,6112,6112,0.067,44,119.75
Had18,3,3,6062,6062,0.07,44,119.75
Had18,4,4,5970,5970,0.073,44,119.75
Had18,5,5,5924,5924,0.075,44,119.75
Had18,6,6,5924,5968,0.077,44,119.75
Had18,7,7,5924,6216,0.079,44,119.75
Had18,8,8,5924,6328,0.082,44,119.75
Had18,9,9,5924,6060,0.085,44,119.75
Had18,9,9,5924,6060,0.085,44,119.75
Had18,0,0,6232,6232,0.089,45,119.75
Had18,1,1,6196,6196,0.092,45,119.75
Had18,2,2,6108,6108,0.094,45,119.75
Had18,3,3,6108,6232,0.096,45,119.75
Had18,4,4,6108,6142,0.098,45,119.75
Had18,5,5,6056,6056,0.101,45,119.75
Had18,6,6,6056,6060,0.103,45,119.75
Had18,7,7,6056,6188,0.106,45,119.75
Had18,8,8,6056,6152,0.11,45,119.75
Had18,9,9,6000,6000,0.113,45,119.75
Had18,9,9,6000,6000,0.114,45,119.75
Had18,0,0,6054,6054,0.117,46,119.75
Had18,1,1,6054,6282,0.119,46,119.75
Had18,2,2,6054,6166,0.122,46,119.75
Had18,3,3,6054,6118,0.124,46,119.75
Had18,4,4,6054,6182,0.126,46,119.75
Had18,5,5,6054,6078,0.129,46,119.75
Had18,6,6,6054,6202,0.132,46,119.75
Had18,7,7,5966,5966,0.134,46,119.75
Had18,8,8,5966,6092,0.137,46,119.75
Had18,9,9,5966,6066,0.141,46,119.75
Had18,9,9,5966,6066,0.143,46,119.75
Had18,0,0,6306,6306,0.145,47,119.75
Had18,1,1,6212,6212,0.147,47,119.75
Had18,2,2,6084,6084,0.15,47,119.75
Had18,3,3,6084,6264,0.153,47,119.75
Had18,4,4,5912,5912,0.156,47,119.75
Had18,5,5,5912,6018,0.16,47,119.75
Had18,6,6,5912,6096,0.162,47,119.75
Had18,7,7,5912,6032,0.165,47,119.75
Had18,8,8,5912,6270,0.167,47,119.75
Had18,9,9,5912,6182,0.169,47,119.75
Had18,9,9,5912,6182,0.172,47,119.75
Had18,0,0,6318,6318,0.175,48,119.75
Had18,1,1,5894,5894,0.178,48,119.75
Had18,2,2,5894,6076,0.18,48,119.75
Had18,3,3,5894,6044,0.183,48,119.75
Had18,4,4,5894,6140,0.185,48,119.75
Had18,5,5,5894,6214,0.189,48,119.75
Had18,6,6,5894,5972,0.192,48,119.75
Had18,7,7,5894,5912,0.193,48,119.75
Had18,8,8,5894,5992,0.196,48,119.75
Had18,9,9,5894,6062,0.197,48,119.75
Had18,9,9,5894,6062,0.198,48,119.75
Had18,0,0,6244,6244,0.201,49,119.75
Had18,1,1,6158,6158,0.204,49,119.75
Had18,2,2,5974,5974,0.207,49,119.75
Had18,3,3,5974,6180,0.209,49,119.75
Had18,4,4,5956,5956,0.211,49,119.75
Had18,5,5,5956,6016,0.212,49,119.75
Had18,6,6,5956,6004,0.214,49,119.75
Had18,7,7,5956,6202,0.215,49,119.75
Had18,8,8,5956,6120,0.217,49,119.75
Had18,9,9,5956,6070,0.219,49,119.75
Had18,9,9,5956,6070,0.222,49,119.75
Had18,0,0,5884,5884,0.224,50,119.75
Had18,1,1,5884,6054,0.226,50,119.75
Had18,2,2,5884,6314,0.228,50,119.75
Had18,3,3,5884,6012,0.23,50,119.75
Had18,4,4,5884,6082,0.231,50,119.75
Had18,5,5,5884,6184,0.233,50,119.75
Had18,6,6,5884,6102,0.235,50,119.75
Had18,7,7,5884,6112,0.238,50,119.75
Had18,8,8,5884,5982,0.24,50,119.75
Had18,9,9,5884,6050,0.241,50,119.75
Had18,9,9,5884,6050,0.242,50,119.75
Had18,0,0,6184,6184,0.245,51,119.75
Had18,1,1,6180,6180,0.246,51,119.75
Had18,2,2,6062,6062,0.248,51,119.75
Had18,3,3,6062,6164,0.25,51,119.75
Had18,4,4,6062,6106,0.253,51,119.75
Had18,5,5,6062,6074,0.256,51,119.75
Had18,6,6,6062,6080,0.258,51,119.75
Had18,7,7,6062,6162,0.259,51,119.75
Had18,8,8,6062,6182,0.261,51,119.75
Had18,9,9,6062,6164,0.263,51,119.75
Had18,9,9,6062,6164,0.264,51,119.75
