instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Kra30a,0,0,132090,132090,0.003,42,119.75
Kra30a,1,1,132090,137830,0.009,42,119.75
Kra30a,2,2,129760,129760,0.014,42,119.75
Kra30a,3,3,129760,130300,0.02,42,119.75
Kra30a,4,4,129760,135530,0.026,42,119.75
Kra30a,5,5,129760,136630,0.03,42,119.75
Kra30a,6,6,129760,138530,0.036,42,119.75
Kra30a,7,7,129760,132580,0.041,42,119.75
Kra30a,8,8,129760,146080,0.046,42,119.75
Kra30a,9,9,129760,134320,0.051,42,119.75
Kra30a,9,9,129760,134320,0.052,42,119.75
Kra30a,0,0,136570,136570,0.056,43,119.75
Kra30a,1,1,133640,133640,0.059,43,119.75
Kra30a,2,2,133640,135720,0.063,43,119.75
Kra30a,3,3,133640,133880,0.067,43,119.75
Kra30a,4,4,131890,131890,0.071,43,119.75
Kra30a,5,5,131890,141590,0.074,43,119.75
Kra30a,6,6,131890,134800,0.079,43,119.75
Kra30a,7,7,131890,135430,0.083,43,119.75
Kra30a,8,8,131890,137660,0.087,43,119.75
Kra30a,9,9,131890,141630,0.091,43,119.75
Kra30a,9,9,131890,141630,0.091,43,119.75
Kra30a,0,0,139310,139310,0.096,44,119.75
Kra30a,1,1,133330,133330,0.104,44,119.75
Kra30a,2,2,133330,135290,0.108,44,119.75
Kra30a,3,3,133330,133480,0.113,44,119.75
Kra30a,4,4,132010,132010,0.118,44,119.75
Kra30a,5,5,132010,141850,0.121,44,119.75
Kra30a,6,6,132010,138260,0.125,44,119.75
Kra30a,7,7,132010,133970,0.13,44,119.75
Kra30a,8,8,132010,137410,0.134,44,119.75
Kra30a,9,9,132010,137720,0.138,44,119.75
Kra30a,9,9,132010,137720,0.139,44,119.75
Kra30a,0,0,135730,135730,0.144,45,119.75
Kra30a,1,1,128320,128320,0.148,45,119.75
Kra30a,2,2,128320,131640,0.152,45,119.75
Kra30a,3,3,128320,134960,0.155,45,119.75
Kra30a,4,4,128320,131340,0.16,45,119.75
Kra30a,5,5,128320,130120,0.166,45,119.75
Kra30a,6,6,128320,133670,0.169,45,119.75
Kra30a,7,7,128320,139900,0.173,45,119.75
Kra30a,8,8,128320,129960,0.177,45,119.75
Kra30a,9,9,128320,145040,0.181,45,119.75
Kra30a,9,9,128320,145040,0.183,45,119.75
Kra30a,0,0,137740,137740,0.186,46,119.75
Kra30a,1,1,136070,136070,0.19,46,119.75
Kra30a,2,2,136070,137520,0.195,46,119.75
Kra30a,3,3,136070,137370,0.2,46,119.75
Kra30a,4,4,136070,138220,0.204,46,119.75
Kra30a,5,5,127970,127970,0.21,46,119.75
Kra30a,6,6,127970,132360,0.215,46,119.75
Kra30a,7,7,127970,133740,0.218,46,119.75
Kra30a,8,8,127970,130620,0.223,46,119.75
Kra30a,9,9,127970,142020,0.227,46,119.75
Kra30a,9,9,127970,142020,0.229,46,119.75
Kra30a,0,0,132680,132680,0.235,47,119.75
Kra30a,1,1,132680,135670,0.238,47,119.75
Kra30a,2,2,132680,145110,0.243,47,119.75
Kra30a,3,3,132680,138950,0.248,47,119.75
Kra30a,4,4,132680,134860,0.252,47,119.75
Kra30a,5,5,129970,129970,0.256,47,119.75
Kra30a,6,6,129970,131170,0.26,47,119.75
Kra30a,7,7,129970,142370,0.265,47,119.75
Kra30a,8,8,129970,138350,0.269,47,119.75
Kra30a,9,9,129970,140370,0.272,47,119.75
Kra30a,9,9,129970,140370,0.274,47,119.75
Kra30a,0,0,139130,139130,0.278,48,119.75
Kra30a,1,1,139130,141770,0.283,48,119.75
Kra30a,2,2,139130,139690,0.288,48,119.75
Kra30a,3,3,123770,123770,0.292,48,119.75
Kra30a,4,4,123770,140190,0.297,48,119.75
Kra30a,5,5,123770,134610,0.301,48,119.75
Kra30a,6,6,123770,144220,0.306,48,119.75
Kra30a,7,7,123770,134260,0.31,48,119.75
Kra30a,8,8,123770,137410,0.315,48,119.75
Kra30a,9,9,123770,142710,0.32,48,119.75
Kra30a,9,9,123770,142710,0.321,48,119.75
Kra30a,0,0,137360,137360,0.325,49,119.75
Kra30a,1,1,136540,136540,0.332,49,119.75
Kra30a,2,2,132110,132110,0.336,49,119.75
Kra30a,3,3,132110,137150,0.34,49,119.75
Kra30a,4,4,132110,135370,0.345,49,119.75
Kra30a,5,5,131780,131780,0.35,49,119.75
Kra30a,6,6,131780,133180,0.355,49,119.75
Kra30a,7,7,131780,133580,0.36,49,119.75
Kra30a,8,8,131780,144640,0.368,49,119.75
Kra30a,9,9,131780,139650,0.372,49,119.75
Kra30a,9,9,131780,139650,0.373,49,119.75
Kra30a,0,0,137370,137370,0.379,50,119.75
Kra30a,1,1,128960,128960,0.383,50,119.75
Kra30a,2,2,128960,137610,0.388,50,119.75
Kra30a,3,3,128960,135380,0.392,50,119.75
Kra30a,4,4,128960,136650,0.395,50,119.75
Kra30a,5,5,128960,136360,0.4,50,119.75
Kra30a,6,6,128960,138750,0.404,50,119.75
Kra30a,7,7,128960,135830,0.407,50,119.75
Kra30a,8,8,128960,134950,0.411,50,119.75
Kra30a,9,9,128960,131840,0.415,50,119.75
Kra30a,9,9,128960,131840,0.416,50,119.75
Kra30a,0,0,129650,129650,0.419,51,119.75
Kra30a,1,1,129650,136430,0.424,51,119.75
Kra30a,2,2,128940,128940,0.428,51,119.75
Kra30a,3,3,128940,135570,0.433,51,119.75
Kra30a,4,4,127480,127480,0.438,51,119.75
Kra30a,5,5,127480,138080,0.443,51,119.75
Kra30a,6,6,127480,131290,0.448,51,119.75
Kra30a,7,7,127480,134840,0.454,51,119.75
Kra30a,8,8,127480,135860,0.46,51,119.75
Kra30a,9,9,127480,132870,0.478,51,119.75
Kra30a,9,9,127480,132870,0.482,51,119.75
