instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Kra30b,0,0,136980,136980,0.003,42,119.75
Kra30b,1,1,136980,138790,0.008,42,119.75
Kra30b,2,2,136980,138230,0.012,42,119.75
Kra30b,3,3,133740,133740,0.017,42,119.75
Kra30b,4,4,133740,139680,0.023,42,119.75
Kra30b,5,5,133740,146650,0.028,42,119.75
Kra30b,6,6,133740,140900,0.032,42,119.75
Kra30b,7,7,133740,138500,0.036,42,119.75
Kra30b,8,8,133740,137780,0.04,42,119.75
Kra30b,9,9,131650,131650,0.043,42,119.75
Kra30b,9,9,131650,131650,0.045,42,119.75
Kra30b,0,0,138930,138930,0.049,43,119.75
Kra30b,1,1,138930,139470,0.054,43,119.75
Kra30b,2,2,138660,138660,0.058,43,119.75
Kra30b,3,3,134900,134900,0.062,43,119.75
Kra30b,4,4,134900,135550,0.066,43,119.75
Kra30b,5,5,134900,145390,0.07,43,119.75
Kra30b,6,6,134900,136210,0.073,43,119.75
Kra30b,7,7,134900,140550,0.075,43,119.75
Kra30b,8,8,134900,135330,0.08,43,119.75
Kra30b,9,9,134900,144150,0.083,43,119.75
Kra30b,9,9,134900,144150,0.085,43,119.75
Kra30b,0,0,135850,135850,0.087,44,119.75
Kra30b,1,1,135850,136590,0.09,44,119.75
Kra30b,2,2,135850,138740,0.094,44,119.75
Kra30b,3,3,135850,140350,0.098,44,119.75
Kra30b,4,4,135850,138010,0.104,44,119.75
Kra30b,5,5,135850,149770,0.108,44,119.75
Kra30b,6,6,135850,147490,0.112,44,119.75
Kra30b,7,7,135850,139010,0.116,44,119.75
Kra30b,8,8,135850,139550,0.12,44,119.75
Kra30b,9,9,135850,139750,0.124,44,119.75
Kra30b,9,9,135850,139750,0.125,44,119.75
Kra30b,0,0,139010,139010,0.13,45,119.75
Kra30b,1,1,139010,139620,0.134,45,119.75
Kra30b,2,2,139010,140110,0.138,45,119.75
Kra30b,3,3,139010,139190,0.142,45,119.75
Kra30b,4,4,130900,130900,0.146,45,119.75
Kra30b,5,5,130900,131240,0.15,45,119.75
Kra30b,6,6,130900,137390,0.154,45,119.75
Kra30b,7,7,130900,135470,0.158,45,119.75
Kra30b,8,8,130900,137290,0.162,45,119.75
Kra30b,9,9,130900,141850,0.165,45,119.75
Kra30b,9,9,130900,141850,0.168,45,119.75
Kra30b,0,0,133320,133320,0.172,46,119.75
Kra30b,1,1,133320,140580,0.176,46,119.75
Kra30b,2,2,133320,147070,0.18,46,119.75
Kra30b,3,3,133320,142080,0.184,46,119.75
Kra30b,4,4,133320,143940,0.188,46,119.75
Kra30b,5,5,133320,140740,0.192,46,119.75
Kra30b,6,6,131300,131300,0.195,46,119.75
Kra30b,7,7,131300,142590,0.2,46,119.75
Kra30b,8,8,131300,137810,0.206,46,119.75
Kra30b,9,9,131300,142900,0.21,46,119.75
