instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Lipa60b,0,0,3238056,3238056,0.01,42,119.75
Lipa60b,1,1,3238056,3259718,0.024,42,119.75
Lipa60b,2,2,3238056,3283300,0.036,42,119.75
Lipa60b,3,3,3238056,3255474,0.047,42,119.75
Lipa60b,4,4,3238056,3263718,0.058,42,119.75
Lipa60b,5,5,3238056,3283357,0.069,42,119.75
Lipa60b,6,6,3238056,3290262,0.081,42,119.75
Lipa60b,7,7,3238056,3247661,0.092,42,119.75
Lipa60b,8,8,3238056,3279098,0.103,42,119.75
Lipa60b,9,9,3238056,3245259,0.114,42,119.75
Lipa60b,9,9,3238056,3245259,0.115,42,119.75
Lipa60b,0,0,3269549,3269549,0.127,43,119.75
Lipa60b,1,1,3264268,3264268,0.137,43,119.75
Lipa60b,2,2,3244079,3244079,0.149,43,119.75
Lipa60b,3,3,3244079,3244538,0.159,43,119.75
Lipa60b,4,4,3244079,3298113,0.17,43,119.75
Lipa60b,5,5,3244079,3276776,0.181,43,119.75
Lipa60b,6,6,3244079,3268950,0.192,43,119.75
Lipa60b,7,7,3244079,3283738,0.202,43,119.75
Lipa60b,8,8,3244079,3283768,0.213,43,119.75
Lipa60b,9,9,3244079,3301882,0.223,43,119.75
Lipa60b,9,9,3244079,3301882,0.225,43,119.75
Lipa60b,0,0,3258203,3258203,0.237,44,119.75
Lipa60b,1,1,3258203,3264922,0.248,44,119.75
Lipa60b,2,2,3258203,3267310,0.26,44,119.75
Lipa60b,3,3,3258203,3290706,0.271,44,119.75
Lipa60b,4,4,3258203,3282454,0.284,44,119.75
Lipa60b,5,5,3258203,3273586,0.294,44,119.75
Lipa60b,6,6,3254203,3254203,0.304,44,119.75
Lipa60b,7,7,3245282,3245282,0.315,44,119.75
Lipa60b,8,8,3245282,3291156,0.326,44,119.75
Lipa60b,9,9,3242716,3242716,0.338,44,119.75
Lipa60b,9,9,3242716,3242716,0.341,44,119.75
Lipa60b,0,0,3257235,3257235,0.355,45,119.75
Lipa60b,1,1,3257235,3271893,0.368,45,119.75
Lipa60b,2,2,3257235,3279056,0.38,45,119.75
Lipa60b,3,3,3227995,3227995,0.39,45,119.75
Lipa60b,4,4,3227995,3273862,0.401,45,119.75
Lipa60b,5,5,3227995,3253539,0.411,45,119.75
Lipa60b,6,6,3227995,3271860,0.421,45,119.75
Lipa60b,7,7,3227995,3277910,0.432,45,119.75
Lipa60b,8,8,3227995,3270818,0.441,45,119.75
Lipa60b,9,9,3227995,3254327,0.449,45,119.75
Lipa60b,9,9,3227995,3254327,0.451,45,119.75
Lipa60b,0,0,3282465,3282465,0.457,46,119.75
Lipa60b,1,1,3275496,3275496,0.462,46,119.75
Lipa60b,2,2,3239724,3239724,0.469,46,119.75
Lipa60b,3,3,3239724,3253671,0.478,46,119.75
Lipa60b,4,4,3239724,3259573,0.488,46,119.75
Lipa60b,5,5,3239724,3269501,0.501,46,119.75
Lipa60b,6,6,3239724,3257369,0.511,46,119.75
Lipa60b,7,7,3239724,3254096,0.521,46,119.75
Lipa60b,8,8,3239724,3285663,0.533,46,119.75
Lipa60b,9,9,3239724,3272042,0.543,46,119.75
Lipa60b,9,9,3239724,3272042,0.545,46,119.75
Lipa60b,0,0,3281105,3281105,0.555,47,119.75
Lipa60b,1,1,3265715,3265715,0.565,47,119.75
Lipa60b,2,2,3265715,3279874,0.578,47,119.75
Lipa60b,3,3,3265715,3285869,0.589,47,119.75
Lipa60b,4,4,3263227,3263227,0.602,47,119.75
Lipa60b,5,5,3263227,3278346,0.613,47,119.75
Lipa60b,6,6,3243223,3243223,0.624,47,119.75
Lipa60b,7,7,3243223,3265475,0.635,47,119.75
Lipa60b,8,8,3243223,3281415,0.646,47,119.75
Lipa60b,9,9,3243223,3280114,0.66,47,119.75
Lipa60b,9,9,3243223,3280114,0.662,47,119.75
Lipa60b,0,0,3267697,3267697,0.673,48,119.75
Lipa60b,1,1,3259265,3259265,0.688,48,119.75
Lipa60b,2,2,3259265,3272058,0.699,48,119.75
Lipa60b,3,3,3259265,3300965,0.71,48,119.75
Lipa60b,4,4,3241495,3241495,0.721,48,119.75
Lipa60b,5,5,3241495,3269654,0.734,48,119.75
Lipa60b,6,6,3241495,3287805,0.748,48,119.75
Lipa60b,7,7,3241495,3259699,0.763,48,119.75
Lipa60b,8,8,3241495,3290051,0.774,48,119.75
Lipa60b,9,9,3241495,3273661,0.784,48,119.75
Lipa60b,9,9,3241495,3273661,0.786,48,119.75
Lipa60b,0,0,3244666,3244666,0.798,49,119.75
Lipa60b,1,1,3244666,3281680,0.809,49,119.75
Lipa60b,2,2,3244666,3290023,0.819,49,119.75
Lipa60b,3,3,3244666,3271160,0.829,49,119.75
Lipa60b,4,4,3244666,3301885,0.837,49,119.75
Lipa60b,5,5,3244666,3277855,0.844,49,119.75
Lipa60b,6,6,3244666,3257255,0.851,49,119.75
Lipa60b,7,7,3244666,3268230,0.858,49,119.75
Lipa60b,8,8,3244666,3277269,0.864,49,119.75
Lipa60b,9,9,3244666,3270891,0.868,49,119.75
Lipa60b,9,9,3244666,3270891,0.87,49,119.75
Lipa60b,0,0,3275865,3275865,0.876,50,119.75
Lipa60b,1,1,3256427,3256427,0.88,50,119.75
Lipa60b,2,2,3256427,3269284,0.886,50,119.75
Lipa60b,3,3,3256427,3266253,0.892,50,119.75
Lipa60b,4,4,3256427,3313857,0.897,50,119.75
Lipa60b,5,5,3252358,3252358,0.904,50,119.75
Lipa60b,6,6,3230484,3230484,0.913,50,119.75
Lipa60b,7,7,3230484,3273063,0.921,50,119.75
Lipa60b,8,8,3230484,3286759,0.929,50,119.75
Lipa60b,9,9,3230484,3266191,0.938,50,119.75
Lipa60b,9,9,3230484,3266191,0.938,50,119.75
Lipa60b,0,0,3263589,3263589,0.947,51,119.75
Lipa60b,1,1,3263589,3283654,0.955,51,119.75
Lipa60b,2,2,3249995,3249995,0.966,51,119.75
Lipa60b,3,3,3249995,3281603,0.976,51,119.75
Lipa60b,4,4,3234528,3234528,0.987,51,119.75
Lipa60b,5,5,3234528,3282211,0.998,51,119.75
Lipa60b,6,6,3234528,3268448,1.01,51,119.75
Lipa60b,7,7,3234528,3244256,1.019,51,119.75
Lipa60b,8,8,3227342,3227342,1.032,51,119.75
Lipa60b,9,9,3227342,3268491,1.043,51,119.75
Lipa60b,9,9,3227342,3268491,1.045,51,119.75
