instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Lipa70a,0,0,173361,173361,0.011
Lipa70a,1,1,173361,173861,0.026
Lipa70a,2,2,173361,173548,0.041
Lipa70a,3,3,173361,173723,0.057
Lipa70a,4,4,173361,173708,0.07
Lipa70a,5,5,173361,173755,0.08
Lipa70a,6,6,173361,173715,0.094
Lipa70a,7,7,173361,173685,0.11
Lipa70a,8,8,173361,173716,0.119
Lipa70a,9,9,173361,173856,0.128
Lipa70a,-1,-1,173361,173361,0.129
Lipa70a,0,0,173910,173910,0.14
Lipa70a,1,1,173476,173476,0.148
Lipa70a,2,2,173476,173780,0.158
Lipa70a,3,3,173476,173780,0.169
Lipa70a,4,4,173476,173894,0.182
Lipa70a,5,5,173476,173619,0.196
Lipa70a,6,6,173476,173654,0.208
Lipa70a,7,7,173476,173727,0.22
Lipa70a,8,8,173476,173749,0.231
Lipa70a,9,9,173476,173479,0.244
Lipa70a,-1,-1,173476,173476,0.247
Lipa70a,0,0,173748,173748,0.257
Lipa70a,1,1,173748,173993,0.269
Lipa70a,2,2,173748,174145,0.278
Lipa70a,3,3,173748,173843,0.287
Lipa70a,4,4,173748,173893,0.296
Lipa70a,5,5,173616,173616,0.302
Lipa70a,6,6,173616,173971,0.308
Lipa70a,7,7,173616,173783,0.316
Lipa70a,8,8,173616,173663,0.322
Lipa70a,9,9,173603,173603,0.327
Lipa70a,-1,-1,173603,173603,0.328
Lipa70a,0,0,173683,173683,0.335
Lipa70a,1,1,173608,173608,0.341
Lipa70a,2,2,173507,173507,0.35
Lipa70a,3,3,173507,174007,0.358
Lipa70a,4,4,173507,173769,0.366
Lipa70a,5,5,173507,173710,0.375
Lipa70a,6,6,173507,173599,0.382
Lipa70a,7,7,173507,173846,0.389
Lipa70a,8,8,173507,173591,0.399
Lipa70a,9,9,173507,173754,0.407
Lipa70a,-1,-1,173507,173507,0.408
Lipa70a,0,0,173491,173491,0.417
Lipa70a,1,1,173491,173684,0.426
Lipa70a,2,2,173491,173684,0.436
Lipa70a,3,3,173491,174090,0.443
Lipa70a,4,4,173491,173576,0.451
Lipa70a,5,5,173448,173448,0.461
Lipa70a,6,6,173448,173811,0.473
Lipa70a,7,7,173448,174134,0.483
Lipa70a,8,8,173448,173799,0.493
Lipa70a,9,9,173448,173585,0.501
Lipa70a,-1,-1,173448,173448,0.502
Lipa70a,0,0,173957,173957,0.508
Lipa70a,1,1,173852,173852,0.514
Lipa70a,2,2,173852,173881,0.521
Lipa70a,3,3,173579,173579,0.531
Lipa70a,4,4,173579,173659,0.541
Lipa70a,5,5,173579,173916,0.553
Lipa70a,6,6,173579,173835,0.571
Lipa70a,7,7,173468,173468,0.581
Lipa70a,8,8,173468,173922,0.593
Lipa70a,9,9,173468,173490,0.603
Lipa70a,-1,-1,173468,173468,0.605
Lipa70a,0,0,173914,173914,0.615
Lipa70a,1,1,173864,173864,0.623
Lipa70a,2,2,173530,173530,0.631
Lipa70a,3,3,173530,173806,0.637
Lipa70a,4,4,173530,173557,0.642
Lipa70a,5,5,173530,173906,0.648
Lipa70a,6,6,173530,173872,0.657
Lipa70a,7,7,173498,173498,0.663
Lipa70a,8,8,173498,173849,0.67
Lipa70a,9,9,173498,173837,0.676
Lipa70a,-1,-1,173498,173498,0.677
Lipa70a,0,0,173654,173654,0.686
Lipa70a,1,1,173654,174084,0.697
Lipa70a,2,2,173629,173629,0.706
Lipa70a,3,3,173589,173589,0.715
Lipa70a,4,4,173589,173909,0.725
Lipa70a,5,5,173589,173717,0.735
Lipa70a,6,6,173589,173860,0.747
Lipa70a,7,7,173589,173851,0.759
Lipa70a,8,8,173589,173729,0.778
Lipa70a,9,9,173589,173780,0.793
Lipa70a,-1,-1,173589,173589,0.794
Lipa70a,0,0,173575,173575,0.805
Lipa70a,1,1,173575,173681,0.814
Lipa70a,2,2,173575,173670,0.824
Lipa70a,3,3,173575,173995,0.83
Lipa70a,4,4,173575,173909,0.835
Lipa70a,5,5,173575,173749,0.842
Lipa70a,6,6,173560,173560,0.848
Lipa70a,7,7,173560,173742,0.854
Lipa70a,8,8,173560,173681,0.859
Lipa70a,9,9,173560,173820,0.866
Lipa70a,-1,-1,173560,173560,0.866
Lipa70a,0,0,173862,173862,0.872
Lipa70a,1,1,173758,173758,0.878
Lipa70a,2,2,173411,173411,0.886
Lipa70a,3,3,173411,173660,0.894
Lipa70a,4,4,173411,173636,0.9
Lipa70a,5,5,173411,173470,0.908
Lipa70a,6,6,173411,173754,0.918
Lipa70a,7,7,173411,173864,0.924
Lipa70a,8,8,173411,173787,0.93
Lipa70a,9,9,173411,173678,0.936
Lipa70a,-1,-1,173411,173411,0.937
