instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Lipa80a,0,0,258203,258203,0.017,42
Lipa80a,1,1,258203,258562,0.032,42
Lipa80a,2,2,258203,258887,0.042,42
Lipa80a,3,3,258203,258507,0.053,42
Lipa80a,4,4,258047,258047,0.06,42
Lipa80a,5,5,258047,258668,0.07,42
Lipa80a,6,6,258047,258144,0.081,42
Lipa80a,7,7,258047,258559,0.092,42
Lipa80a,8,8,258047,258305,0.1,42
Lipa80a,9,9,258047,258812,0.11,42
Lipa80a,-1,-1,258047,258047,0.112,42
Lipa80a,0,0,258632,258632,0.119,43
Lipa80a,1,1,258039,258039,0.127,43
Lipa80a,2,2,258039,258432,0.136,43
Lipa80a,3,3,258039,258656,0.147,43
Lipa80a,4,4,258039,258334,0.155,43
Lipa80a,5,5,258039,258157,0.161,43
Lipa80a,6,6,258039,258523,0.169,43
Lipa80a,7,7,258039,258461,0.18,43
Lipa80a,8,8,258039,258594,0.193,43
Lipa80a,9,9,258039,258442,0.209,43
Lipa80a,-1,-1,258039,258039,0.212,43
Lipa80a,0,0,258166,258166,0.23,44
Lipa80a,1,1,258166,258534,0.242,44
Lipa80a,2,2,258166,258564,0.259,44
Lipa80a,3,3,258129,258129,0.276,44
Lipa80a,4,4,258129,258335,0.294,44
Lipa80a,5,5,258129,258490,0.309,44
Lipa80a,6,6,258129,258275,0.325,44
Lipa80a,7,7,258129,258663,0.341,44
Lipa80a,8,8,258129,258347,0.359,44
Lipa80a,9,9,258129,258571,0.375,44
Lipa80a,-1,-1,258129,258129,0.376,44
Lipa80a,0,0,258494,258494,0.392,45
Lipa80a,1,1,258089,258089,0.404,45
Lipa80a,2,2,258089,258501,0.414,45
Lipa80a,3,3,258035,258035,0.424,45
Lipa80a,4,4,258035,258173,0.443,45
Lipa80a,5,5,258035,258447,0.461,45
Lipa80a,6,6,258035,258654,0.477,45
Lipa80a,7,7,258035,258297,0.492,45
Lipa80a,8,8,258035,258561,0.509,45
Lipa80a,9,9,258016,258016,0.525,45
Lipa80a,-1,-1,258016,258016,0.526,45
Lipa80a,0,0,258517,258517,0.546,46
Lipa80a,1,1,258500,258500,0.564,46
Lipa80a,2,2,258460,258460,0.583,46
Lipa80a,3,3,258460,258518,0.604,46
Lipa80a,4,4,258422,258422,0.62,46
Lipa80a,5,5,257991,257991,0.637,46
Lipa80a,6,6,257991,258727,0.654,46
Lipa80a,7,7,257991,258673,0.67,46
Lipa80a,8,8,257991,258533,0.686,46
Lipa80a,9,9,257991,258611,0.701,46
Lipa80a,-1,-1,257991,257991,0.702,46
Lipa80a,0,0,258578,258578,0.718,47
Lipa80a,1,1,258578,258668,0.735,47
Lipa80a,2,2,258445,258445,0.75,47
Lipa80a,3,3,258445,258522,0.768,47
Lipa80a,4,4,258304,258304,0.79,47
Lipa80a,5,5,258304,258413,0.807,47
Lipa80a,6,6,258304,258550,0.823,47
Lipa80a,7,7,258304,258796,0.84,47
Lipa80a,8,8,258304,258755,0.855,47
Lipa80a,9,9,258304,258641,0.873,47
Lipa80a,-1,-1,258304,258304,0.876,47
Lipa80a,0,0,258756,258756,0.893,48
Lipa80a,1,1,258756,258779,0.91,48
Lipa80a,2,2,258269,258269,0.925,48
Lipa80a,3,3,258269,258445,0.939,48
Lipa80a,4,4,258269,258381,0.953,48
Lipa80a,5,5,258123,258123,0.969,48
Lipa80a,6,6,258123,258336,0.985,48
Lipa80a,7,7,258123,258408,1.002,48
Lipa80a,8,8,258123,258422,1.017,48
Lipa80a,9,9,258123,258383,1.035,48
Lipa80a,-1,-1,258123,258123,1.037,48
Lipa80a,0,0,258744,258744,1.055,49
Lipa80a,1,1,258744,258749,1.071,49
Lipa80a,2,2,258285,258285,1.089,49
Lipa80a,3,3,258285,258406,1.108,49
Lipa80a,4,4,258285,258347,1.128,49
Lipa80a,5,5,258285,258425,1.148,49
Lipa80a,6,6,258285,258349,1.165,49
Lipa80a,7,7,258285,258462,1.181,49
Lipa80a,8,8,258285,258647,1.197,49
Lipa80a,9,9,258285,258688,1.214,49
Lipa80a,-1,-1,258285,258285,1.216,49
Lipa80a,0,0,258287,258287,1.232,50
Lipa80a,1,1,258287,258626,1.249,50
Lipa80a,2,2,258287,258365,1.264,50
Lipa80a,3,3,258287,259032,1.279,50
Lipa80a,4,4,258287,258590,1.297,50
Lipa80a,5,5,258287,258528,1.315,50
Lipa80a,6,6,258287,258631,1.332,50
Lipa80a,7,7,258263,258263,1.35,50
Lipa80a,8,8,258263,258406,1.366,50
Lipa80a,9,9,258263,258277,1.384,50
Lipa80a,-1,-1,258263,258263,1.386,50
Lipa80a,0,0,258198,258198,1.4,51
Lipa80a,1,1,258198,258433,1.413,51
Lipa80a,2,2,258198,258555,1.427,51
Lipa80a,3,3,258198,258318,1.448,51
Lipa80a,4,4,258198,258347,1.468,51
Lipa80a,5,5,258198,258756,1.486,51
Lipa80a,6,6,258198,258469,1.502,51
Lipa80a,7,7,258198,258635,1.518,51
Lipa80a,8,8,258068,258068,1.533,51
Lipa80a,9,9,258068,258938,1.55,51
Lipa80a,-1,-1,258068,258068,1.551,51
