instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Lipa90a,0,0,367690,367690,0.024,42,119.75
Lipa90a,1,1,367530,367530,0.049,42,119.75
Lipa90a,2,2,367272,367272,0.071,42,119.75
Lipa90a,3,3,367111,367111,0.091,42,119.75
Lipa90a,4,4,367111,367160,0.113,42,119.75
Lipa90a,5,5,367020,367020,0.136,42,119.75
Lipa90a,6,6,367020,367691,0.157,42,119.75
Lipa90a,7,7,367020,367592,0.18,42,119.75
Lipa90a,8,8,367020,367333,0.203,42,119.75
Lipa90a,9,9,367020,367504,0.222,42,119.75
Lipa90a,9,9,367020,367504,0.224,42,119.75
Lipa90a,0,0,367662,367662,0.24,43,119.75
Lipa90a,1,1,367622,367622,0.26,43,119.75
Lipa90a,2,2,367333,367333,0.28,43,119.75
Lipa90a,3,3,366988,366988,0.293,43,119.75
Lipa90a,4,4,366988,367489,0.304,43,119.75
Lipa90a,5,5,366988,367144,0.313,43,119.75
Lipa90a,6,6,366988,367440,0.323,43,119.75
Lipa90a,7,7,366988,367590,0.338,43,119.75
Lipa90a,8,8,366988,367719,0.359,43,119.75
Lipa90a,9,9,366988,367217,0.379,43,119.75
Lipa90a,9,9,366988,367217,0.382,43,119.75
Lipa90a,0,0,367365,367365,0.401,44,119.75
Lipa90a,1,1,367365,367651,0.421,44,119.75
Lipa90a,2,2,367365,367517,0.441,44,119.75
Lipa90a,3,3,367365,367479,0.469,44,119.75
Lipa90a,4,4,367018,367018,0.493,44,119.75
Lipa90a,5,5,367018,367415,0.515,44,119.75
Lipa90a,6,6,367018,367131,0.536,44,119.75
Lipa90a,7,7,367018,367487,0.556,44,119.75
Lipa90a,8,8,367018,367349,0.577,44,119.75
Lipa90a,9,9,367018,367251,0.604,44,119.75
Lipa90a,9,9,367018,367251,0.605,44,119.75
Lipa90a,0,0,367299,367299,0.625,45,119.75
Lipa90a,1,1,367299,367522,0.647,45,119.75
Lipa90a,2,2,367299,367614,0.668,45,119.75
Lipa90a,3,3,367299,367801,0.695,45,119.75
Lipa90a,4,4,367129,367129,0.719,45,119.75
Lipa90a,5,5,367129,367754,0.742,45,119.75
Lipa90a,6,6,367129,367403,0.767,45,119.75
Lipa90a,7,7,367084,367084,0.789,45,119.75
Lipa90a,8,8,367084,367267,0.809,45,119.75
Lipa90a,9,9,367084,367565,0.829,45,119.75
Lipa90a,9,9,367084,367565,0.831,45,119.75
Lipa90a,0,0,367192,367192,0.857,46,119.75
Lipa90a,1,1,367164,367164,0.884,46,119.75
Lipa90a,2,2,367164,367508,0.904,46,119.75
Lipa90a,3,3,367164,367828,0.93,46,119.75
Lipa90a,4,4,367164,367277,0.962,46,119.75
Lipa90a,5,5,367164,367472,0.986,46,119.75
Lipa90a,6,6,367164,367261,1.013,46,119.75
Lipa90a,7,7,367164,367677,1.037,46,119.75
Lipa90a,8,8,367164,367309,1.059,46,119.75
Lipa90a,9,9,367164,367389,1.08,46,119.75
Lipa90a,9,9,367164,367389,1.083,46,119.75
Lipa90a,0,0,367503,367503,1.11,47,119.75
Lipa90a,1,1,367503,367755,1.132,47,119.75
Lipa90a,2,2,367503,367961,1.161,47,119.75
Lipa90a,3,3,367503,367667,1.194,47,119.75
Lipa90a,4,4,367091,367091,1.221,47,119.75
Lipa90a,5,5,367091,367176,1.241,47,119.75
Lipa90a,6,6,367091,367594,1.256,47,119.75
Lipa90a,7,7,367091,367425,1.275,47,119.75
Lipa90a,8,8,367091,367449,1.294,47,119.75
Lipa90a,9,9,367091,367539,1.313,47,119.75
Lipa90a,9,9,367091,367539,1.315,47,119.75
Lipa90a,0,0,367570,367570,1.329,48,119.75
Lipa90a,1,1,367537,367537,1.343,48,119.75
Lipa90a,2,2,367372,367372,1.36,48,119.75
Lipa90a,3,3,367372,367599,1.375,48,119.75
Lipa90a,4,4,367372,367641,1.395,48,119.75
Lipa90a,5,5,367372,367960,1.414,48,119.75
Lipa90a,6,6,367242,367242,1.439,48,119.75
Lipa90a,7,7,367242,367679,1.46,48,119.75
Lipa90a,8,8,367242,367278,1.48,48,119.75
Lipa90a,9,9,367242,367248,1.504,48,119.75
Lipa90a,9,9,367242,367248,1.506,48,119.75
Lipa90a,0,0,367585,367585,1.529,49,119.75
Lipa90a,1,1,367512,367512,1.553,49,119.75
Lipa90a,2,2,367512,367776,1.577,49,119.75
Lipa90a,3,3,367371,367371,1.597,49,119.75
Lipa90a,4,4,367371,367774,1.616,49,119.75
Lipa90a,5,5,367371,367571,1.636,49,119.75
Lipa90a,6,6,367371,367538,1.657,49,119.75
Lipa90a,7,7,367371,367517,1.679,49,119.75
Lipa90a,8,8,367371,367466,1.704,49,119.75
