instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Lipa90b,0,0,16304824,16304824,0.021,42
Lipa90b,1,1,16304824,16358409,0.044,42
Lipa90b,2,2,16277599,16277599,0.064,42
Lipa90b,3,3,16257232,16257232,0.085,42
Lipa90b,4,4,16227544,16227544,0.112,42
Lipa90b,5,5,16227544,16231244,0.137,42
Lipa90b,6,6,16227544,16391893,0.158,42
Lipa90b,7,7,16227544,16337692,0.178,42
Lipa90b,8,8,16227544,16365096,0.199,42
Lipa90b,9,9,16227544,16285263,0.219,42
Lipa90b,-1,-1,16227544,16227544,0.221,42
Lipa90b,0,0,16336416,16336416,0.236,43
Lipa90b,1,1,16336416,16339339,0.244,43
Lipa90b,2,2,16336416,16399820,0.255,43
Lipa90b,3,3,16231213,16231213,0.263,43
Lipa90b,4,4,16231213,16333956,0.272,43
Lipa90b,5,5,16231213,16389475,0.281,43
Lipa90b,6,6,16231213,16316526,0.292,43
Lipa90b,7,7,16231213,16284184,0.313,43
Lipa90b,8,8,16140069,16140069,0.334,43
Lipa90b,9,9,16140069,16217920,0.354,43
Lipa90b,-1,-1,16140069,16140069,0.356,43
Lipa90b,0,0,16362414,16362414,0.376,44
Lipa90b,1,1,16283262,16283262,0.392,44
Lipa90b,2,2,16267693,16267693,0.403,44
Lipa90b,3,3,16267693,16312235,0.411,44
Lipa90b,4,4,16267693,16334450,0.424,44
Lipa90b,5,5,16267693,16275802,0.464,44
Lipa90b,6,6,16267693,16321455,0.484,44
Lipa90b,7,7,16267693,16319984,0.499,44
Lipa90b,8,8,16267693,16300081,0.514,44
Lipa90b,9,9,16267693,16288337,0.525,44
Lipa90b,-1,-1,16267693,16267693,0.527,44
Lipa90b,0,0,16196325,16196325,0.542,45
Lipa90b,1,1,16196325,16316224,0.553,45
Lipa90b,2,2,16196325,16329162,0.562,45
Lipa90b,3,3,16196325,16338332,0.578,45
Lipa90b,4,4,16196325,16317403,0.587,45
Lipa90b,5,5,16196325,16316014,0.601,45
Lipa90b,6,6,16196325,16281040,0.616,45
Lipa90b,7,7,16147422,16147422,0.635,45
Lipa90b,8,8,16147422,16193016,0.65,45
Lipa90b,9,9,16147422,16217685,0.663,45
Lipa90b,-1,-1,16147422,16147422,0.664,45
Lipa90b,0,0,16206727,16206727,0.673,46
Lipa90b,1,1,16206727,16328150,0.682,46
Lipa90b,2,2,16206727,16446658,0.691,46
Lipa90b,3,3,16206727,16364218,0.699,46
Lipa90b,4,4,16206727,16355002,0.707,46
Lipa90b,5,5,16206727,16354753,0.715,46
Lipa90b,6,6,16206727,16244113,0.724,46
Lipa90b,7,7,16206727,16377454,0.732,46
Lipa90b,8,8,16205390,16205390,0.74,46
Lipa90b,9,9,16205390,16218291,0.755,46
Lipa90b,-1,-1,16205390,16205390,0.757,46
Lipa90b,0,0,16434856,16434856,0.783,47
Lipa90b,1,1,16280876,16280876,0.807,47
Lipa90b,2,2,16280876,16356508,0.828,47
Lipa90b,3,3,16177859,16177859,0.849,47
Lipa90b,4,4,16177859,16303008,0.87,47
Lipa90b,5,5,16177859,16274176,0.89,47
Lipa90b,6,6,16177859,16293181,0.91,47
Lipa90b,7,7,16177859,16307329,0.931,47
Lipa90b,8,8,16177859,16181520,0.952,47
Lipa90b,9,9,16177859,16219952,0.968,47
Lipa90b,-1,-1,16177859,16177859,0.969,47
Lipa90b,0,0,16311832,16311832,0.985,48
Lipa90b,1,1,16302570,16302570,1.001,48
Lipa90b,2,2,16302570,16335627,1.019,48
Lipa90b,3,3,16291841,16291841,1.036,48
Lipa90b,4,4,16291841,16380912,1.057,48
Lipa90b,5,5,16288554,16288554,1.078,48
Lipa90b,6,6,16288554,16402845,1.099,48
Lipa90b,7,7,16218162,16218162,1.119,48
Lipa90b,8,8,16218162,16239147,1.134,48
Lipa90b,9,9,16218162,16303164,1.142,48
Lipa90b,-1,-1,16218162,16218162,1.143,48
Lipa90b,0,0,16312413,16312413,1.162,49
Lipa90b,1,1,16312413,16361638,1.182,49
Lipa90b,2,2,16312413,16314976,1.201,49
Lipa90b,3,3,16312413,16363555,1.221,49
Lipa90b,4,4,16299674,16299674,1.233,49
Lipa90b,5,5,16245596,16245596,1.244,49
Lipa90b,6,6,16245596,16323619,1.263,49
Lipa90b,7,7,16245596,16297135,1.273,49
Lipa90b,8,8,16245596,16391161,1.289,49
Lipa90b,9,9,16245596,16265031,1.307,49
Lipa90b,-1,-1,16245596,16245596,1.309,49
Lipa90b,0,0,16269967,16269967,1.328,50
Lipa90b,1,1,16269967,16354883,1.349,50
Lipa90b,2,2,16269967,16273469,1.404,50
Lipa90b,3,3,16194238,16194238,1.432,50
Lipa90b,4,4,16194238,16237181,1.453,50
Lipa90b,5,5,16194238,16247864,1.462,50
Lipa90b,6,6,16194238,16306420,1.471,50
Lipa90b,7,7,16194238,16370490,1.479,50
Lipa90b,8,8,16194238,16317752,1.488,50
Lipa90b,9,9,16194238,16252255,1.5,50
Lipa90b,-1,-1,16194238,16194238,1.502,50
Lipa90b,0,0,16358681,16358681,1.524,51
Lipa90b,1,1,16293134,16293134,1.546,51
Lipa90b,2,2,16293134,16364432,1.566,51
Lipa90b,3,3,16293134,16301320,1.584,51
Lipa90b,4,4,16293134,16342169,1.604,51
Lipa90b,5,5,16293134,16370606,1.624,51
Lipa90b,6,6,16293134,16317356,1.648,51
Lipa90b,7,7,16293134,16294915,1.667,51
Lipa90b,8,8,16239343,16239343,1.685,51
Lipa90b,9,9,16239343,16314028,1.695,51
Lipa90b,-1,-1,16239343,16239343,1.696,51
