instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Nug14,0,0,1478,1478,0.001
Nug14,1,1,1404,1404,0.004
Nug14,2,2,1404,1460,0.007
Nug14,3,3,1400,1400,0.009
Nug14,4,4,1400,1420,0.01
Nug14,5,5,1400,1408,0.012
Nug14,6,6,1400,1496,0.014
Nug14,7,7,1400,1452,0.016
Nug14,8,8,1400,1534,0.018
Nug14,9,9,1400,1570,0.02
Nug14,-1,-1,1400,1400,0.021
Nug14,0,0,1494,1494,0.023
Nug14,1,1,1430,1430,0.025
Nug14,2,2,1430,1438,0.026
Nug14,3,3,1430,1524,0.027
Nug14,4,4,1364,1364,0.029
Nug14,5,5,1364,1446,0.03
Nug14,6,6,1304,1304,0.031
Nug14,7,7,1304,1328,0.033
Nug14,8,8,1304,1448,0.034
Nug14,9,9,1304,1470,0.037
Nug14,-1,-1,1304,1304,0.038
Nug14,0,0,1492,1492,0.04
Nug14,1,1,1414,1414,0.042
Nug14,2,2,1396,1396,0.043
Nug14,3,3,1396,1430,0.044
Nug14,4,4,1396,1436,0.046
Nug14,5,5,1396,1408,0.047
Nug14,6,6,1348,1348,0.048
Nug14,7,7,1348,1438,0.049
Nug14,8,8,1348,1494,0.05
Nug14,9,9,1348,1512,0.051
Nug14,-1,-1,1348,1348,0.052
Nug14,0,0,1512,1512,0.054
Nug14,1,1,1314,1314,0.054
Nug14,2,2,1314,1432,0.055
Nug14,3,3,1314,1424,0.056
Nug14,4,4,1314,1444,0.058
Nug14,5,5,1314,1504,0.06
Nug14,6,6,1314,1388,0.061
Nug14,7,7,1314,1466,0.061
Nug14,8,8,1314,1392,0.062
Nug14,9,9,1314,1536,0.062
Nug14,-1,-1,1314,1314,0.063
Nug14,0,0,1452,1452,0.063
Nug14,1,1,1426,1426,0.064
Nug14,2,2,1388,1388,0.066
Nug14,3,3,1388,1436,0.067
Nug14,4,4,1388,1464,0.068
Nug14,5,5,1388,1388,0.069
Nug14,6,6,1388,1522,0.07
Nug14,7,7,1348,1348,0.07
Nug14,8,8,1348,1356,0.071
Nug14,9,9,1348,1366,0.072
Nug14,-1,-1,1348,1348,0.072
Nug14,0,0,1408,1408,0.073
Nug14,1,1,1408,1408,0.074
Nug14,2,2,1398,1398,0.075
Nug14,3,3,1386,1386,0.076
Nug14,4,4,1386,1476,0.076
Nug14,5,5,1386,1426,0.077
Nug14,6,6,1386,1436,0.078
Nug14,7,7,1322,1322,0.078
Nug14,8,8,1322,1344,0.079
Nug14,9,9,1322,1456,0.08
Nug14,-1,-1,1322,1322,0.082
Nug14,0,0,1520,1520,0.083
Nug14,1,1,1446,1446,0.084
Nug14,2,2,1396,1396,0.085
Nug14,3,3,1236,1236,0.086
Nug14,4,4,1236,1374,0.087
Nug14,5,5,1236,1560,0.088
Nug14,6,6,1236,1414,0.089
Nug14,7,7,1236,1430,0.09
Nug14,8,8,1236,1472,0.091
Nug14,9,9,1236,1414,0.092
Nug14,-1,-1,1236,1236,0.093
Nug14,0,0,1412,1412,0.094
Nug14,1,1,1412,1412,0.095
Nug14,2,2,1268,1268,0.097
Nug14,3,3,1268,1474,0.098
Nug14,4,4,1268,1320,0.098
Nug14,5,5,1268,1326,0.099
Nug14,6,6,1268,1422,0.1
Nug14,7,7,1268,1424,0.101
Nug14,8,8,1268,1416,0.101
Nug14,9,9,1268,1400,0.103
Nug14,-1,-1,1268,1268,0.103
Nug14,0,0,1372,1372,0.104
Nug14,1,1,1372,1398,0.105
Nug14,2,2,1340,1340,0.105
Nug14,3,3,1340,1364,0.106
Nug14,4,4,1292,1292,0.107
Nug14,5,5,1292,1456,0.107
Nug14,6,6,1292,1386,0.108
Nug14,7,7,1292,1342,0.109
Nug14,8,8,1292,1406,0.109
Nug14,9,9,1292,1422,0.111
Nug14,-1,-1,1292,1292,0.112
Nug14,0,0,1428,1428,0.114
Nug14,1,1,1428,1466,0.114
Nug14,2,2,1356,1356,0.115
Nug14,3,3,1356,1544,0.115
Nug14,4,4,1356,1360,0.117
Nug14,5,5,1356,1450,0.118
Nug14,6,6,1356,1484,0.119
Nug14,7,7,1356,1406,0.119
Nug14,8,8,1356,1452,0.12
Nug14,9,9,1356,1450,0.121
Nug14,-1,-1,1356,1356,0.121
