instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Nug16a,0,0,2244,2244,0.001
Nug16a,1,1,2120,2120,0.002
Nug16a,2,2,2120,2180,0.003
Nug16a,3,3,2120,2206,0.004
Nug16a,4,4,2120,2258,0.005
Nug16a,5,5,2120,2220,0.006
Nug16a,6,6,2120,2218,0.006
Nug16a,7,7,2120,2172,0.007
Nug16a,8,8,2120,2216,0.007
Nug16a,9,9,2120,2322,0.009
Nug16a,-1,-1,2120,2120,0.009
Nug16a,0,0,2276,2276,0.01
Nug16a,1,1,2248,2248,0.01
Nug16a,2,2,2246,2246,0.011
Nug16a,3,3,2246,2366,0.012
Nug16a,4,4,2158,2158,0.012
Nug16a,5,5,2158,2186,0.014
Nug16a,6,6,2158,2198,0.016
Nug16a,7,7,2158,2310,0.017
Nug16a,8,8,2158,2480,0.019
Nug16a,9,9,2158,2272,0.02
Nug16a,-1,-1,2158,2158,0.02
Nug16a,0,0,2110,2110,0.021
Nug16a,1,1,2110,2170,0.022
Nug16a,2,2,2110,2246,0.023
Nug16a,3,3,2110,2270,0.023
Nug16a,4,4,2092,2092,0.024
Nug16a,5,5,2092,2190,0.025
Nug16a,6,6,2092,2168,0.025
Nug16a,7,7,2092,2132,0.026
Nug16a,8,8,2092,2160,0.027
Nug16a,9,9,2092,2204,0.028
Nug16a,-1,-1,2092,2092,0.028
Nug16a,0,0,2320,2320,0.029
Nug16a,1,1,2192,2192,0.03
Nug16a,2,2,2192,2250,0.03
Nug16a,3,3,2192,2342,0.032
Nug16a,4,4,2192,2226,0.034
Nug16a,5,5,2192,2234,0.035
Nug16a,6,6,2192,2274,0.036
Nug16a,7,7,2192,2266,0.036
Nug16a,8,8,2192,2202,0.037
Nug16a,9,9,2192,2396,0.038
Nug16a,-1,-1,2192,2192,0.039
Nug16a,0,0,2378,2378,0.04
Nug16a,1,1,2258,2258,0.04
Nug16a,2,2,2150,2150,0.041
Nug16a,3,3,2150,2160,0.042
Nug16a,4,4,2150,2298,0.043
Nug16a,5,5,2150,2272,0.044
Nug16a,6,6,2150,2314,0.046
Nug16a,7,7,2150,2216,0.046
Nug16a,8,8,2150,2194,0.047
Nug16a,9,9,2108,2108,0.048
Nug16a,-1,-1,2108,2108,0.05
Nug16a,0,0,2262,2262,0.052
Nug16a,1,1,2262,2364,0.053
Nug16a,2,2,2164,2164,0.054
Nug16a,3,3,2164,2260,0.055
Nug16a,4,4,2038,2038,0.056
Nug16a,5,5,2038,2242,0.057
Nug16a,6,6,2038,2404,0.057
Nug16a,7,7,2038,2234,0.058
Nug16a,8,8,2038,2300,0.059
Nug16a,9,9,2038,2332,0.06
Nug16a,-1,-1,2038,2038,0.061
Nug16a,0,0,2256,2256,0.062
Nug16a,1,1,2256,2346,0.062
Nug16a,2,2,2250,2250,0.063
Nug16a,3,3,2250,2350,0.064
Nug16a,4,4,2250,2354,0.067
Nug16a,5,5,2250,2322,0.068
Nug16a,6,6,2250,2426,0.069
Nug16a,7,7,2176,2176,0.07
Nug16a,8,8,2176,2266,0.07
Nug16a,9,9,2176,2266,0.071
Nug16a,-1,-1,2176,2176,0.072
Nug16a,0,0,2220,2220,0.073
Nug16a,1,1,2220,2332,0.074
Nug16a,2,2,2220,2332,0.075
Nug16a,3,3,2158,2158,0.076
Nug16a,4,4,2116,2116,0.077
Nug16a,5,5,2116,2176,0.078
Nug16a,6,6,2108,2108,0.078
Nug16a,7,7,2108,2438,0.08
Nug16a,8,8,2108,2264,0.082
Nug16a,9,9,2108,2214,0.084
Nug16a,-1,-1,2108,2108,0.085
Nug16a,0,0,2214,2214,0.086
Nug16a,1,1,2214,2418,0.088
Nug16a,2,2,2214,2218,0.089
Nug16a,3,3,2214,2342,0.09
Nug16a,4,4,2172,2172,0.09
Nug16a,5,5,2172,2172,0.091
Nug16a,6,6,2172,2284,0.092
Nug16a,7,7,2172,2200,0.092
Nug16a,8,8,2172,2184,0.093
Nug16a,9,9,2172,2416,0.094
Nug16a,-1,-1,2172,2172,0.095
Nug16a,0,0,2326,2326,0.096
Nug16a,1,1,2236,2236,0.096
Nug16a,2,2,2098,2098,0.099
Nug16a,3,3,2098,2316,0.1
Nug16a,4,4,2098,2252,0.101
Nug16a,5,5,2098,2218,0.102
Nug16a,6,6,2098,2232,0.103
Nug16a,7,7,2098,2264,0.103
Nug16a,8,8,2098,2126,0.104
Nug16a,9,9,2098,2114,0.106
Nug16a,-1,-1,2098,2098,0.106
