instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Nug20,0,0,3534,3534,0.001,42,119.75
Nug20,1,1,3534,3546,0.003,42,119.75
Nug20,2,2,3534,3580,0.004,42,119.75
Nug20,3,3,3534,3618,0.006,42,119.75
Nug20,4,4,3382,3382,0.007,42,119.75
Nug20,5,5,3382,3524,0.008,42,119.75
Nug20,6,6,3382,3532,0.009,42,119.75
Nug20,7,7,3382,3444,0.011,42,119.75
Nug20,8,8,3382,3572,0.015,42,119.75
Nug20,9,9,3382,3388,0.016,42,119.75
Nug20,9,9,3382,3388,0.017,42,119.75
Nug20,0,0,3446,3446,0.019,43,119.75
Nug20,1,1,3396,3396,0.02,43,119.75
Nug20,2,2,3396,3672,0.021,43,119.75
Nug20,3,3,3396,3452,0.023,43,119.75
Nug20,4,4,3396,3444,0.023,43,119.75
Nug20,5,5,3396,3782,0.024,43,119.75
Nug20,6,6,3396,3490,0.026,43,119.75
Nug20,7,7,3396,3506,0.028,43,119.75
Nug20,8,8,3396,3498,0.03,43,119.75
Nug20,9,9,3396,3480,0.032,43,119.75
Nug20,9,9,3396,3480,0.034,43,119.75
Nug20,0,0,3496,3496,0.036,44,119.75
Nug20,1,1,3488,3488,0.037,44,119.75
Nug20,2,2,3488,3578,0.038,44,119.75
Nug20,3,3,3488,3692,0.04,44,119.75
Nug20,4,4,3488,3572,0.041,44,119.75
Nug20,5,5,3488,3698,0.042,44,119.75
Nug20,6,6,3488,3750,0.043,44,119.75
Nug20,7,7,3488,3698,0.045,44,119.75
Nug20,8,8,3488,3590,0.046,44,119.75
Nug20,9,9,3376,3376,0.048,44,119.75
Nug20,9,9,3376,3376,0.048,44,119.75
Nug20,0,0,3652,3652,0.051,45,119.75
Nug20,1,1,3570,3570,0.052,45,119.75
Nug20,2,2,3570,3578,0.053,45,119.75
Nug20,3,3,3558,3558,0.054,45,119.75
Nug20,4,4,3420,3420,0.056,45,119.75
Nug20,5,5,3420,3538,0.057,45,119.75
Nug20,6,6,3420,3724,0.058,45,119.75
Nug20,7,7,3408,3408,0.059,45,119.75
Nug20,8,8,3408,3474,0.06,45,119.75
Nug20,9,9,3408,3434,0.062,45,119.75
Nug20,9,9,3408,3434,0.063,45,119.75
Nug20,0,0,3658,3658,0.065,46,119.75
Nug20,1,1,3490,3490,0.066,46,119.75
Nug20,2,2,3490,3566,0.068,46,119.75
Nug20,3,3,3490,3558,0.069,46,119.75
Nug20,4,4,3490,3654,0.07,46,119.75
Nug20,5,5,3490,3580,0.072,46,119.75
Nug20,6,6,3490,3498,0.073,46,119.75
Nug20,7,7,3490,3702,0.074,46,119.75
Nug20,8,8,3422,3422,0.076,46,119.75
Nug20,9,9,3422,3672,0.077,46,119.75
Nug20,9,9,3422,3672,0.078,46,119.75
Nug20,0,0,3384,3384,0.08,47,119.75
Nug20,1,1,3384,3632,0.082,47,119.75
Nug20,2,2,3384,3446,0.084,47,119.75
Nug20,3,3,3384,3422,0.086,47,119.75
Nug20,4,4,3384,3708,0.088,47,119.75
Nug20,5,5,3384,3402,0.09,47,119.75
Nug20,6,6,3384,3610,0.092,47,119.75
Nug20,7,7,3384,3538,0.093,47,119.75
Nug20,8,8,3384,3772,0.095,47,119.75
Nug20,9,9,3384,3466,0.097,47,119.75
Nug20,9,9,3384,3466,0.098,47,119.75
Nug20,0,0,3412,3412,0.1,48,119.75
Nug20,1,1,3412,3526,0.101,48,119.75
Nug20,2,2,3412,3620,0.102,48,119.75
Nug20,3,3,3412,3488,0.103,48,119.75
Nug20,4,4,3412,3660,0.104,48,119.75
Nug20,5,5,3412,3468,0.106,48,119.75
Nug20,6,6,3412,3534,0.107,48,119.75
Nug20,7,7,3412,3548,0.108,48,119.75
Nug20,8,8,3412,3464,0.109,48,119.75
Nug20,9,9,3412,3502,0.11,48,119.75
Nug20,9,9,3412,3502,0.111,48,119.75
Nug20,0,0,3414,3414,0.113,49,119.75
Nug20,1,1,3414,3528,0.115,49,119.75
Nug20,2,2,3414,3562,0.116,49,119.75
Nug20,3,3,3414,3574,0.117,49,119.75
Nug20,4,4,3414,3566,0.118,49,119.75
Nug20,5,5,3414,3702,0.12,49,119.75
Nug20,6,6,3414,3494,0.121,49,119.75
Nug20,7,7,3414,3612,0.123,49,119.75
Nug20,8,8,3414,3630,0.124,49,119.75
Nug20,9,9,3414,3562,0.125,49,119.75
Nug20,9,9,3414,3562,0.126,49,119.75
Nug20,0,0,3492,3492,0.127,50,119.75
Nug20,1,1,3492,3562,0.128,50,119.75
Nug20,2,2,3492,3554,0.129,50,119.75
Nug20,3,3,3492,3558,0.131,50,119.75
Nug20,4,4,3478,3478,0.132,50,119.75
Nug20,5,5,3478,3556,0.134,50,119.75
Nug20,6,6,3462,3462,0.135,50,119.75
Nug20,7,7,3462,3534,0.137,50,119.75
Nug20,8,8,3462,3466,0.139,50,119.75
Nug20,9,9,3462,3568,0.14,50,119.75
Nug20,9,9,3462,3568,0.142,50,119.75
Nug20,0,0,3464,3464,0.143,51,119.75
Nug20,1,1,3428,3428,0.145,51,119.75
Nug20,2,2,3428,3620,0.147,51,119.75
Nug20,3,3,3428,3626,0.149,51,119.75
Nug20,4,4,3428,3482,0.151,51,119.75
Nug20,5,5,3428,3598,0.153,51,119.75
Nug20,6,6,3428,3608,0.155,51,119.75
Nug20,7,7,3428,3652,0.157,51,119.75
Nug20,8,8,3428,3580,0.16,51,119.75
Nug20,9,9,3264,3264,0.164,51,119.75
Nug20,9,9,3264,3264,0.166,51,119.75
