instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Nug27,0,0,6876,6876,0.003,42
Nug27,1,1,6830,6830,0.006,42
Nug27,2,2,6830,7246,0.009,42
Nug27,3,3,6830,7202,0.01,42
Nug27,4,4,6800,6800,0.012,42
Nug27,5,5,6800,7210,0.014,42
Nug27,6,6,6506,6506,0.015,42
Nug27,7,7,6506,6810,0.018,42
Nug27,8,8,6506,7336,0.02,42
Nug27,9,9,6506,7028,0.023,42
Nug27,-1,-1,6506,6506,0.024,42
Nug27,0,0,7246,7246,0.028,43
Nug27,1,1,7246,7456,0.031,43
Nug27,2,2,6658,6658,0.037,43
Nug27,3,3,6658,7008,0.041,43
Nug27,4,4,6658,7216,0.044,43
Nug27,5,5,6658,7238,0.047,43
Nug27,6,6,6658,7038,0.051,43
Nug27,7,7,6658,7166,0.054,43
Nug27,8,8,6658,6838,0.058,43
Nug27,9,9,6658,6924,0.061,43
Nug27,-1,-1,6658,6658,0.062,43
Nug27,0,0,7058,7058,0.067,44
Nug27,1,1,6960,6960,0.071,44
Nug27,2,2,6960,7250,0.074,44
Nug27,3,3,6630,6630,0.077,44
Nug27,4,4,6630,6764,0.081,44
Nug27,5,5,6630,6860,0.084,44
Nug27,6,6,6630,7158,0.088,44
Nug27,7,7,6630,7160,0.092,44
Nug27,8,8,6630,6982,0.096,44
Nug27,9,9,6630,6854,0.098,44
Nug27,-1,-1,6630,6630,0.099,44
Nug27,0,0,7058,7058,0.102,45
Nug27,1,1,6886,6886,0.105,45
Nug27,2,2,6886,7138,0.108,45
Nug27,3,3,6886,7344,0.111,45
Nug27,4,4,6886,7548,0.113,45
Nug27,5,5,6786,6786,0.115,45
Nug27,6,6,6786,7504,0.117,45
Nug27,7,7,6786,7382,0.119,45
Nug27,8,8,6738,6738,0.121,45
Nug27,9,9,6738,6852,0.123,45
Nug27,-1,-1,6738,6738,0.123,45
Nug27,0,0,7240,7240,0.126,46
Nug27,1,1,6752,6752,0.128,46
Nug27,2,2,6752,6942,0.129,46
Nug27,3,3,6752,7016,0.13,46
Nug27,4,4,6752,6850,0.132,46
Nug27,5,5,6752,6828,0.133,46
Nug27,6,6,6752,6934,0.134,46
Nug27,7,7,6752,7210,0.135,46
Nug27,8,8,6752,7258,0.137,46
Nug27,9,9,6632,6632,0.138,46
Nug27,-1,-1,6632,6632,0.14,46
Nug27,0,0,7240,7240,0.142,47
Nug27,1,1,7108,7108,0.144,47
Nug27,2,2,6880,6880,0.146,47
Nug27,3,3,6880,7148,0.148,47
Nug27,4,4,6880,7414,0.15,47
Nug27,5,5,6880,7192,0.152,47
Nug27,6,6,6880,7098,0.156,47
Nug27,7,7,6880,7256,0.159,47
Nug27,8,8,6880,7026,0.162,47
Nug27,9,9,6880,7190,0.164,47
Nug27,-1,-1,6880,6880,0.165,47
Nug27,0,0,6912,6912,0.168,48
Nug27,1,1,6912,6950,0.173,48
Nug27,2,2,6912,7002,0.176,48
Nug27,3,3,6912,7240,0.179,48
Nug27,4,4,6834,6834,0.181,48
Nug27,5,5,6834,6970,0.184,48
Nug27,6,6,6834,7036,0.188,48
Nug27,7,7,6756,6756,0.192,48
Nug27,8,8,6756,7102,0.195,48
Nug27,9,9,6756,7066,0.199,48
Nug27,-1,-1,6756,6756,0.2,48
Nug27,0,0,7080,7080,0.203,49
Nug27,1,1,6904,6904,0.208,49
Nug27,2,2,6800,6800,0.211,49
Nug27,3,3,6800,7096,0.214,49
Nug27,4,4,6800,7052,0.217,49
Nug27,5,5,6800,7338,0.222,49
Nug27,6,6,6800,7004,0.226,49
Nug27,7,7,6800,7010,0.23,49
Nug27,8,8,6800,7112,0.232,49
Nug27,9,9,6800,6884,0.236,49
Nug27,-1,-1,6800,6800,0.237,49
Nug27,0,0,7426,7426,0.241,50
Nug27,1,1,6920,6920,0.244,50
Nug27,2,2,6920,7226,0.248,50
Nug27,3,3,6750,6750,0.251,50
Nug27,4,4,6750,7082,0.253,50
Nug27,5,5,6750,7140,0.256,50
Nug27,6,6,6750,6848,0.258,50
Nug27,7,7,6750,7700,0.261,50
Nug27,8,8,6750,7190,0.264,50
Nug27,9,9,6750,7156,0.268,50
Nug27,-1,-1,6750,6750,0.269,50
Nug27,0,0,7392,7392,0.275,51
Nug27,1,1,7392,7562,0.278,51
Nug27,2,2,7296,7296,0.281,51
Nug27,3,3,7244,7244,0.284,51
Nug27,4,4,7244,7344,0.291,51
Nug27,5,5,7004,7004,0.294,51
Nug27,6,6,7004,7074,0.297,51
Nug27,7,7,6608,6608,0.301,51
Nug27,8,8,6608,7158,0.306,51
Nug27,9,9,6608,7134,0.31,51
Nug27,-1,-1,6608,6608,0.312,51
