instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Scr15,0,0,90130,90130,0.001,42,119.75
Scr15,1,1,90130,101484,0.002,42,119.75
Scr15,2,2,88300,88300,0.003,42,119.75
Scr15,3,3,88300,94680,0.006,42,119.75
Scr15,4,4,88300,110596,0.007,42,119.75
Scr15,5,5,88300,112654,0.007,42,119.75
Scr15,6,6,86684,86684,0.009,42,119.75
Scr15,7,7,86684,93350,0.01,42,119.75
Scr15,8,8,86684,88754,0.01,42,119.75
Scr15,9,9,86684,108654,0.011,42,119.75
Scr15,9,9,86684,108654,0.012,42,119.75
Scr15,0,0,92688,92688,0.013,43,119.75
Scr15,1,1,92688,101666,0.013,43,119.75
Scr15,2,2,90504,90504,0.015,43,119.75
Scr15,3,3,87344,87344,0.015,43,119.75
Scr15,4,4,87344,108302,0.016,43,119.75
Scr15,5,5,87344,104524,0.017,43,119.75
Scr15,6,6,87344,101510,0.019,43,119.75
Scr15,7,7,87344,90194,0.02,43,119.75
Scr15,8,8,78344,78344,0.02,43,119.75
Scr15,9,9,78344,93822,0.022,43,119.75
Scr15,9,9,78344,93822,0.023,43,119.75
Scr15,0,0,89802,89802,0.025,44,119.75
Scr15,1,1,82814,82814,0.026,44,119.75
Scr15,2,2,82814,99120,0.028,44,119.75
Scr15,3,3,82814,107904,0.029,44,119.75
Scr15,4,4,67302,67302,0.031,44,119.75
Scr15,5,5,67302,101160,0.033,44,119.75
Scr15,6,6,67302,108634,0.035,44,119.75
Scr15,7,7,67302,81170,0.037,44,119.75
Scr15,8,8,67302,97056,0.039,44,119.75
Scr15,9,9,67302,89028,0.041,44,119.75
Scr15,9,9,67302,89028,0.042,44,119.75
Scr15,0,0,86352,86352,0.044,45,119.75
Scr15,1,1,86352,93324,0.045,45,119.75
Scr15,2,2,86352,109254,0.047,45,119.75
Scr15,3,3,86352,92558,0.048,45,119.75
Scr15,4,4,86352,99070,0.049,45,119.75
Scr15,5,5,86352,97464,0.051,45,119.75
Scr15,6,6,86352,99960,0.052,45,119.75
Scr15,7,7,86352,86960,0.053,45,119.75
Scr15,8,8,86352,108988,0.054,45,119.75
Scr15,9,9,86352,88536,0.055,45,119.75
Scr15,9,9,86352,88536,0.056,45,119.75
Scr15,0,0,82464,82464,0.057,46,119.75
Scr15,1,1,82464,103064,0.057,46,119.75
Scr15,2,2,82464,104008,0.058,46,119.75
Scr15,3,3,82464,102114,0.06,46,119.75
Scr15,4,4,82464,86336,0.06,46,119.75
Scr15,5,5,82464,92264,0.061,46,119.75
Scr15,6,6,82464,91142,0.063,46,119.75
Scr15,7,7,82464,90148,0.064,46,119.75
Scr15,8,8,82464,97684,0.064,46,119.75
Scr15,9,9,82464,90576,0.066,46,119.75
Scr15,9,9,82464,90576,0.068,46,119.75
Scr15,0,0,98124,98124,0.071,47,119.75
Scr15,1,1,98124,104276,0.072,47,119.75
Scr15,2,2,98124,100786,0.074,47,119.75
Scr15,3,3,86576,86576,0.075,47,119.75
Scr15,4,4,86576,107188,0.076,47,119.75
Scr15,5,5,86576,102974,0.077,47,119.75
Scr15,6,6,86576,99508,0.078,47,119.75
Scr15,7,7,86576,99686,0.079,47,119.75
Scr15,8,8,86576,94792,0.079,47,119.75
Scr15,9,9,78738,78738,0.08,47,119.75
Scr15,9,9,78738,78738,0.08,47,119.75
Scr15,0,0,94990,94990,0.082,48,119.75
Scr15,1,1,94990,96956,0.085,48,119.75
Scr15,2,2,94990,99264,0.087,48,119.75
Scr15,3,3,94844,94844,0.089,48,119.75
Scr15,4,4,94844,100242,0.09,48,119.75
Scr15,5,5,94844,109374,0.092,48,119.75
Scr15,6,6,80554,80554,0.092,48,119.75
Scr15,7,7,80554,89718,0.093,48,119.75
Scr15,8,8,80554,81246,0.094,48,119.75
Scr15,9,9,80554,102300,0.094,48,119.75
Scr15,9,9,80554,102300,0.095,48,119.75
Scr15,0,0,100980,100980,0.096,49,119.75
Scr15,1,1,95252,95252,0.097,49,119.75
Scr15,2,2,82034,82034,0.098,49,119.75
Scr15,3,3,82034,94266,0.099,49,119.75
Scr15,4,4,82034,92230,0.101,49,119.75
Scr15,5,5,82034,103644,0.102,49,119.75
Scr15,6,6,82034,91178,0.104,49,119.75
Scr15,7,7,82034,114218,0.104,49,119.75
Scr15,8,8,82034,96712,0.105,49,119.75
Scr15,9,9,82034,100370,0.106,49,119.75
Scr15,9,9,82034,100370,0.106,49,119.75
Scr15,0,0,99716,99716,0.108,50,119.75
Scr15,1,1,86094,86094,0.109,50,119.75
Scr15,2,2,86094,95080,0.109,50,119.75
Scr15,3,3,86094,97164,0.11,50,119.75
Scr15,4,4,86094,88988,0.111,50,119.75
Scr15,5,5,86094,102306,0.112,50,119.75
Scr15,6,6,84096,84096,0.113,50,119.75
Scr15,7,7,84096,88904,0.113,50,119.75
Scr15,8,8,84096,90654,0.115,50,119.75
Scr15,9,9,81860,81860,0.116,50,119.75
Scr15,9,9,81860,81860,0.117,50,119.75
Scr15,0,0,94250,94250,0.119,51,119.75
Scr15,1,1,94250,100178,0.12,51,119.75
Scr15,2,2,89206,89206,0.121,51,119.75
Scr15,3,3,76126,76126,0.122,51,119.75
Scr15,4,4,76126,103174,0.124,51,119.75
Scr15,5,5,76126,115482,0.125,51,119.75
Scr15,6,6,76126,105126,0.126,51,119.75
Scr15,7,7,76126,94302,0.128,51,119.75
Scr15,8,8,76126,87858,0.13,51,119.75
Scr15,9,9,76126,98024,0.133,51,119.75
Scr15,9,9,76126,98024,0.135,51,119.75
