instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Sko100c,0,0,179414,179414,0.024,42
Sko100c,1,1,177066,177066,0.048,42
Sko100c,2,2,176790,176790,0.075,42
Sko100c,3,3,176790,179028,0.106,42
Sko100c,4,4,176166,176166,0.131,42
Sko100c,5,5,176166,177452,0.158,42
Sko100c,6,6,175070,175070,0.184,42
Sko100c,7,7,175070,175236,0.211,42
Sko100c,8,8,175070,176062,0.299,42
Sko100c,9,9,175070,175994,0.318,42
Sko100c,-1,-1,175070,175070,0.319,42
Sko100c,0,0,176610,176610,0.332,43
Sko100c,1,1,176610,177048,0.347,43
Sko100c,2,2,174590,174590,0.366,43
Sko100c,3,3,174590,176404,0.387,43
Sko100c,4,4,174590,178320,0.407,43
Sko100c,5,5,174590,176636,0.43,43
Sko100c,6,6,174590,175072,0.458,43
Sko100c,7,7,174590,177346,0.483,43
Sko100c,8,8,174590,175294,0.508,43
Sko100c,9,9,174590,176208,0.537,43
Sko100c,-1,-1,174590,174590,0.54,43
Sko100c,0,0,176186,176186,0.573,44
Sko100c,1,1,176186,177022,0.599,44
Sko100c,2,2,176186,176388,0.623,44
Sko100c,3,3,176186,178086,0.648,44
Sko100c,4,4,176186,176640,0.673,44
Sko100c,5,5,176186,176388,0.698,44
Sko100c,6,6,176186,177152,0.725,44
Sko100c,7,7,175456,175456,0.748,44
Sko100c,8,8,175456,177118,0.781,44
Sko100c,9,9,174968,174968,0.808,44
Sko100c,-1,-1,174968,174968,0.811,44
Sko100c,0,0,177792,177792,0.836,45
Sko100c,1,1,176082,176082,0.862,45
Sko100c,2,2,176082,176360,0.885,45
Sko100c,3,3,176082,177268,0.912,45
Sko100c,4,4,175540,175540,0.937,45
Sko100c,5,5,175540,178752,0.961,45
Sko100c,6,6,175540,176512,0.987,45
Sko100c,7,7,175240,175240,1.011,45
Sko100c,8,8,175240,177860,1.035,45
Sko100c,9,9,175240,176030,1.059,45
Sko100c,-1,-1,175240,175240,1.06,45
Sko100c,0,0,175364,175364,1.079,46
Sko100c,1,1,175364,177092,1.091,46
Sko100c,2,2,175364,176966,1.1,46
Sko100c,3,3,175364,176574,1.111,46
Sko100c,4,4,175364,176306,1.121,46
Sko100c,5,5,174682,174682,1.131,46
Sko100c,6,6,174682,178470,1.142,46
Sko100c,7,7,174682,175290,1.153,46
Sko100c,8,8,174682,175486,1.172,46
Sko100c,9,9,174682,179006,1.187,46
Sko100c,-1,-1,174682,174682,1.19,46
Sko100c,0,0,176558,176558,1.212,47
Sko100c,1,1,176472,176472,1.235,47
Sko100c,2,2,176472,176554,1.259,47
Sko100c,3,3,176472,178272,1.284,47
Sko100c,4,4,176472,177746,1.318,47
Sko100c,5,5,174914,174914,1.343,47
Sko100c,6,6,174046,174046,1.369,47
Sko100c,7,7,174046,176860,1.394,47
Sko100c,8,8,174046,176620,1.422,47
Sko100c,9,9,174046,177018,1.447,47
Sko100c,-1,-1,174046,174046,1.45,47
Sko100c,0,0,176312,176312,1.475,48
Sko100c,1,1,176312,177288,1.498,48
Sko100c,2,2,176312,176752,1.526,48
Sko100c,3,3,176312,176314,1.549,48
Sko100c,4,4,176312,177644,1.573,48
Sko100c,5,5,175546,175546,1.595,48
Sko100c,6,6,175546,175560,1.61,48
Sko100c,7,7,175030,175030,1.621,48
Sko100c,8,8,175030,176418,1.631,48
Sko100c,9,9,175030,177250,1.645,48
Sko100c,-1,-1,175030,175030,1.647,48
Sko100c,0,0,176098,176098,1.663,49
Sko100c,1,1,174852,174852,1.685,49
Sko100c,2,2,174852,175948,1.703,49
Sko100c,3,3,174852,179198,1.725,49
Sko100c,4,4,174852,176274,1.737,49
Sko100c,5,5,174852,177418,1.747,49
Sko100c,6,6,174852,176430,1.76,49
Sko100c,7,7,174852,175542,1.774,49
Sko100c,8,8,174852,178426,1.785,49
Sko100c,9,9,174852,178180,1.8,49
Sko100c,-1,-1,174852,174852,1.801,49
Sko100c,0,0,176816,176816,1.819,50
Sko100c,1,1,176104,176104,1.847,50
Sko100c,2,2,175078,175078,1.87,50
Sko100c,3,3,175078,175584,1.894,50
Sko100c,4,4,175078,177070,1.909,50
Sko100c,5,5,175078,176450,1.921,50
Sko100c,6,6,175078,177422,1.936,50
Sko100c,7,7,174394,174394,1.96,50
Sko100c,8,8,174394,177526,1.986,50
Sko100c,9,9,174394,176990,2.012,50
Sko100c,-1,-1,174394,174394,2.014,50
Sko100c,0,0,174902,174902,2.05,51
Sko100c,1,1,174902,177628,2.08,51
Sko100c,2,2,174902,177810,2.105,51
Sko100c,3,3,174902,176344,2.134,51
Sko100c,4,4,174902,177446,2.165,51
Sko100c,5,5,174902,177238,2.192,51
Sko100c,6,6,174902,176380,2.224,51
Sko100c,7,7,174902,178504,2.253,51
Sko100c,8,8,174852,174852,2.27,51
Sko100c,9,9,174852,176678,2.282,51
Sko100c,-1,-1,174852,174852,2.284,51
