instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Sko100d,0,0,176856,176856,0.012
Sko100d,1,1,174132,174132,0.028
Sko100d,2,2,174132,177682,0.051
Sko100d,3,3,174132,178110,0.067
Sko100d,4,4,174132,176596,0.087
Sko100d,5,5,174132,178798,0.103
Sko100d,6,6,174132,178442,0.116
Sko100d,7,7,174132,178222,0.128
Sko100d,8,8,174132,179490,0.14
Sko100d,9,9,174132,176246,0.162
Sko100d,-1,-1,174132,174132,0.164
Sko100d,0,0,178086,178086,0.182
Sko100d,1,1,175884,175884,0.193
Sko100d,2,2,175884,176254,0.214
Sko100d,3,3,175884,178540,0.232
Sko100d,4,4,175884,178842,0.249
Sko100d,5,5,175884,178222,0.264
Sko100d,6,6,175884,177618,0.281
Sko100d,7,7,175884,176984,0.296
Sko100d,8,8,175884,178218,0.314
Sko100d,9,9,175884,177138,0.334
Sko100d,-1,-1,175884,175884,0.336
Sko100d,0,0,176202,176202,0.356
Sko100d,1,1,176202,177024,0.373
Sko100d,2,2,176202,177508,0.386
Sko100d,3,3,176202,176934,0.399
Sko100d,4,4,176202,176928,0.415
Sko100d,5,5,176202,177702,0.434
Sko100d,6,6,176202,177780,0.455
Sko100d,7,7,176202,178766,0.476
Sko100d,8,8,176202,178552,0.489
Sko100d,9,9,176202,179634,0.513
Sko100d,-1,-1,176202,176202,0.515
Sko100d,0,0,177990,177990,0.547
Sko100d,1,1,176930,176930,0.572
Sko100d,2,2,176930,178442,0.598
Sko100d,3,3,176930,177632,0.623
Sko100d,4,4,176930,178132,0.65
Sko100d,5,5,176930,177940,0.676
Sko100d,6,6,176930,179328,0.703
Sko100d,7,7,176930,178474,0.731
Sko100d,8,8,176930,180006,0.76
Sko100d,9,9,176930,177668,0.79
Sko100d,-1,-1,176930,176930,0.794
Sko100d,0,0,177534,177534,0.842
Sko100d,1,1,177534,178386,0.866
Sko100d,2,2,176990,176990,0.889
Sko100d,3,3,176990,178864,0.908
Sko100d,4,4,176990,178012,0.927
Sko100d,5,5,176990,177400,0.948
Sko100d,6,6,176990,177992,0.966
Sko100d,7,7,176868,176868,0.98
Sko100d,8,8,176868,179556,0.994
Sko100d,9,9,176868,179312,1.012
Sko100d,-1,-1,176868,176868,1.015
Sko100d,0,0,179534,179534,1.035
Sko100d,1,1,179304,179304,1.055
Sko100d,2,2,178658,178658,1.078
Sko100d,3,3,178658,179944,1.099
Sko100d,4,4,177908,177908,1.126
Sko100d,5,5,177908,179644,1.154
Sko100d,6,6,177908,179834,1.179
Sko100d,7,7,177084,177084,1.205
Sko100d,8,8,177084,177108,1.236
Sko100d,9,9,177084,177848,1.258
Sko100d,-1,-1,177084,177084,1.26
Sko100d,0,0,177072,177072,1.276
Sko100d,1,1,175988,175988,1.289
Sko100d,2,2,175988,177454,1.301
Sko100d,3,3,175988,176428,1.314
Sko100d,4,4,175988,177742,1.327
Sko100d,5,5,175988,177240,1.342
Sko100d,6,6,175988,177884,1.356
Sko100d,7,7,175728,175728,1.371
Sko100d,8,8,175728,177868,1.387
Sko100d,9,9,175728,176690,1.401
Sko100d,-1,-1,175728,175728,1.402
Sko100d,0,0,177608,177608,1.418
Sko100d,1,1,177608,179446,1.434
Sko100d,2,2,177608,179702,1.451
Sko100d,3,3,177608,178618,1.465
Sko100d,4,4,177608,178722,1.476
Sko100d,5,5,177608,177856,1.489
Sko100d,6,6,177608,178834,1.503
Sko100d,7,7,177608,180540,1.525
Sko100d,8,8,177608,177876,1.548
Sko100d,9,9,177608,179828,1.57
Sko100d,-1,-1,177608,177608,1.571
Sko100d,0,0,178468,178468,1.585
Sko100d,1,1,178456,178456,1.613
Sko100d,2,2,178456,178874,1.639
Sko100d,3,3,176430,176430,1.671
Sko100d,4,4,176430,176632,1.701
Sko100d,5,5,176430,179328,1.738
Sko100d,6,6,176430,178816,1.764
Sko100d,7,7,176430,178688,1.785
Sko100d,8,8,176168,176168,1.815
Sko100d,9,9,176168,176650,1.83
Sko100d,-1,-1,176168,176168,1.831
Sko100d,0,0,175902,175902,1.85
Sko100d,1,1,175902,178610,1.864
Sko100d,2,2,175902,177992,1.88
Sko100d,3,3,175902,176372,1.895
Sko100d,4,4,175902,178328,1.909
Sko100d,5,5,175902,178892,1.927
Sko100d,6,6,175816,175816,1.94
Sko100d,7,7,175816,178186,1.953
Sko100d,8,8,175816,177656,1.976
Sko100d,9,9,175816,178344,1.994
Sko100d,-1,-1,175816,175816,1.996
