instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Sko64,0,0,58856,58856,0.008,42,119.75
Sko64,1,1,58856,59322,0.02,42,119.75
Sko64,2,2,58856,60454,0.031,42,119.75
Sko64,3,3,58856,59106,0.042,42,119.75
Sko64,4,4,58856,61354,0.056,42,119.75
Sko64,5,5,58856,59992,0.068,42,119.75
Sko64,6,6,58856,60232,0.08,42,119.75
Sko64,7,7,58856,59184,0.091,42,119.75
Sko64,8,8,58856,60324,0.102,42,119.75
Sko64,9,9,58856,59826,0.117,42,119.75
Sko64,9,9,58856,59826,0.118,42,119.75
Sko64,0,0,59472,59472,0.128,43,119.75
Sko64,1,1,59444,59444,0.14,43,119.75
Sko64,2,2,59444,59812,0.152,43,119.75
Sko64,3,3,59306,59306,0.165,43,119.75
Sko64,4,4,59306,59568,0.175,43,119.75
Sko64,5,5,59306,59348,0.181,43,119.75
Sko64,6,6,59306,60800,0.186,43,119.75
Sko64,7,7,58948,58948,0.197,43,119.75
Sko64,8,8,58948,59872,0.205,43,119.75
Sko64,9,9,58948,59288,0.21,43,119.75
Sko64,9,9,58948,59288,0.211,43,119.75
Sko64,0,0,60144,60144,0.216,44,119.75
Sko64,1,1,59336,59336,0.224,44,119.75
Sko64,2,2,59336,60224,0.234,44,119.75
Sko64,3,3,57766,57766,0.241,44,119.75
Sko64,4,4,57766,60168,0.246,44,119.75
Sko64,5,5,57766,60484,0.251,44,119.75
Sko64,6,6,57766,59418,0.257,44,119.75
Sko64,7,7,57766,59748,0.265,44,119.75
Sko64,8,8,57766,60548,0.275,44,119.75
Sko64,9,9,57766,60852,0.286,44,119.75
Sko64,9,9,57766,60852,0.288,44,119.75
Sko64,0,0,59412,59412,0.299,45,119.75
Sko64,1,1,59406,59406,0.309,45,119.75
Sko64,2,2,59406,60128,0.319,45,119.75
Sko64,3,3,59406,59538,0.33,45,119.75
Sko64,4,4,59212,59212,0.339,45,119.75
Sko64,5,5,59138,59138,0.344,45,119.75
Sko64,6,6,59138,59762,0.349,45,119.75
Sko64,7,7,59138,60168,0.356,45,119.75
Sko64,8,8,59138,60964,0.367,45,119.75
Sko64,9,9,59138,60512,0.38,45,119.75
Sko64,9,9,59138,60512,0.381,45,119.75
Sko64,0,0,59170,59170,0.392,46,119.75
Sko64,1,1,59170,59354,0.401,46,119.75
Sko64,2,2,59170,60898,0.412,46,119.75
Sko64,3,3,58988,58988,0.423,46,119.75
Sko64,4,4,58988,59584,0.435,46,119.75
Sko64,5,5,58988,61284,0.444,46,119.75
Sko64,6,6,58988,59822,0.452,46,119.75
Sko64,7,7,58988,59568,0.458,46,119.75
Sko64,8,8,58988,60632,0.464,46,119.75
Sko64,9,9,58988,59566,0.469,46,119.75
Sko64,9,9,58988,59566,0.47,46,119.75
Sko64,0,0,58632,58632,0.479,47,119.75
Sko64,1,1,58632,59810,0.492,47,119.75
Sko64,2,2,58632,59778,0.501,47,119.75
Sko64,3,3,58632,59872,0.514,47,119.75
Sko64,4,4,58632,60156,0.526,47,119.75
Sko64,5,5,58510,58510,0.535,47,119.75
Sko64,6,6,58510,60752,0.548,47,119.75
Sko64,7,7,58510,61734,0.56,47,119.75
Sko64,8,8,58510,60664,0.573,47,119.75
Sko64,9,9,58510,59096,0.584,47,119.75
Sko64,9,9,58510,59096,0.587,47,119.75
Sko64,0,0,58306,58306,0.606,48,119.75
Sko64,1,1,58306,60292,0.621,48,119.75
Sko64,2,2,58306,59852,0.638,48,119.75
Sko64,3,3,58306,59406,0.651,48,119.75
Sko64,4,4,58306,59684,0.66,48,119.75
Sko64,5,5,58306,59882,0.666,48,119.75
Sko64,6,6,58306,60314,0.672,48,119.75
Sko64,7,7,58306,60152,0.68,48,119.75
Sko64,8,8,58306,60202,0.692,48,119.75
Sko64,9,9,58306,60086,0.704,48,119.75
Sko64,9,9,58306,60086,0.706,48,119.75
Sko64,0,0,60860,60860,0.718,49,119.75
Sko64,1,1,59452,59452,0.73,49,119.75
Sko64,2,2,59232,59232,0.741,49,119.75
Sko64,3,3,58702,58702,0.752,49,119.75
Sko64,4,4,58702,61562,0.768,49,119.75
Sko64,5,5,58702,59092,0.782,49,119.75
Sko64,6,6,58702,60244,0.795,49,119.75
Sko64,7,7,58702,60070,0.808,49,119.75
Sko64,8,8,58702,59296,0.824,49,119.75
Sko64,9,9,58702,60442,0.838,49,119.75
Sko64,9,9,58702,60442,0.84,49,119.75
Sko64,0,0,60792,60792,0.853,50,119.75
Sko64,1,1,58824,58824,0.868,50,119.75
Sko64,2,2,58824,59284,0.882,50,119.75
Sko64,3,3,58824,59960,0.896,50,119.75
Sko64,4,4,58824,59900,0.911,50,119.75
Sko64,5,5,58824,60416,0.924,50,119.75
Sko64,6,6,58824,59664,0.941,50,119.75
Sko64,7,7,58824,60080,0.958,50,119.75
Sko64,8,8,58824,59630,0.968,50,119.75
Sko64,9,9,58824,59110,0.98,50,119.75
Sko64,9,9,58824,59110,0.981,50,119.75
Sko64,0,0,60480,60480,0.991,51,119.75
Sko64,1,1,59364,59364,0.996,51,119.75
Sko64,2,2,59364,60088,1.0,51,119.75
Sko64,3,3,59364,60454,1.009,51,119.75
Sko64,4,4,59364,59820,1.062,51,119.75
Sko64,5,5,59364,60796,1.085,51,119.75
Sko64,6,6,59364,60408,1.094,51,119.75
Sko64,7,7,58936,58936,1.111,51,119.75
Sko64,8,8,58936,59088,1.118,51,119.75
Sko64,9,9,58936,60376,1.125,51,119.75
Sko64,9,9,58936,60376,1.126,51,119.75
