instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Ste36a,0,0,27208,27208,0.003
Ste36a,1,1,23428,23428,0.007
Ste36a,2,2,23428,26200,0.01
Ste36a,3,3,22854,22854,0.012
Ste36a,4,4,22854,23288,0.013
Ste36a,5,5,22854,26360,0.015
Ste36a,6,6,21010,21010,0.017
Ste36a,7,7,21010,24352,0.02
Ste36a,8,8,21010,21334,0.023
Ste36a,9,9,21010,21668,0.025
Ste36a,-1,-1,21010,21010,0.026
Ste36a,0,0,23036,23036,0.028
Ste36a,1,1,23036,28970,0.03
Ste36a,2,2,23036,25966,0.031
Ste36a,3,3,23036,23830,0.033
Ste36a,4,4,20714,20714,0.036
Ste36a,5,5,20714,24556,0.038
Ste36a,6,6,20714,26796,0.04
Ste36a,7,7,20714,22788,0.042
Ste36a,8,8,20714,26162,0.044
Ste36a,9,9,20714,21832,0.046
Ste36a,-1,-1,20714,20714,0.046
Ste36a,0,0,23858,23858,0.048
Ste36a,1,1,22264,22264,0.05
Ste36a,2,2,22264,26584,0.053
Ste36a,3,3,22264,24302,0.056
Ste36a,4,4,21518,21518,0.058
Ste36a,5,5,21518,24430,0.06
Ste36a,6,6,21518,24498,0.063
Ste36a,7,7,21518,23126,0.065
Ste36a,8,8,21518,22192,0.068
Ste36a,9,9,20802,20802,0.072
Ste36a,-1,-1,20802,20802,0.073
Ste36a,0,0,25848,25848,0.076
Ste36a,1,1,23798,23798,0.079
Ste36a,2,2,23798,23816,0.081
Ste36a,3,3,23550,23550,0.085
Ste36a,4,4,22794,22794,0.087
Ste36a,5,5,22794,23776,0.09
Ste36a,6,6,22794,26250,0.093
Ste36a,7,7,22794,23958,0.095
Ste36a,8,8,22794,23242,0.096
Ste36a,9,9,22794,24076,0.098
Ste36a,-1,-1,22794,22794,0.099
Ste36a,0,0,21812,21812,0.102
Ste36a,1,1,21812,25362,0.106
Ste36a,2,2,21812,24074,0.108
Ste36a,3,3,20378,20378,0.11
Ste36a,4,4,20378,21664,0.113
Ste36a,5,5,20378,23356,0.116
Ste36a,6,6,20378,22012,0.118
Ste36a,7,7,20378,24440,0.122
Ste36a,8,8,20378,24898,0.125
Ste36a,9,9,20378,25208,0.127
Ste36a,-1,-1,20378,20378,0.128
Ste36a,0,0,24344,24344,0.131
Ste36a,1,1,23984,23984,0.135
Ste36a,2,2,20230,20230,0.139
Ste36a,3,3,20230,22966,0.141
Ste36a,4,4,20230,20964,0.144
Ste36a,5,5,20230,21934,0.146
Ste36a,6,6,20230,24942,0.149
Ste36a,7,7,20230,20664,0.151
Ste36a,8,8,20230,21366,0.155
Ste36a,9,9,20230,23018,0.157
Ste36a,-1,-1,20230,20230,0.158
Ste36a,0,0,22656,22656,0.162
Ste36a,1,1,21946,21946,0.165
Ste36a,2,2,20760,20760,0.168
Ste36a,3,3,20760,21942,0.172
Ste36a,4,4,20760,22750,0.175
Ste36a,5,5,20760,23928,0.18
Ste36a,6,6,20760,24848,0.184
Ste36a,7,7,20760,20782,0.189
Ste36a,8,8,20760,21150,0.193
Ste36a,9,9,20760,25396,0.197
Ste36a,-1,-1,20760,20760,0.199
Ste36a,0,0,24440,24440,0.205
Ste36a,1,1,22134,22134,0.209
Ste36a,2,2,22134,25326,0.213
Ste36a,3,3,22104,22104,0.217
Ste36a,4,4,22104,24290,0.221
Ste36a,5,5,22104,24038,0.225
Ste36a,6,6,21494,21494,0.228
Ste36a,7,7,21494,28028,0.231
Ste36a,8,8,21494,23924,0.233
Ste36a,9,9,21494,22800,0.237
Ste36a,-1,-1,21494,21494,0.238
Ste36a,0,0,24272,24272,0.242
Ste36a,1,1,24272,25632,0.245
Ste36a,2,2,24272,24782,0.251
Ste36a,3,3,24272,24680,0.256
Ste36a,4,4,21030,21030,0.259
Ste36a,5,5,21030,23002,0.262
Ste36a,6,6,21030,22020,0.265
Ste36a,7,7,21030,25536,0.268
Ste36a,8,8,21030,22928,0.272
Ste36a,9,9,21030,23634,0.274
Ste36a,-1,-1,21030,21030,0.274
Ste36a,0,0,22648,22648,0.277
Ste36a,1,1,22648,23016,0.28
Ste36a,2,2,21090,21090,0.282
Ste36a,3,3,21090,25062,0.286
Ste36a,4,4,21090,23406,0.292
Ste36a,5,5,21090,24190,0.296
Ste36a,6,6,21090,22068,0.299
Ste36a,7,7,21090,25118,0.302
Ste36a,8,8,21090,24252,0.305
Ste36a,9,9,21090,22188,0.306
Ste36a,-1,-1,21090,21090,0.307
