instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Tai100a,0,0,24163244,24163244,0.012,42
Tai100a,1,1,24163244,24198784,0.032,42
Tai100a,2,2,24092328,24092328,0.043,42
Tai100a,3,3,24088324,24088324,0.059,42
Tai100a,4,4,24088324,24292352,0.081,42
Tai100a,5,5,24088324,24132764,0.099,42
Tai100a,6,6,23945672,23945672,0.12,42
Tai100a,7,7,23945672,24243498,0.145,42
Tai100a,8,8,23945672,23968488,0.175,42
Tai100a,9,9,23945672,24200872,0.203,42
Tai100a,-1,-1,23945672,23945672,0.205,42
Tai100a,0,0,24051484,24051484,0.229,43
Tai100a,1,1,24051484,24268038,0.254,43
Tai100a,2,2,24035614,24035614,0.277,43
Tai100a,3,3,24035614,24058664,0.305,43
Tai100a,4,4,24035614,24142158,0.328,43
Tai100a,5,5,24035614,24147770,0.351,43
Tai100a,6,6,24035614,24232084,0.375,43
Tai100a,7,7,24035614,24106124,0.401,43
Tai100a,8,8,23968038,23968038,0.428,43
Tai100a,9,9,23968038,24177758,0.463,43
Tai100a,-1,-1,23968038,23968038,0.466,43
Tai100a,0,0,24042442,24042442,0.494,44
Tai100a,1,1,24042442,24203282,0.521,44
Tai100a,2,2,24042442,24100398,0.547,44
Tai100a,3,3,24042442,24248692,0.573,44
Tai100a,4,4,23912796,23912796,0.6,44
Tai100a,5,5,23912796,24264118,0.61,44
Tai100a,6,6,23912796,24111500,0.62,44
Tai100a,7,7,23912796,24126846,0.631,44
Tai100a,8,8,23912796,24087562,0.641,44
Tai100a,9,9,23912796,24238268,0.651,44
Tai100a,-1,-1,23912796,23912796,0.652,44
Tai100a,0,0,24312626,24312626,0.663,45
Tai100a,1,1,24052746,24052746,0.677,45
Tai100a,2,2,24052746,24225416,0.689,45
Tai100a,3,3,24052746,24254936,0.699,45
Tai100a,4,4,24052746,24225062,0.716,45
Tai100a,5,5,24052746,24118230,0.735,45
Tai100a,6,6,24052746,24234910,0.748,45
Tai100a,7,7,23959862,23959862,0.767,45
Tai100a,8,8,23959862,23998756,0.785,45
Tai100a,9,9,23959862,24242870,0.81,45
Tai100a,-1,-1,23959862,23959862,0.812,45
Tai100a,0,0,24096180,24096180,0.836,46
Tai100a,1,1,24064736,24064736,0.855,46
Tai100a,2,2,24052334,24052334,0.878,46
Tai100a,3,3,24011942,24011942,0.901,46
Tai100a,4,4,24011942,24023536,0.928,46
Tai100a,5,5,24011942,24140822,0.953,46
Tai100a,6,6,24011942,24051114,0.968,46
Tai100a,7,7,24011942,24121232,0.98,46
Tai100a,8,8,24011942,24135268,0.992,46
Tai100a,9,9,24011942,24135602,1.003,46
Tai100a,-1,-1,24011942,24011942,1.004,46
Tai100a,0,0,24029240,24029240,1.015,47
Tai100a,1,1,24029240,24331346,1.026,47
Tai100a,2,2,24029240,24128018,1.04,47
Tai100a,3,3,23998222,23998222,1.054,47
Tai100a,4,4,23998222,24101972,1.068,47
Tai100a,5,5,23998222,24278360,1.08,47
Tai100a,6,6,23998222,24019642,1.091,47
Tai100a,7,7,23998222,24097656,1.104,47
Tai100a,8,8,23998222,24137802,1.117,47
Tai100a,9,9,23998222,24189604,1.138,47
Tai100a,-1,-1,23998222,23998222,1.14,47
Tai100a,0,0,24235828,24235828,1.165,48
Tai100a,1,1,24044864,24044864,1.182,48
Tai100a,2,2,23999114,23999114,1.201,48
Tai100a,3,3,23999114,24263632,1.222,48
Tai100a,4,4,23964654,23964654,1.245,48
Tai100a,5,5,23964654,24165338,1.271,48
Tai100a,6,6,23964654,24290706,1.294,48
Tai100a,7,7,23964654,24122896,1.318,48
Tai100a,8,8,23964654,24163560,1.341,48
Tai100a,9,9,23964654,24285564,1.365,48
Tai100a,-1,-1,23964654,23964654,1.368,48
Tai100a,0,0,24141344,24141344,1.395,49
Tai100a,1,1,24141344,24226128,1.422,49
Tai100a,2,2,24141344,24173586,1.444,49
Tai100a,3,3,23924524,23924524,1.469,49
Tai100a,4,4,23924524,23975748,1.497,49
Tai100a,5,5,23924524,24085326,1.522,49
Tai100a,6,6,23924524,24189714,1.547,49
Tai100a,7,7,23924524,24005360,1.572,49
Tai100a,8,8,23924524,24200376,1.599,49
Tai100a,9,9,23924524,24122372,1.628,49
Tai100a,-1,-1,23924524,23924524,1.631,49
Tai100a,0,0,24158058,24158058,1.656,50
Tai100a,1,1,23942560,23942560,1.682,50
Tai100a,2,2,23942560,24126318,1.707,50
Tai100a,3,3,23942560,24083798,1.733,50
Tai100a,4,4,23942560,24104132,1.759,50
Tai100a,5,5,23942560,24197452,1.786,50
Tai100a,6,6,23942560,23978712,1.808,50
Tai100a,7,7,23942560,24044798,1.832,50
Tai100a,8,8,23906670,23906670,1.856,50
Tai100a,9,9,23906670,24208300,1.883,50
Tai100a,-1,-1,23906670,23906670,1.885,50
Tai100a,0,0,24110588,24110588,1.908,51
Tai100a,1,1,24110588,24128152,1.921,51
Tai100a,2,2,24110588,24168104,1.931,51
Tai100a,3,3,24069462,24069462,1.941,51
Tai100a,4,4,24069462,24176108,1.952,51
Tai100a,5,5,24069462,24126680,1.964,51
Tai100a,6,6,24069462,24137176,1.975,51
Tai100a,7,7,24045968,24045968,1.995,51
Tai100a,8,8,24045968,24106704,2.011,51
Tai100a,9,9,23990386,23990386,2.024,51
Tai100a,-1,-1,23990386,23990386,2.025,51
