instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Tai150b,0,0,652677761,652677761,0.024
Tai150b,1,1,652677761,654237037,0.053
Tai150b,2,2,652677761,657234102,0.078
Tai150b,3,3,650120594,650120594,0.11
Tai150b,4,4,650120594,655649999,0.135
Tai150b,5,5,645169045,645169045,0.172
Tai150b,6,6,645169045,652999118,0.195
Tai150b,7,7,645169045,654745503,0.222
Tai150b,8,8,645169045,645386004,0.249
Tai150b,9,9,645169045,647571731,0.281
Tai150b,-1,-1,645169045,645169045,0.283
Tai150b,0,0,656776525,656776525,0.315
Tai150b,1,1,656776525,658585799,0.344
Tai150b,2,2,656730281,656730281,0.372
Tai150b,3,3,640318140,640318140,0.395
Tai150b,4,4,640318140,663743602,0.417
Tai150b,5,5,640318140,652687237,0.447
Tai150b,6,6,640318140,655686196,0.471
Tai150b,7,7,640318140,653257158,0.502
Tai150b,8,8,640318140,645590275,0.526
Tai150b,9,9,640318140,666591008,0.556
Tai150b,-1,-1,640318140,640318140,0.559
Tai150b,0,0,666382072,666382072,0.586
Tai150b,1,1,649626915,649626915,0.614
Tai150b,2,2,649626915,650150364,0.647
Tai150b,3,3,649626915,672578539,0.67
Tai150b,4,4,649626915,665411075,0.694
Tai150b,5,5,649626915,668974183,0.722
Tai150b,6,6,649626915,653358311,0.758
Tai150b,7,7,649626915,653146545,0.79
Tai150b,8,8,649626915,655926746,0.819
Tai150b,9,9,649626915,658299164,0.847
Tai150b,-1,-1,649626915,649626915,0.849
Tai150b,0,0,657564558,657564558,0.884
Tai150b,1,1,654233420,654233420,0.918
Tai150b,2,2,654233420,654887117,0.963
Tai150b,3,3,651676412,651676412,1.007
Tai150b,4,4,644939005,644939005,1.057
Tai150b,5,5,641034720,641034720,1.113
Tai150b,6,6,641034720,659042279,1.152
Tai150b,7,7,641034720,652280103,1.188
Tai150b,8,8,641034720,669832021,1.228
Tai150b,9,9,641034720,651662709,1.267
Tai150b,-1,-1,641034720,641034720,1.269
Tai150b,0,0,650676180,650676180,1.32
Tai150b,1,1,650676180,658950101,1.361
Tai150b,2,2,650676180,651341394,1.402
Tai150b,3,3,639065191,639065191,1.455
Tai150b,4,4,639065191,652860649,1.483
Tai150b,5,5,639065191,657649249,1.517
Tai150b,6,6,639065191,653891080,1.549
Tai150b,7,7,639065191,659923489,1.585
Tai150b,8,8,639065191,663419030,1.614
Tai150b,9,9,639065191,660874271,1.643
Tai150b,-1,-1,639065191,639065191,1.645
Tai150b,0,0,672213904,672213904,1.69
Tai150b,1,1,657723249,657723249,1.743
Tai150b,2,2,650253181,650253181,1.789
Tai150b,3,3,633705362,633705362,1.843
Tai150b,4,4,633705362,640729953,1.879
Tai150b,5,5,633705362,647445740,1.913
Tai150b,6,6,633705362,650021670,1.949
Tai150b,7,7,633705362,643458906,1.983
Tai150b,8,8,633705362,663551254,2.009
Tai150b,9,9,633705362,656980135,2.046
Tai150b,-1,-1,633705362,633705362,2.048
Tai150b,0,0,659157150,659157150,2.083
Tai150b,1,1,652739900,652739900,2.115
Tai150b,2,2,652739900,653888304,2.146
Tai150b,3,3,643186166,643186166,2.192
Tai150b,4,4,643186166,653790621,2.233
Tai150b,5,5,643186166,656994857,2.279
Tai150b,6,6,640153369,640153369,2.322
Tai150b,7,7,640153369,650222404,2.362
Tai150b,8,8,640153369,654643128,2.39
Tai150b,9,9,640153369,654194541,2.443
Tai150b,-1,-1,640153369,640153369,2.445
Tai150b,0,0,648563701,648563701,2.477
Tai150b,1,1,646995268,646995268,2.511
Tai150b,2,2,646995268,648423801,2.548
Tai150b,3,3,646995268,655484354,2.575
Tai150b,4,4,646995268,650218108,2.603
Tai150b,5,5,646995268,654274899,2.633
Tai150b,6,6,646995268,652510109,2.681
Tai150b,7,7,646995268,653234552,2.717
Tai150b,8,8,646995268,660799592,2.741
Tai150b,9,9,646995268,660107278,2.764
Tai150b,-1,-1,646995268,646995268,2.765
Tai150b,0,0,645554864,645554864,2.788
Tai150b,1,1,645554864,668939410,2.813
Tai150b,2,2,645554864,657605590,2.84
Tai150b,3,3,645554864,654878990,2.865
Tai150b,4,4,645554864,653262880,2.888
Tai150b,5,5,645554864,654558851,2.911
Tai150b,6,6,643812354,643812354,2.933
Tai150b,7,7,643812354,649246410,2.956
Tai150b,8,8,643812354,671335158,3.008
Tai150b,9,9,643812354,654247711,3.068
Tai150b,-1,-1,643812354,643812354,3.07
Tai150b,0,0,652951128,652951128,3.096
Tai150b,1,1,652951128,663253759,3.143
Tai150b,2,2,651359328,651359328,3.168
Tai150b,3,3,651359328,654307953,3.196
Tai150b,4,4,651359328,652649433,3.217
Tai150b,5,5,651359328,658549957,3.242
Tai150b,6,6,651318488,651318488,3.281
Tai150b,7,7,651318488,665529381,3.313
Tai150b,8,8,648809199,648809199,3.341
Tai150b,9,9,648809199,652804896,3.368
Tai150b,-1,-1,648809199,648809199,3.37
