instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Tai30b,0,0,1344177441,1344177441,0.002,42
Tai30b,1,1,1344177441,1436625052,0.004,42
Tai30b,2,2,1300127495,1300127495,0.005,42
Tai30b,3,3,1202133696,1202133696,0.007,42
Tai30b,4,4,1202133696,1252360599,0.009,42
Tai30b,5,5,1202133696,1374193962,0.012,42
Tai30b,6,6,1202133696,1416062202,0.014,42
Tai30b,7,7,1202133696,1425638285,0.016,42
Tai30b,8,8,1202133696,1411061402,0.018,42
Tai30b,9,9,1202133696,1404220525,0.019,42
Tai30b,-1,-1,1202133696,1202133696,0.02,42
Tai30b,0,0,1225852711,1225852711,0.021,43
Tai30b,1,1,1225852711,1342168090,0.023,43
Tai30b,2,2,1225852711,1662204471,0.025,43
Tai30b,3,3,1225852711,1406653226,0.027,43
Tai30b,4,4,1225852711,1305579615,0.03,43
Tai30b,5,5,1225852711,1260200718,0.031,43
Tai30b,6,6,1225852711,1294331665,0.033,43
Tai30b,7,7,1225852711,1431756601,0.035,43
Tai30b,8,8,1225852711,1333144853,0.036,43
Tai30b,9,9,1225852711,1354559831,0.038,43
Tai30b,-1,-1,1225852711,1225852711,0.038,43
Tai30b,0,0,1207414793,1207414793,0.04,44
Tai30b,1,1,1207414793,1569719861,0.043,44
Tai30b,2,2,1207414793,1391629547,0.047,44
Tai30b,3,3,1207414793,1306505667,0.049,44
Tai30b,4,4,1207414793,1298311604,0.052,44
Tai30b,5,5,1207414793,1378648231,0.055,44
Tai30b,6,6,1207414793,1365901196,0.057,44
Tai30b,7,7,1207414793,1384996126,0.06,44
Tai30b,8,8,1207414793,1585464106,0.063,44
Tai30b,9,9,1207414793,1382033071,0.065,44
Tai30b,-1,-1,1207414793,1207414793,0.066,44
Tai30b,0,0,1353362924,1353362924,0.068,45
Tai30b,1,1,1353362924,1498296926,0.069,45
Tai30b,2,2,1283434559,1283434559,0.071,45
Tai30b,3,3,1283434559,1313874101,0.072,45
Tai30b,4,4,1283434559,1400716431,0.075,45
Tai30b,5,5,1283434559,1498440437,0.077,45
Tai30b,6,6,1283434559,1519696487,0.08,45
Tai30b,7,7,1283434559,1389736644,0.081,45
Tai30b,8,8,1283434559,1384747912,0.083,45
Tai30b,9,9,1261843194,1261843194,0.085,45
Tai30b,-1,-1,1261843194,1261843194,0.085,45
Tai30b,0,0,1512078705,1512078705,0.087,46
Tai30b,1,1,1309614619,1309614619,0.089,46
Tai30b,2,2,1309614619,1359806237,0.091,46
Tai30b,3,3,1201167593,1201167593,0.093,46
Tai30b,4,4,1201167593,1348779011,0.096,46
Tai30b,5,5,1201167593,1369124343,0.097,46
Tai30b,6,6,1201167593,1428627488,0.099,46
Tai30b,7,7,1201167593,1491004027,0.101,46
Tai30b,8,8,1201167593,1255918801,0.103,46
Tai30b,9,9,1201167593,1340351467,0.104,46
Tai30b,-1,-1,1201167593,1201167593,0.105,46
Tai30b,0,0,1210528380,1210528380,0.107,47
Tai30b,1,1,1210528380,1245953171,0.109,47
Tai30b,2,2,1210528380,1377279995,0.112,47
Tai30b,3,3,1210528380,1448446878,0.114,47
Tai30b,4,4,1210528380,1535305321,0.116,47
Tai30b,5,5,1177734979,1177734979,0.119,47
Tai30b,6,6,1166813271,1166813271,0.121,47
Tai30b,7,7,1166813271,1416801770,0.123,47
Tai30b,8,8,1166813271,1315462619,0.126,47
Tai30b,9,9,1166813271,1297633774,0.129,47
Tai30b,-1,-1,1166813271,1166813271,0.13,47
Tai30b,0,0,1395958483,1395958483,0.131,48
Tai30b,1,1,1395958483,1410438563,0.133,48
Tai30b,2,2,1384882389,1384882389,0.135,48
Tai30b,3,3,1384882389,1574513758,0.138,48
Tai30b,4,4,1110078950,1110078950,0.14,48
Tai30b,5,5,1110078950,1295440558,0.143,48
Tai30b,6,6,1104601797,1104601797,0.145,48
Tai30b,7,7,1104601797,1415847785,0.148,48
Tai30b,8,8,1104601797,1447910854,0.15,48
Tai30b,9,9,1104601797,1453734349,0.152,48
Tai30b,-1,-1,1104601797,1104601797,0.152,48
Tai30b,0,0,1243248826,1243248826,0.155,49
Tai30b,1,1,1243248826,1346480953,0.157,49
Tai30b,2,2,1243248826,1328344388,0.159,49
Tai30b,3,3,1243248826,1415812325,0.163,49
Tai30b,4,4,1243248826,1497797846,0.165,49
Tai30b,5,5,1085024129,1085024129,0.167,49
Tai30b,6,6,1085024129,1444545598,0.17,49
Tai30b,7,7,1085024129,1197391308,0.172,49
Tai30b,8,8,1085024129,1356482102,0.175,49
Tai30b,9,9,1085024129,1363388769,0.177,49
Tai30b,-1,-1,1085024129,1085024129,0.177,49
Tai30b,0,0,1339821302,1339821302,0.179,50
Tai30b,1,1,1339821302,1365929137,0.18,50
Tai30b,2,2,1339821302,1455198627,0.182,50
Tai30b,3,3,1303167793,1303167793,0.184,50
Tai30b,4,4,1303167793,1316523799,0.186,50
Tai30b,5,5,1303167793,1418443232,0.188,50
Tai30b,6,6,1278514622,1278514622,0.189,50
Tai30b,7,7,1149321536,1149321536,0.191,50
Tai30b,8,8,1149321536,1415975486,0.192,50
Tai30b,9,9,1149321536,1273938849,0.194,50
Tai30b,-1,-1,1149321536,1149321536,0.195,50
Tai30b,0,0,1181056194,1181056194,0.197,51
Tai30b,1,1,1181056194,1427565311,0.199,51
Tai30b,2,2,1181056194,1387362164,0.201,51
Tai30b,3,3,1181056194,1529536399,0.203,51
Tai30b,4,4,1181056194,1364635053,0.205,51
Tai30b,5,5,1181056194,1239183396,0.206,51
Tai30b,6,6,1181056194,1227874382,0.207,51
Tai30b,7,7,1181056194,1335715780,0.209,51
Tai30b,8,8,1181056194,1230296770,0.212,51
Tai30b,9,9,1181056194,1328486570,0.214,51
Tai30b,-1,-1,1181056194,1181056194,0.214,51
