instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Tai35a,0,0,2930188,2930188,0.002
Tai35a,1,1,2930188,2978688,0.005
Tai35a,2,2,2930188,2950200,0.007
Tai35a,3,3,2930188,2975824,0.012
Tai35a,4,4,2924510,2924510,0.015
Tai35a,5,5,2915182,2915182,0.017
Tai35a,6,6,2910256,2910256,0.019
Tai35a,7,7,2910256,2986340,0.021
Tai35a,8,8,2910256,2980660,0.023
Tai35a,9,9,2867874,2867874,0.025
Tai35a,-1,-1,2867874,2867874,0.026
Tai35a,0,0,3005078,3005078,0.03
Tai35a,1,1,2959554,2959554,0.035
Tai35a,2,2,2959554,2965910,0.038
Tai35a,3,3,2912376,2912376,0.041
Tai35a,4,4,2912376,3037510,0.043
Tai35a,5,5,2912376,2967040,0.045
Tai35a,6,6,2912376,2942210,0.048
Tai35a,7,7,2912376,2966170,0.052
Tai35a,8,8,2912376,2931298,0.055
Tai35a,9,9,2912376,2914264,0.058
Tai35a,-1,-1,2912376,2912376,0.059
Tai35a,0,0,2906372,2906372,0.061
Tai35a,1,1,2906372,2947686,0.064
Tai35a,2,2,2906372,2994122,0.067
Tai35a,3,3,2869926,2869926,0.069
Tai35a,4,4,2869926,2959658,0.071
Tai35a,5,5,2869926,2987284,0.073
Tai35a,6,6,2869926,2906248,0.076
Tai35a,7,7,2869926,2933904,0.077
Tai35a,8,8,2869926,2993566,0.081
Tai35a,9,9,2869926,2940026,0.084
Tai35a,-1,-1,2869926,2869926,0.084
Tai35a,0,0,2936844,2936844,0.087
Tai35a,1,1,2936844,2944646,0.09
Tai35a,2,2,2910204,2910204,0.092
Tai35a,3,3,2910204,2922036,0.094
Tai35a,4,4,2910204,3020362,0.098
Tai35a,5,5,2910204,2914512,0.1
Tai35a,6,6,2910204,2945558,0.102
Tai35a,7,7,2910204,2974062,0.105
Tai35a,8,8,2903278,2903278,0.107
Tai35a,9,9,2903278,2946316,0.11
Tai35a,-1,-1,2903278,2903278,0.11
Tai35a,0,0,2960854,2960854,0.113
Tai35a,1,1,2960854,2973642,0.116
Tai35a,2,2,2960854,2981064,0.12
Tai35a,3,3,2915490,2915490,0.123
Tai35a,4,4,2904146,2904146,0.126
Tai35a,5,5,2880604,2880604,0.129
Tai35a,6,6,2880604,2965452,0.133
Tai35a,7,7,2880604,2914004,0.136
Tai35a,8,8,2880604,2943018,0.139
Tai35a,9,9,2830768,2830768,0.143
Tai35a,-1,-1,2830768,2830768,0.144
Tai35a,0,0,2991986,2991986,0.147
Tai35a,1,1,2901834,2901834,0.151
Tai35a,2,2,2901834,2990270,0.153
Tai35a,3,3,2901834,2957032,0.156
Tai35a,4,4,2901834,2986462,0.158
Tai35a,5,5,2901834,2981218,0.161
Tai35a,6,6,2901834,2986900,0.164
Tai35a,7,7,2901834,2933998,0.167
Tai35a,8,8,2883490,2883490,0.171
Tai35a,9,9,2883490,2950464,0.174
Tai35a,-1,-1,2883490,2883490,0.174
Tai35a,0,0,2865570,2865570,0.177
Tai35a,1,1,2865570,2957632,0.18
Tai35a,2,2,2865570,2969116,0.184
Tai35a,3,3,2865570,2883426,0.187
Tai35a,4,4,2865570,2867868,0.19
Tai35a,5,5,2865570,2932240,0.193
Tai35a,6,6,2865570,2880452,0.196
Tai35a,7,7,2865570,2957258,0.201
Tai35a,8,8,2865570,2983926,0.206
Tai35a,9,9,2865570,2920056,0.209
Tai35a,-1,-1,2865570,2865570,0.21
Tai35a,0,0,2902924,2902924,0.214
Tai35a,1,1,2902924,2924916,0.218
Tai35a,2,2,2902924,2934350,0.223
Tai35a,3,3,2902924,2965928,0.226
Tai35a,4,4,2902924,3007894,0.229
Tai35a,5,5,2902924,2969526,0.233
Tai35a,6,6,2899394,2899394,0.236
Tai35a,7,7,2899394,2943578,0.239
Tai35a,8,8,2899394,2913118,0.242
Tai35a,9,9,2899394,2957112,0.246
Tai35a,-1,-1,2899394,2899394,0.247
Tai35a,0,0,2863950,2863950,0.251
Tai35a,1,1,2863950,2989484,0.254
Tai35a,2,2,2863950,2972202,0.256
Tai35a,3,3,2863950,2901026,0.257
Tai35a,4,4,2863950,2915024,0.26
Tai35a,5,5,2863950,2913796,0.264
Tai35a,6,6,2863950,2918628,0.268
Tai35a,7,7,2863950,2917376,0.272
Tai35a,8,8,2863950,2942042,0.274
Tai35a,9,9,2863950,2958932,0.277
Tai35a,-1,-1,2863950,2863950,0.278
Tai35a,0,0,2955300,2955300,0.281
Tai35a,1,1,2889526,2889526,0.284
Tai35a,2,2,2889526,2993066,0.286
Tai35a,3,3,2889526,2956200,0.288
Tai35a,4,4,2889526,2909210,0.29
Tai35a,5,5,2889526,2973186,0.292
Tai35a,6,6,2889526,2936414,0.294
Tai35a,7,7,2889526,2936816,0.297
Tai35a,8,8,2889526,2950362,0.299
Tai35a,9,9,2889526,2960272,0.301
Tai35a,-1,-1,2889526,2889526,0.302
