instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Tai35b,0,0,556331794,556331794,0.004,42,119.75
Tai35b,1,1,510126176,510126176,0.01,42,119.75
Tai35b,2,2,510126176,601100040,0.013,42,119.75
Tai35b,3,3,510126176,539384244,0.017,42,119.75
Tai35b,4,4,510126176,597844944,0.021,42,119.75
Tai35b,5,5,510126176,522295594,0.025,42,119.75
Tai35b,6,6,510126176,540217467,0.028,42,119.75
Tai35b,7,7,492376417,492376417,0.032,42,119.75
Tai35b,8,8,492376417,534223409,0.036,42,119.75
Tai35b,9,9,461983372,461983372,0.039,42,119.75
Tai35b,9,9,461983372,461983372,0.041,42,119.75
Tai35b,0,0,490412618,490412618,0.046,43,119.75
Tai35b,1,1,468338458,468338458,0.051,43,119.75
Tai35b,2,2,468338458,576591893,0.056,43,119.75
Tai35b,3,3,468338458,498253982,0.06,43,119.75
Tai35b,4,4,468338458,508597911,0.065,43,119.75
Tai35b,5,5,468338458,527084893,0.069,43,119.75
Tai35b,6,6,468338458,537352159,0.073,43,119.75
Tai35b,7,7,468338458,547894510,0.077,43,119.75
Tai35b,8,8,468338458,488333934,0.079,43,119.75
Tai35b,9,9,468338458,542928237,0.082,43,119.75
Tai35b,9,9,468338458,542928237,0.083,43,119.75
Tai35b,0,0,517356755,517356755,0.085,44,119.75
Tai35b,1,1,517356755,521939498,0.088,44,119.75
Tai35b,2,2,517356755,519425422,0.09,44,119.75
Tai35b,3,3,517356755,550839705,0.094,44,119.75
Tai35b,4,4,517356755,524694123,0.096,44,119.75
Tai35b,5,5,517356755,531568173,0.098,44,119.75
Tai35b,6,6,517356755,599668314,0.101,44,119.75
Tai35b,7,7,517356755,578810028,0.104,44,119.75
Tai35b,8,8,517356755,549291953,0.106,44,119.75
Tai35b,9,9,517356755,563744065,0.109,44,119.75
Tai35b,9,9,517356755,563744065,0.11,44,119.75
Tai35b,0,0,503700848,503700848,0.112,45,119.75
Tai35b,1,1,494558437,494558437,0.115,45,119.75
Tai35b,2,2,460153253,460153253,0.118,45,119.75
Tai35b,3,3,460153253,560603439,0.121,45,119.75
Tai35b,4,4,460153253,487079005,0.123,45,119.75
Tai35b,5,5,460153253,506773244,0.128,45,119.75
Tai35b,6,6,460153253,462749569,0.131,45,119.75
Tai35b,7,7,460153253,476465056,0.134,45,119.75
Tai35b,8,8,460153253,561251685,0.137,45,119.75
Tai35b,9,9,460153253,586168321,0.14,45,119.75
Tai35b,9,9,460153253,586168321,0.141,45,119.75
Tai35b,0,0,553124225,553124225,0.144,46,119.75
Tai35b,1,1,501517793,501517793,0.146,46,119.75
Tai35b,2,2,501517793,513501522,0.148,46,119.75
Tai35b,3,3,462544138,462544138,0.151,46,119.75
Tai35b,4,4,462544138,502259957,0.154,46,119.75
Tai35b,5,5,462544138,513387602,0.155,46,119.75
Tai35b,6,6,462544138,519222945,0.158,46,119.75
