instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Tai50a,0,0,5833150,5833150,0.011,42,119.75
Tai50a,1,1,5833150,5839258,0.023,42,119.75
Tai50a,2,2,5833150,5965966,0.035,42,119.75
Tai50a,3,3,5833150,5914242,0.043,42,119.75
Tai50a,4,4,5833150,5857036,0.054,42,119.75
Tai50a,5,5,5833150,5932564,0.061,42,119.75
Tai50a,6,6,5833150,5870042,0.07,42,119.75
Tai50a,7,7,5833150,5937520,0.078,42,119.75
Tai50a,8,8,5833150,5902850,0.086,42,119.75
Tai50a,9,9,5833150,5939966,0.094,42,119.75
Tai50a,9,9,5833150,5939966,0.096,42,119.75
Tai50a,0,0,6017676,6017676,0.105,43,119.75
Tai50a,1,1,5921266,5921266,0.114,43,119.75
Tai50a,2,2,5921266,5954342,0.121,43,119.75
Tai50a,3,3,5921266,5978028,0.13,43,119.75
Tai50a,4,4,5862736,5862736,0.137,43,119.75
Tai50a,5,5,5862736,5879716,0.147,43,119.75
Tai50a,6,6,5827000,5827000,0.154,43,119.75
Tai50a,7,7,5827000,5911482,0.162,43,119.75
Tai50a,8,8,5827000,5954770,0.17,43,119.75
Tai50a,9,9,5827000,5883408,0.178,43,119.75
Tai50a,9,9,5827000,5883408,0.179,43,119.75
Tai50a,0,0,5952534,5952534,0.19,44,119.75
Tai50a,1,1,5879668,5879668,0.199,44,119.75
Tai50a,2,2,5879668,5924870,0.208,44,119.75
Tai50a,3,3,5879668,5966742,0.216,44,119.75
Tai50a,4,4,5879522,5879522,0.224,44,119.75
Tai50a,5,5,5828870,5828870,0.232,44,119.75
Tai50a,6,6,5828870,5912914,0.24,44,119.75
Tai50a,7,7,5828870,5904534,0.248,44,119.75
Tai50a,8,8,5828870,5889976,0.256,44,119.75
Tai50a,9,9,5828870,5848232,0.263,44,119.75
Tai50a,9,9,5828870,5848232,0.265,44,119.75
Tai50a,0,0,5950316,5950316,0.272,45,119.75
Tai50a,1,1,5856476,5856476,0.281,45,119.75
Tai50a,2,2,5856476,5930322,0.289,45,119.75
Tai50a,3,3,5856476,5860628,0.298,45,119.75
Tai50a,4,4,5856476,6002398,0.305,45,119.75
Tai50a,5,5,5856476,5931894,0.313,45,119.75
Tai50a,6,6,5856476,5890850,0.323,45,119.75
Tai50a,7,7,5856476,5947158,0.331,45,119.75
Tai50a,8,8,5856476,5960582,0.338,45,119.75
Tai50a,9,9,5856476,5886196,0.349,45,119.75
Tai50a,9,9,5856476,5886196,0.353,45,119.75
Tai50a,0,0,5918098,5918098,0.364,46,119.75
Tai50a,1,1,5823574,5823574,0.371,46,119.75
Tai50a,2,2,5823574,5960370,0.385,46,119.75
Tai50a,3,3,5785040,5785040,0.4,46,119.75
