instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed
Tai64c,0,0,2772470,2772470,0.013,42
Tai64c,1,1,2772470,2788222,0.026,42
Tai64c,2,2,2379924,2379924,0.038,42
Tai64c,3,3,2379924,2949000,0.048,42
Tai64c,4,4,2379924,3239204,0.058,42
Tai64c,5,5,2379924,2999006,0.072,42
Tai64c,6,6,2379924,2818376,0.082,42
Tai64c,7,7,2379924,2850380,0.092,42
Tai64c,8,8,2379924,3084394,0.1,42
Tai64c,9,9,2379924,2387868,0.107,42
Tai64c,-1,-1,2379924,2379924,0.108,42
Tai64c,0,0,2455098,2455098,0.114,43
Tai64c,1,1,2455098,3073084,0.118,43
Tai64c,2,2,2455098,3129236,0.123,43
Tai64c,3,3,2455098,2618972,0.131,43
Tai64c,4,4,2455098,2803776,0.142,43
Tai64c,5,5,2455098,2676394,0.152,43
Tai64c,6,6,2455098,3704692,0.164,43
Tai64c,7,7,2455098,2894114,0.175,43
Tai64c,8,8,2455098,3009900,0.185,43
Tai64c,9,9,2454104,2454104,0.197,43
Tai64c,-1,-1,2454104,2454104,0.2,43
Tai64c,0,0,2728010,2728010,0.213,44
Tai64c,1,1,2728010,2852676,0.226,44
Tai64c,2,2,2728010,3320340,0.241,44
Tai64c,3,3,2492106,2492106,0.255,44
Tai64c,4,4,2312726,2312726,0.267,44
Tai64c,5,5,2312726,2976338,0.28,44
Tai64c,6,6,2312726,2590536,0.292,44
Tai64c,7,7,2312726,3098346,0.303,44
Tai64c,8,8,2312726,2571160,0.313,44
Tai64c,9,9,2312726,3218542,0.323,44
Tai64c,-1,-1,2312726,2312726,0.325,44
Tai64c,0,0,2826942,2826942,0.336,45
Tai64c,1,1,2448080,2448080,0.346,45
Tai64c,2,2,2448080,2792522,0.356,45
Tai64c,3,3,2448080,2485678,0.368,45
Tai64c,4,4,2448080,3068184,0.378,45
Tai64c,5,5,2448080,2975386,0.388,45
Tai64c,6,6,2448080,3532898,0.4,45
Tai64c,7,7,2448080,3022294,0.411,45
Tai64c,8,8,2448080,2515802,0.423,45
Tai64c,9,9,2448080,2866144,0.435,45
Tai64c,-1,-1,2448080,2448080,0.437,45
Tai64c,0,0,2888226,2888226,0.449,46
Tai64c,1,1,2518196,2518196,0.459,46
Tai64c,2,2,2518196,3334158,0.47,46
Tai64c,3,3,2518196,2844680,0.48,46
Tai64c,4,4,2518196,2813014,0.492,46
Tai64c,5,5,2444964,2444964,0.505,46
Tai64c,6,6,2444964,2918570,0.517,46
Tai64c,7,7,2444964,3047510,0.528,46
Tai64c,8,8,2444964,2823622,0.538,46
Tai64c,9,9,2444964,2841414,0.551,46
Tai64c,-1,-1,2444964,2444964,0.553,46
Tai64c,0,0,3593646,3593646,0.566,47
Tai64c,1,1,2806740,2806740,0.577,47
Tai64c,2,2,2806740,2826616,0.592,47
Tai64c,3,3,2449680,2449680,0.602,47
Tai64c,4,4,2449680,3078674,0.614,47
Tai64c,5,5,2449680,3112776,0.626,47
Tai64c,6,6,2449680,3065900,0.637,47
Tai64c,7,7,2449680,2574544,0.65,47
Tai64c,8,8,2449680,2606106,0.662,47
Tai64c,9,9,2449680,3200486,0.674,47
Tai64c,-1,-1,2449680,2449680,0.677,47
Tai64c,0,0,3225584,3225584,0.69,48
Tai64c,1,1,3124250,3124250,0.717,48
Tai64c,2,2,3124250,3492414,0.73,48
Tai64c,3,3,2668330,2668330,0.743,48
Tai64c,4,4,2668330,3082132,0.755,48
Tai64c,5,5,2668330,2817788,0.766,48
Tai64c,6,6,2476032,2476032,0.778,48
Tai64c,7,7,2476032,2999926,0.793,48
Tai64c,8,8,2476032,3029790,0.807,48
Tai64c,9,9,2476032,3083152,0.819,48
Tai64c,-1,-1,2476032,2476032,0.821,48
Tai64c,0,0,2875550,2875550,0.832,49
Tai64c,1,1,2875550,2924072,0.843,49
Tai64c,2,2,2619640,2619640,0.854,49
Tai64c,3,3,2619640,2774722,0.865,49
Tai64c,4,4,2619640,2973660,0.875,49
Tai64c,5,5,2619640,3114088,0.889,49
Tai64c,6,6,2619640,2679424,0.899,49
Tai64c,7,7,2459986,2459986,0.912,49
Tai64c,8,8,2459986,2800016,0.923,49
Tai64c,9,9,2459986,2731038,0.935,49
Tai64c,-1,-1,2459986,2459986,0.937,49
Tai64c,0,0,2828524,2828524,0.949,50
Tai64c,1,1,2828524,3217000,0.962,50
Tai64c,2,2,2740852,2740852,0.973,50
Tai64c,3,3,2740852,2862624,0.98,50
Tai64c,4,4,2633108,2633108,0.987,50
Tai64c,5,5,2633108,3913114,0.993,50
Tai64c,6,6,2633108,2710846,0.998,50
Tai64c,7,7,2569642,2569642,1.002,50
Tai64c,8,8,2569642,3084438,1.008,50
Tai64c,9,9,2569642,2918702,1.015,50
Tai64c,-1,-1,2569642,2569642,1.016,50
Tai64c,0,0,2707338,2707338,1.025,51
Tai64c,1,1,2707338,4019922,1.034,51
Tai64c,2,2,2707338,3446310,1.045,51
Tai64c,3,3,2707338,3338808,1.057,51
Tai64c,4,4,2387260,2387260,1.067,51
Tai64c,5,5,2387260,3112466,1.076,51
Tai64c,6,6,2387260,2982150,1.083,51
Tai64c,7,7,2387260,2398828,1.089,51
Tai64c,8,8,2387260,2632772,1.094,51
Tai64c,9,9,2387260,2803154,1.098,51
Tai64c,-1,-1,2387260,2387260,1.099,51
