instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Tho30,0,0,220596,220596,0.003,42,119.75
Tho30,1,1,220572,220572,0.007,42,119.75
Tho30,2,2,220572,228088,0.01,42,119.75
Tho30,3,3,219524,219524,0.012,42,119.75
Tho30,4,4,216640,216640,0.014,42,119.75
Tho30,5,5,215900,215900,0.018,42,119.75
Tho30,6,6,215900,228186,0.02,42,119.75
Tho30,7,7,215900,230982,0.022,42,119.75
Tho30,8,8,215900,217574,0.023,42,119.75
Tho30,9,9,215900,229230,0.026,42,119.75
Tho30,9,9,215900,229230,0.026,42,119.75
Tho30,0,0,218938,218938,0.029,43,119.75
Tho30,1,1,218938,236562,0.031,43,119.75
Tho30,2,2,218938,226268,0.035,43,119.75
Tho30,3,3,218938,229308,0.038,43,119.75
Tho30,4,4,207276,207276,0.04,43,119.75
Tho30,5,5,207276,227202,0.043,43,119.75
Tho30,6,6,207276,222870,0.045,43,119.75
Tho30,7,7,207276,247630,0.047,43,119.75
Tho30,8,8,207276,222780,0.049,43,119.75
Tho30,9,9,207276,230132,0.052,43,119.75
Tho30,9,9,207276,230132,0.054,43,119.75
Tho30,0,0,226606,226606,0.057,44,119.75
Tho30,1,1,226606,236634,0.059,44,119.75
Tho30,2,2,226606,233178,0.062,44,119.75
Tho30,3,3,219648,219648,0.065,44,119.75
Tho30,4,4,219648,228444,0.067,44,119.75
Tho30,5,5,219648,219930,0.07,44,119.75
Tho30,6,6,219648,227336,0.072,44,119.75
Tho30,7,7,219648,223750,0.075,44,119.75
Tho30,8,8,219648,231342,0.077,44,119.75
Tho30,9,9,218514,218514,0.078,44,119.75
Tho30,9,9,218514,218514,0.079,44,119.75
Tho30,0,0,214328,214328,0.081,45,119.75
Tho30,1,1,214328,238646,0.085,45,119.75
Tho30,2,2,214328,224282,0.087,45,119.75
Tho30,3,3,214328,227448,0.091,45,119.75
Tho30,4,4,214328,226506,0.093,45,119.75
Tho30,5,5,214328,230544,0.095,45,119.75
Tho30,6,6,214328,221500,0.097,45,119.75
Tho30,7,7,214328,216074,0.101,45,119.75
Tho30,8,8,214328,220602,0.103,45,119.75
Tho30,9,9,214328,223932,0.106,45,119.75
Tho30,9,9,214328,223932,0.107,45,119.75
Tho30,0,0,234030,234030,0.109,46,119.75
Tho30,1,1,228356,228356,0.112,46,119.75
Tho30,2,2,228356,231988,0.114,46,119.75
Tho30,3,3,227934,227934,0.117,46,119.75
Tho30,4,4,218068,218068,0.121,46,119.75
Tho30,5,5,216196,216196,0.123,46,119.75
Tho30,6,6,216196,227854,0.125,46,119.75
Tho30,7,7,216196,225450,0.127,46,119.75
Tho30,8,8,216196,217570,0.129,46,119.75
Tho30,9,9,216196,224554,0.131,46,119.75
Tho30,9,9,216196,224554,0.133,46,119.75
Tho30,0,0,214588,214588,0.136,47,119.75
Tho30,1,1,214588,239626,0.137,47,119.75
Tho30,2,2,214588,218604,0.139,47,119.75
Tho30,3,3,214588,222732,0.142,47,119.75
Tho30,4,4,214588,216950,0.144,47,119.75
Tho30,5,5,214588,230444,0.145,47,119.75
Tho30,6,6,214588,216350,0.147,47,119.75
Tho30,7,7,214588,229294,0.151,47,119.75
Tho30,8,8,214588,234958,0.155,47,119.75
Tho30,9,9,214588,223934,0.158,47,119.75
Tho30,9,9,214588,223934,0.159,47,119.75
Tho30,0,0,207800,207800,0.161,48,119.75
Tho30,1,1,207800,220916,0.165,48,119.75
Tho30,2,2,207800,223040,0.169,48,119.75
Tho30,3,3,207800,226620,0.171,48,119.75
Tho30,4,4,206464,206464,0.174,48,119.75
Tho30,5,5,206464,216784,0.176,48,119.75
Tho30,6,6,206464,221168,0.178,48,119.75
Tho30,7,7,206464,221602,0.182,48,119.75
Tho30,8,8,206464,222028,0.187,48,119.75
Tho30,9,9,206464,228386,0.19,48,119.75
Tho30,9,9,206464,228386,0.19,48,119.75
Tho30,0,0,219782,219782,0.194,49,119.75
Tho30,1,1,219782,225120,0.198,49,119.75
Tho30,2,2,209940,209940,0.202,49,119.75
Tho30,3,3,209940,216906,0.205,49,119.75
Tho30,4,4,209940,212426,0.209,49,119.75
Tho30,5,5,209940,226794,0.211,49,119.75
Tho30,6,6,209940,225062,0.215,49,119.75
Tho30,7,7,209940,236218,0.218,49,119.75
Tho30,8,8,209940,215984,0.222,49,119.75
Tho30,9,9,209940,233846,0.225,49,119.75
Tho30,9,9,209940,233846,0.227,49,119.75
Tho30,0,0,218752,218752,0.229,50,119.75
Tho30,1,1,209612,209612,0.231,50,119.75
Tho30,2,2,209612,244236,0.235,50,119.75
Tho30,3,3,209612,220352,0.237,50,119.75
Tho30,4,4,209612,215792,0.239,50,119.75
Tho30,5,5,209612,219428,0.242,50,119.75
Tho30,6,6,209612,220930,0.244,50,119.75
Tho30,7,7,209612,215592,0.246,50,119.75
Tho30,8,8,209612,219358,0.248,50,119.75
Tho30,9,9,209612,223014,0.251,50,119.75
Tho30,9,9,209612,223014,0.253,50,119.75
Tho30,0,0,233976,233976,0.257,51,119.75
Tho30,1,1,214980,214980,0.259,51,119.75
Tho30,2,2,214980,231334,0.261,51,119.75
Tho30,3,3,214980,222032,0.263,51,119.75
Tho30,4,4,214980,219748,0.264,51,119.75
Tho30,5,5,214980,231504,0.266,51,119.75
Tho30,6,6,214980,217410,0.269,51,119.75
Tho30,7,7,214980,227986,0.271,51,119.75
Tho30,8,8,214980,218266,0.275,51,119.75
Tho30,9,9,214980,222506,0.279,51,119.75
Tho30,9,9,214980,222506,0.281,51,119.75
