instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Tho40,0,0,370922,370922,0.002
Tho40,1,1,332190,332190,0.007
Tho40,2,2,332190,355784,0.01
Tho40,3,3,332190,350932,0.013
Tho40,4,4,332190,347974,0.015
Tho40,5,5,332190,338754,0.018
Tho40,6,6,332190,350654,0.021
Tho40,7,7,332190,335876,0.025
Tho40,8,8,332190,340314,0.028
Tho40,9,9,332190,348556,0.033
Tho40,-1,-1,332190,332190,0.033
Tho40,0,0,343424,343424,0.038
Tho40,1,1,343424,348974,0.042
Tho40,2,2,343424,343708,0.046
Tho40,3,3,343424,350434,0.051
Tho40,4,4,343424,356170,0.056
Tho40,5,5,338836,338836,0.06
Tho40,6,6,338836,368022,0.065
Tho40,7,7,338836,357428,0.068
Tho40,8,8,338836,370538,0.072
Tho40,9,9,338836,355862,0.076
Tho40,-1,-1,338836,338836,0.077
Tho40,0,0,354890,354890,0.081
Tho40,1,1,349520,349520,0.085
Tho40,2,2,348896,348896,0.089
Tho40,3,3,348896,350032,0.094
Tho40,4,4,348896,351244,0.098
Tho40,5,5,348896,353206,0.102
Tho40,6,6,346924,346924,0.106
Tho40,7,7,329060,329060,0.109
Tho40,8,8,329060,360504,0.113
Tho40,9,9,329060,349186,0.116
Tho40,-1,-1,329060,329060,0.117
Tho40,0,0,338074,338074,0.12
Tho40,1,1,338074,357214,0.123
Tho40,2,2,338074,344274,0.127
Tho40,3,3,338074,348898,0.129
Tho40,4,4,338074,343748,0.132
Tho40,5,5,337432,337432,0.134
Tho40,6,6,337432,346778,0.137
Tho40,7,7,328134,328134,0.14
Tho40,8,8,328134,368492,0.143
Tho40,9,9,328134,350546,0.145
Tho40,-1,-1,328134,328134,0.146
Tho40,0,0,361244,361244,0.149
Tho40,1,1,342172,342172,0.151
Tho40,2,2,342172,345552,0.153
Tho40,3,3,342172,354056,0.156
Tho40,4,4,342172,354432,0.159
Tho40,5,5,342172,356294,0.161
Tho40,6,6,342172,352880,0.164
Tho40,7,7,331880,331880,0.167
Tho40,8,8,331880,340972,0.17
Tho40,9,9,331880,349890,0.172
Tho40,-1,-1,331880,331880,0.174
Tho40,0,0,351916,351916,0.177
Tho40,1,1,349336,349336,0.182
Tho40,2,2,339046,339046,0.185
Tho40,3,3,339046,355156,0.187
Tho40,4,4,339046,350296,0.19
Tho40,5,5,333170,333170,0.194
Tho40,6,6,333170,352666,0.198
Tho40,7,7,333170,347012,0.202
Tho40,8,8,333170,336432,0.206
Tho40,9,9,333170,365668,0.21
Tho40,-1,-1,333170,333170,0.211
Tho40,0,0,351678,351678,0.215
Tho40,1,1,341144,341144,0.217
Tho40,2,2,341144,346522,0.22
Tho40,3,3,340080,340080,0.222
Tho40,4,4,340080,350416,0.226
Tho40,5,5,340080,355816,0.229
Tho40,6,6,340080,361712,0.231
Tho40,7,7,340080,347256,0.234
Tho40,8,8,340080,355738,0.236
Tho40,9,9,340080,359114,0.238
Tho40,-1,-1,340080,340080,0.239
Tho40,0,0,354110,354110,0.243
Tho40,1,1,354110,358632,0.245
Tho40,2,2,354110,362512,0.247
Tho40,3,3,349142,349142,0.25
Tho40,4,4,344470,344470,0.252
Tho40,5,5,344470,350448,0.254
Tho40,6,6,344470,357248,0.257
Tho40,7,7,344274,344274,0.26
Tho40,8,8,344274,348522,0.262
Tho40,9,9,344274,349356,0.265
Tho40,-1,-1,344274,344274,0.265
Tho40,0,0,355290,355290,0.268
Tho40,1,1,352568,352568,0.27
Tho40,2,2,352568,376868,0.273
Tho40,3,3,342962,342962,0.276
Tho40,4,4,342962,358110,0.278
Tho40,5,5,342962,364874,0.28
Tho40,6,6,342962,355080,0.283
Tho40,7,7,342962,347846,0.285
Tho40,8,8,337168,337168,0.288
Tho40,9,9,337168,359210,0.292
Tho40,-1,-1,337168,337168,0.292
Tho40,0,0,319716,319716,0.296
Tho40,1,1,319716,339956,0.3
Tho40,2,2,319716,340068,0.304
Tho40,3,3,319716,360176,0.309
Tho40,4,4,319716,337390,0.314
Tho40,5,5,319716,344344,0.32
Tho40,6,6,319716,351756,0.325
Tho40,7,7,319716,345014,0.329
Tho40,8,8,319716,339048,0.332
Tho40,9,9,319716,360078,0.336
Tho40,-1,-1,319716,319716,0.337
