instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Wil100,0,0,303014,303014,0.01
Wil100,1,1,303014,306458,0.023
Wil100,2,2,303014,304920,0.035
Wil100,3,3,302532,302532,0.047
Wil100,4,4,302532,302722,0.061
Wil100,5,5,302532,303990,0.075
Wil100,6,6,302532,302896,0.087
Wil100,7,7,302532,304098,0.106
Wil100,8,8,302532,304160,0.125
Wil100,9,9,301504,301504,0.149
Wil100,-1,-1,301504,301504,0.151
Wil100,0,0,306054,306054,0.176
Wil100,1,1,302234,302234,0.196
Wil100,2,2,302234,304990,0.217
Wil100,3,3,302234,303008,0.239
Wil100,4,4,302234,305312,0.263
Wil100,5,5,302234,303284,0.289
Wil100,6,6,301810,301810,0.312
Wil100,7,7,301810,302324,0.336
Wil100,8,8,301810,303084,0.36
Wil100,9,9,301810,301868,0.385
Wil100,-1,-1,301810,301810,0.389
Wil100,0,0,302360,302360,0.418
Wil100,1,1,302360,306380,0.437
Wil100,2,2,302360,302444,0.462
Wil100,3,3,302360,304416,0.479
Wil100,4,4,302360,303382,0.497
Wil100,5,5,302360,304380,0.508
Wil100,6,6,302360,303832,0.521
Wil100,7,7,302360,302948,0.535
Wil100,8,8,302360,302690,0.548
Wil100,9,9,302360,303628,0.566
Wil100,-1,-1,302360,302360,0.568
Wil100,0,0,303188,303188,0.583
Wil100,1,1,303188,304346,0.595
Wil100,2,2,303188,303940,0.613
Wil100,3,3,303188,304754,0.625
Wil100,4,4,303078,303078,0.653
Wil100,5,5,302862,302862,0.675
Wil100,6,6,302862,303264,0.687
Wil100,7,7,302862,303890,0.714
Wil100,8,8,302862,304172,0.741
Wil100,9,9,302862,303812,0.761
Wil100,-1,-1,302862,302862,0.763
Wil100,0,0,302528,302528,0.778
Wil100,1,1,302528,305882,0.792
Wil100,2,2,301748,301748,0.806
Wil100,3,3,301748,303558,0.818
Wil100,4,4,301748,303072,0.829
Wil100,5,5,301748,303230,0.841
Wil100,6,6,301748,303612,0.854
Wil100,7,7,301748,303122,0.866
Wil100,8,8,301748,304194,0.879
Wil100,9,9,301542,301542,0.897
Wil100,-1,-1,301542,301542,0.899
Wil100,0,0,302138,302138,0.92
Wil100,1,1,302138,302680,0.948
Wil100,2,2,302138,305076,0.969
Wil100,3,3,302138,303616,0.984
Wil100,4,4,302138,306234,0.999
Wil100,5,5,302138,304120,1.016
Wil100,6,6,302008,302008,1.03
Wil100,7,7,302008,304414,1.051
Wil100,8,8,300536,300536,1.066
Wil100,9,9,300536,304986,1.081
Wil100,-1,-1,300536,300536,1.082
Wil100,0,0,304268,304268,1.095
Wil100,1,1,303734,303734,1.106
Wil100,2,2,302122,302122,1.118
Wil100,3,3,302122,302596,1.13
Wil100,4,4,301430,301430,1.14
Wil100,5,5,301430,304930,1.152
Wil100,6,6,301430,304386,1.167
Wil100,7,7,301430,303604,1.184
Wil100,8,8,301430,303434,1.199
Wil100,9,9,301430,304462,1.215
Wil100,-1,-1,301430,301430,1.216
Wil100,0,0,303646,303646,1.235
Wil100,1,1,302436,302436,1.26
Wil100,2,2,302436,303836,1.279
Wil100,3,3,302436,305482,1.294
Wil100,4,4,301850,301850,1.315
Wil100,5,5,301850,305464,1.34
Wil100,6,6,301850,303232,1.36
Wil100,7,7,301850,303332,1.375
Wil100,8,8,301850,302304,1.388
Wil100,9,9,301850,305114,1.404
Wil100,-1,-1,301850,301850,1.405
Wil100,0,0,304246,304246,1.42
Wil100,1,1,303814,303814,1.438
Wil100,2,2,301326,301326,1.454
Wil100,3,3,301326,304086,1.473
Wil100,4,4,301326,303352,1.499
Wil100,5,5,301326,304838,1.52
Wil100,6,6,301326,302776,1.548
Wil100,7,7,301326,305476,1.569
Wil100,8,8,301326,304646,1.592
Wil100,9,9,301326,303258,1.62
Wil100,-1,-1,301326,301326,1.623
Wil100,0,0,302050,302050,1.664
Wil100,1,1,302050,304142,1.706
Wil100,2,2,302050,302214,1.737
Wil100,3,3,302050,304776,1.778
Wil100,4,4,302050,304160,1.811
Wil100,5,5,302050,303912,1.826
Wil100,6,6,302050,304052,1.85
Wil100,7,7,302050,304564,1.865
Wil100,8,8,302050,302678,1.883
Wil100,9,9,302050,305304,1.901
Wil100,-1,-1,302050,302050,1.903
