instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido,seed,memoria_usada_MB
Wil50,0,0,57976,57976,0.01,42,119.75
Wil50,1,1,57022,57022,0.021,42,119.75
Wil50,2,2,56906,56906,0.029,42,119.75
Wil50,3,3,56736,56736,0.039,42,119.75
Wil50,4,4,56736,56828,0.049,42,119.75
Wil50,5,5,56344,56344,0.058,42,119.75
Wil50,6,6,56344,56876,0.066,42,119.75
Wil50,7,7,56344,57046,0.071,42,119.75
Wil50,8,8,56344,56704,0.077,42,119.75
Wil50,9,9,56008,56008,0.082,42,119.75
Wil50,9,9,56008,56008,0.083,42,119.75
Wil50,0,0,56376,56376,0.091,43,119.75
Wil50,1,1,56376,56982,0.097,43,119.75
Wil50,2,2,56376,57072,0.102,43,119.75
Wil50,3,3,56376,57002,0.109,43,119.75
Wil50,4,4,56252,56252,0.116,43,119.75
Wil50,5,5,56140,56140,0.12,43,119.75
Wil50,6,6,56140,56638,0.124,43,119.75
Wil50,7,7,56140,56940,0.129,43,119.75
Wil50,8,8,56140,56522,0.132,43,119.75
Wil50,9,9,56140,56710,0.136,43,119.75
Wil50,9,9,56140,56710,0.137,43,119.75
Wil50,0,0,57710,57710,0.143,44,119.75
Wil50,1,1,56274,56274,0.149,44,119.75
Wil50,2,2,56274,57934,0.158,44,119.75
Wil50,3,3,56274,56648,0.166,44,119.75
Wil50,4,4,56274,57112,0.175,44,119.75
Wil50,5,5,56026,56026,0.184,44,119.75
Wil50,6,6,56026,56708,0.192,44,119.75
Wil50,7,7,56026,57150,0.2,44,119.75
Wil50,8,8,56026,56624,0.211,44,119.75
Wil50,9,9,56026,57572,0.219,44,119.75
Wil50,9,9,56026,57572,0.221,44,119.75
Wil50,0,0,56484,56484,0.235,45,119.75
Wil50,1,1,56484,57080,0.243,45,119.75
Wil50,2,2,56484,57338,0.251,45,119.75
Wil50,3,3,56484,57408,0.256,45,119.75
Wil50,4,4,56484,57424,0.26,45,119.75
Wil50,5,5,56484,57288,0.265,45,119.75
Wil50,6,6,56484,56686,0.27,45,119.75
Wil50,7,7,56484,57040,0.275,45,119.75
Wil50,8,8,56484,57320,0.278,45,119.75
Wil50,9,9,56484,56976,0.287,45,119.75
Wil50,9,9,56484,56976,0.289,45,119.75
Wil50,0,0,56720,56720,0.3,46,119.75
Wil50,1,1,56720,57026,0.309,46,119.75
Wil50,2,2,56720,57164,0.316,46,119.75
Wil50,3,3,56720,57212,0.327,46,119.75
Wil50,4,4,56720,57012,0.343,46,119.75
Wil50,5,5,56720,56870,0.351,46,119.75
Wil50,6,6,56720,57546,0.359,46,119.75
Wil50,7,7,56720,56936,0.368,46,119.75
Wil50,8,8,56720,57340,0.383,46,119.75
Wil50,9,9,56720,57144,0.393,46,119.75
Wil50,9,9,56720,57144,0.395,46,119.75
Wil50,0,0,56982,56982,0.403,47,119.75
Wil50,1,1,56028,56028,0.409,47,119.75
Wil50,2,2,56028,57372,0.415,47,119.75
Wil50,3,3,55748,55748,0.424,47,119.75
Wil50,4,4,55748,56790,0.433,47,119.75
Wil50,5,5,55748,57266,0.442,47,119.75
Wil50,6,6,55748,56438,0.45,47,119.75
Wil50,7,7,55748,57274,0.458,47,119.75
Wil50,8,8,55748,57566,0.466,47,119.75
Wil50,9,9,55748,57296,0.471,47,119.75
Wil50,9,9,55748,57296,0.472,47,119.75
Wil50,0,0,56458,56458,0.478,48,119.75
Wil50,1,1,56458,56556,0.486,48,119.75
Wil50,2,2,56352,56352,0.491,48,119.75
Wil50,3,3,56352,56714,0.497,48,119.75
Wil50,4,4,56352,57214,0.504,48,119.75
Wil50,5,5,56096,56096,0.512,48,119.75
Wil50,6,6,56096,57296,0.518,48,119.75
Wil50,7,7,56096,57032,0.527,48,119.75
Wil50,8,8,56096,57444,0.531,48,119.75
Wil50,9,9,56096,56478,0.535,48,119.75
Wil50,9,9,56096,56478,0.535,48,119.75
Wil50,0,0,56548,56548,0.539,49,119.75
Wil50,1,1,55732,55732,0.545,49,119.75
Wil50,2,2,55732,57186,0.548,49,119.75
Wil50,3,3,55732,56798,0.552,49,119.75
Wil50,4,4,55502,55502,0.555,49,119.75
Wil50,5,5,55502,57450,0.559,49,119.75
Wil50,6,6,55502,56762,0.563,49,119.75
Wil50,7,7,55502,57184,0.566,49,119.75
Wil50,8,8,55502,56676,0.569,49,119.75
Wil50,9,9,55502,56830,0.572,49,119.75
Wil50,9,9,55502,56830,0.573,49,119.75
Wil50,0,0,57178,57178,0.577,50,119.75
Wil50,1,1,57142,57142,0.581,50,119.75
Wil50,2,2,56434,56434,0.584,50,119.75
Wil50,3,3,56090,56090,0.589,50,119.75
Wil50,4,4,56090,56358,0.595,50,119.75
Wil50,5,5,56090,57160,0.6,50,119.75
Wil50,6,6,56090,56848,0.609,50,119.75
Wil50,7,7,56090,56338,0.618,50,119.75
Wil50,8,8,56090,57474,0.625,50,119.75
Wil50,9,9,56090,57496,0.63,50,119.75
Wil50,9,9,56090,57496,0.632,50,119.75
Wil50,0,0,55710,55710,0.64,51,119.75
Wil50,1,1,55710,56166,0.647,51,119.75
Wil50,2,2,55710,57692,0.652,51,119.75
Wil50,3,3,55710,56172,0.662,51,119.75
Wil50,4,4,55710,56942,0.671,51,119.75
Wil50,5,5,55710,56670,0.681,51,119.75
Wil50,6,6,55710,57044,0.687,51,119.75
Wil50,7,7,55710,56424,0.695,51,119.75
Wil50,8,8,55710,57362,0.7,51,119.75
Wil50,9,9,55710,57168,0.707,51,119.75
Wil50,9,9,55710,57168,0.708,51,119.75
